Number,MIGRATION,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.01,18,0.816854,19,0.738149,18.21414141,77,0.815252,78,0.758585,77.26915136,59,59.05500994
1,0.01,18,0.842799,19,0.781427,18.69737014,75,0.842583,76,0.789009,75.79484451,57,57.09747438
2,0.01,16,0.813176,17,0.73913,16.17794344,68,0.830785,69,0.791581,68.7852515,52,52.60730806
3,0.01,17,0.855087,18,0.766064,17.61879514,73,0.84494,74,0.794089,73.88375843,56,56.26496329
4,0.01,18,0.816262,19,0.764182,18.31225038,75,0.832117,76,0.785185,75.68433052,57,57.37208014
5,0.01,16,0.824595,17,0.770895,16.45800745,76,0.824223,77,0.775974,76.50204149,60,60.04403404
6,0.01,17,0.846318,18,0.763485,17.55917328,76,0.828889,77,0.742527,76.33451055,59,58.77533727
7,0.01,19,0.806551,20,0.747242,19.11045541,70,0.827108,71,0.77193,70.49128276,51,51.38082735
8,0.01,18,0.823592,19,0.776119,18.49695616,77,0.813665,78,0.755509,77.23497146,59,58.73801529
9,0.01,21,0.817751,22,0.75027,21.26305182,80,0.806352,81,0.761178,80.14061186,59,58.87756003
10,0.01,16,0.80999,17,0.768694,16.24191205,74,0.815185,75,0.754789,74.25142394,58,58.00951189
11,0.01,16,0.811765,17,0.782516,16.40223597,77,0.832502,78,0.762105,77.46169581,61,61.05945984
12,0.01,17,0.808978,18,0.773604,17.25380223,75,0.825503,76,0.789644,75.71120221,58,58.45739998
13,0.01,18,0.841802,19,0.799797,18.99516724,73,0.823529,74,0.758149,73.3598807,55,54.36471346
14,0.01,18,0.837784,19,0.789749,18.78659311,78,0.83825,79,0.793103,78.84723237,60,60.06063927
15,0.01,17,0.840415,18,0.777433,17.64169128,78,0.82321,79,0.779395,78.52972726,61,60.88803599
16,0.01,17,0.82652,18,0.761457,17.40760494,78,0.831276,79,0.752654,78.39780214,61,60.99019721
17,0.01,18,0.82449,19,0.785714,18.63157623,69,0.838405,70,0.780488,69.6631041,51,51.03152786
18,0.01,17,0.853383,18,0.796574,17.93969265,78,0.814815,79,0.767839,78.31537381,61,60.37568115
19,0.01,20,0.81326,21,0.733404,20.16604889,80,0.805583,81,0.714128,80.06104642,60,59.89499753
20,0.01,19,0.834047,20,0.73954,19.36025903,75,0.884735,76,0.795354,75.94802027,56,56.58776124
21,0.01,18,0.800971,19,0.752786,18.0201515,74,0.830357,75,0.76,74.43147093,56,56.41131943
22,0.01,16,0.817996,17,0.737406,16.22330314,74,0.812929,75,0.760656,74.2473361,58,58.02403296
23,0.01,19,0.809153,20,0.765912,19.21167411,71,0.836364,72,0.790766,71.79749112,52,52.58581701
24,0.01,19,0.813305,20,0.758317,19.24196188,73,0.837529,74,0.787971,73.7572743,54,54.51531242
25,0.01,17,0.804047,18,0.751599,17.07716214,70,0.8286,71,0.781283,70.60443392,53,53.52727178
