Number,Migration,Before_Start_Generation,Before_Start,Start_Generation,Start,Actual_Start_Generation,Before_Stop_Generation,Before_Stop,Stop_Generation,Stop,Actual_Stop_Generation,Timed_Gens_Tester,Actual_Timed_Gens
0,0.01,19,0.455331,20,0.602985,19.30252482,67,0.44213,68,0.662222,67.2629355,48,47.96041068
1,0.01,16,0.428977,17,0.535433,16.66715826,61,0.484009,62,0.629723,61.10974237,45,44.44258411
2,0.01,16,0.478814,17,0.526448,16.44476634,65,0.464183,66,0.58006,65.30909499,49,48.86432865
3,0.01,16,0.432967,17,0.524109,16.7354787,56,0.479109,57,0.52381,56.46734972,40,39.73187102
4,0.01,19,0.458525,20,0.607038,19.27926848,59,0.462791,60,0.562642,59.37264524,40,40.09337676
5,0.01,18,0.414894,19,0.551899,18.62118901,60,0.42953,61,0.5075,60.90380916,42,42.28262015
6,0.01,16,0.415507,17,0.545249,16.65123861,57,0.430622,58,0.53753,57.6489505,41,40.99771189
7,0.01,15,0.418224,16,0.560345,15.57539702,65,0.458333,66,0.521429,65.66037467,50,50.08497765
8,0.01,16,0.406977,17,0.503086,16.96789062,60,0.424444,61,0.507692,60.90760138,44,43.93971076
9,0.01,19,0.497396,20,0.557692,19.04318694,65,0.498575,66,0.507788,65.15467275,46,46.1114858
10,0.01,17,0.488608,18,0.603604,17.09906432,66,0.498688,67,0.515254,66.07919836,49,48.98013404
11,0.01,14,0.387226,15,0.502119,14.98155675,64,0.416,65,0.603217,64.4486772,50,49.46712045
12,0.01,17,0.421053,18,0.592233,17.4611929,59,0.470588,60,0.509138,59.7629572,42,42.3017643
13,0.01,18,0.423181,19,0.596875,18.44226628,57,0.478555,58,0.585956,57.19967226,39,38.75740597
14,0.01,18,0.49763,19,0.604905,18.02209275,64,0.49011,65,0.659292,64.05845776,46,46.036365
15,0.01,14,0.493703,15,0.534819,14.15315206,60,0.482094,61,0.551515,60.25793348,46,46.10478142
16,0.01,18,0.459227,19,0.541063,18.49822816,65,0.42161,66,0.501441,65.98194937,47,47.4837212
17,0.01,14,0.427293,15,0.517766,14.80363202,63,0.452685,64,0.514881,63.76074024,49,48.95710822
18,0.01,18,0.497423,19,0.592798,18.02701966,60,0.433498,61,0.527778,60.70536699,42,42.67834733
19,0.01,18,0.448276,19,0.562814,18.45158812,61,0.430804,62,0.573684,61.48429451,43,43.03270639
0,0.01,19,0.484765,20,0.572954,19.17275397,65,0.404358,66,0.523585,65.80218407,46,46.6294301
1,0.01,16,0.487936,17,0.651235,16.07387675,64,0.437288,65,0.551095,64.55103816,48,48.47716141
