Generation,New_Num_Wild_Gene_Frequency,Wild_Type_Gene_Frequency,New_Num_Wild_Gene,Num_Wild_Gene
1,0.997476,0.99663,200347,149954
2,0.996121,0.994842,199274,149672
3,0.995561,0.994081,201402,150828
4,0.994162,0.992237,199238,149539
5,0.992806,0.990427,200648,150437
6,0.990864,0.987864,199453,149691
7,0.988526,0.984751,199971,149889
8,0.984899,0.979976,199643,149809
9,0.980917,0.974711,199956,149934
10,0.975168,0.967113,198790,148859
11,0.969692,0.959903,198145,148259
12,0.960368,0.947896,196739,147703
13,0.949857,0.934115,198786,148783
14,0.93619,0.916551,197038,147507
15,0.920884,0.896899,196664,146982
16,0.898916,0.869215,195009,145743
17,0.875259,0.839379,194108,144567
18,0.845804,0.803421,189922,141509
19,0.811226,0.761533,188774,140282
20,0.772237,0.715969,184594,137239
21,0.727025,0.664077,179568,133285
22,0.678014,0.608579,174613,128928
23,0.623917,0.551316,167271,123890
24,0.568329,0.491791,160363,117868
25,0.50691,0.431668,148561,109761
26,0.455079,0.37896,141291,103237
27,0.397986,0.326539,127552,93551
28,0.343217,0.277035,115608,84773
29,0.296792,0.235147,103799,75611
30,0.251786,0.196899,91083,66360
31,0.212273,0.164027,78932,57472
32,0.179296,0.13674,68839,49912
33,0.148772,0.113091,58253,42500
34,0.12301,0.0924917,49400,35895
35,0.100658,0.0751152,40887,29669
36,0.0831413,0.0614961,34196,24710
37,0.0684622,0.0503191,28493,20542
38,0.0535288,0.0399978,22517,16588
39,0.0435374,0.0318246,18541,13389
40,0.0369476,0.0266177,15841,11291
41,0.0308801,0.0223392,13298,9536
42,0.0240298,0.0175136,10344,7489
43,0.0177703,0.0131532,7680,5658
44,0.0132374,0.00989863,5747,4283
45,0.013908,0.00943685,6067,4098
46,0.0103755,0.00749836,4524,3260
47,0.00871232,0.00628648,3808,2741
48,0.0111858,0.00701091,4898,3057
49,0.00511254,0.00429465,2222,1865
50,0.00488177,0.00347689,2140,1522
51,0.00239769,0.00207503,1053,911
52,0.00460837,0.00281155,2023,1232
53,0.00135292,0.00135292,591,591
54,NAN,NAN,0,0
55,NAN,NAN,0,0
56,NAN,NAN,0,0
57,NAN,NAN,0,0
58,NAN,NAN,0,0
59,NAN,NAN,0,0
60,NAN,NAN,0,0
61,NAN,NAN,0,0
62,NAN,NAN,0,0
63,NAN,NAN,0,0
64,NAN,NAN,0,0
65,NAN,NAN,0,0
66,NAN,NAN,0,0
67,NAN,NAN,0,0
68,NAN,NAN,0,0
69,NAN,NAN,0,0
70,NAN,NAN,0,0
71,NAN,NAN,0,0
72,NAN,NAN,0,0
73,NAN,NAN,0,0
74,NAN,NAN,0,0
75,NAN,NAN,0,0
76,NAN,NAN,0,0
77,NAN,NAN,0,0
78,NAN,NAN,0,0
79,NAN,NAN,0,0
80,NAN,NAN,0,0
81,NAN,NAN,0,0
82,NAN,NAN,0,0
83,NAN,NAN,0,0
84,NAN,NAN,0,0
85,NAN,NAN,0,0
86,NAN,NAN,0,0
87,NAN,NAN,0,0
88,NAN,NAN,0,0
89,NAN,NAN,0,0
90,NAN,NAN,0,0
91,NAN,NAN,0,0
92,NAN,NAN,0,0
93,NAN,NAN,0,0
94,NAN,NAN,0,0
95,NAN,NAN,0,0
96,NAN,NAN,0,0
97,NAN,NAN,0,0
98,NAN,NAN,0,0
99,NAN,NAN,0,0
100,NAN,NAN,0,0
101,NAN,NAN,0,0
102,NAN,NAN,0,0
103,NAN,NAN,0,0
104,NAN,NAN,0,0
105,NAN,NAN,0,0
106,NAN,NAN,0,0
107,NAN,NAN,0,0
108,NAN,NAN,0,0
109,NAN,NAN,0,0
110,NAN,NAN,0,0
111,NAN,NAN,0,0
112,NAN,NAN,0,0
113,NAN,NAN,0,0
114,NAN,NAN,0,0
115,NAN,NAN,0,0
116,NAN,NAN,0,0
117,NAN,NAN,0,0
118,NAN,NAN,0,0
119,NAN,NAN,0,0
120,NAN,NAN,0,0
121,NAN,NAN,0,0
122,NAN,NAN,0,0
123,NAN,NAN,0,0
124,NAN,NAN,0,0
125,NAN,NAN,0,0
126,NAN,NAN,0,0
127,NAN,NAN,0,0
128,NAN,NAN,0,0
129,NAN,NAN,0,0
130,NAN,NAN,0,0
131,NAN,NAN,0,0
132,NAN,NAN,0,0
133,NAN,NAN,0,0
134,NAN,NAN,0,0
135,NAN,NAN,0,0
136,NAN,NAN,0,0
137,NAN,NAN,0,0
138,NAN,NAN,0,0
139,NAN,NAN,0,0
140,NAN,NAN,0,0
141,NAN,NAN,0,0
142,NAN,NAN,0,0
143,NAN,NAN,0,0
144,NAN,NAN,0,0
145,NAN,NAN,0,0
146,NAN,NAN,0,0
147,NAN,NAN,0,0
148,NAN,NAN,0,0
149,NAN,NAN,0,0
150,NAN,NAN,0,0
NAN,NAN,NAN,NAN,NAN
1,0.996171,0.994888,200595,150038
2,0.994344,0.992486,198145,148861
3,0.99326,0.991016,200857,150352
4,0.990676,0.987618,198478,148994
5,0.988679,0.984953,200858,150551
6,0.984801,0.979824,199371,149432
7,0.980498,0.9741,200457,149951
8,0.975163,0.96712,198044,148364
9,0.969422,0.959554,199511,149298
10,0.960557,0.948032,198017,148331
11,0.948976,0.933068,198095,148480
12,0.935393,0.91562,196528,147293
13,0.917637,0.892874,196644,147110
14,0.895948,0.865371,194600,145269
15,0.8694,0.832517,192925,144057
16,0.839056,0.795346,190563,142056
17,0.803253,0.752118,187415,139284
18,0.763809,0.705868,184252,136733
19,0.720299,0.656345,179912,133429
20,0.668934,0.600135,173611,128957
21,0.617947,0.544551,168304,124413
22,0.55974,0.48543,158215,117396
23,0.505734,0.429191,151348,111218
24,0.448314,0.374159,138814,102126
25,0.392565,0.321536,127645,93604
26,0.343908,0.277111,115917,84772
27,0.294784,0.233578,102957,75065
28,0.253565,0.197911,91389,66381
29,0.212106,0.164436,78903,57680
30,0.180169,0.137398,68898,49937
