Wild_Type_Gene_Frequency,Num_Wild_Gene
0.766009,211060
0.779366,211629
0.793505,218744
0.815337,229589
0.838958,240905
0.86725,253459
0.898292,272240
0.926312,297513
0.950951,322087
0.970601,344470
0.983188,364291
0.991496,379485
0.99538,387824
0.997515,392215
0.998745,396246
0.999344,399162
0.9996,394614
0.999744,398690
0.999839,398352
0.999885,401562
0.99995,400924
0.99998,395004
0.99999,398544
0.999995,401778
1,401680
1,399988
1,401408
1,398436
1,397192
1,399572
1,399588
1,397868
1,401556
1,401416
1,398872
1,399760
1,399692
1,401792
1,401604
1,399460
1,401588
1,395024
1,398960
1,399004
1,401008
1,401112
1,401192
1,401408
1,399100
1,397020
1,400780
1,397552
1,395964
1,398048
1,396096
1,399420
1,402180
1,403184
1,396912
1,398972
1,398976
1,398876
1,397112
1,400452
1,398184
1,398740
1,398784
1,397792
1,396252
1,399364
1,401300
1,400032
1,399472
1,396744
1,400360
1,400548
1,398560
1,400456
1,401032
1,399164
1,399604
1,396060
1,398364
1,401240
1,404640
1,403392
1,396252
1,400188
1,402204
1,400296
1,400512
1,399528
1,398916
1,398544
1,399948
1,397336
1,398020
1,400904
NAN,NAN
0.76497,210015
0.778483,213021
0.793362,216867
0.812487,226843
0.836627,238549
0.865158,253045
0.894415,271244
0.924432,293607
0.949593,319352
0.969266,340945
0.982512,359572
0.990476,376888
0.994978,385936
0.997649,392156
0.998888,398964
0.999423,395076
0.999635,400054
0.99982,399088
0.999936,405186
0.99998,401188
0.999975,402330
0.999985,400546
1,397036
1,400728
1,398804
1,402084
1,402328
1,402200
1,401824
1,394952
1,401092
1,399632
1,399800
1,398132
1,399220
1,399552
1,395816
1,401408
1,399128
1,399872
1,400980
1,398216
1,399008
1,399988
1,399144
1,398812
1,404428
1,399284
1,399800
1,399880
1,401500
1,395832
1,398464
1,397912
1,400516
1,400272
1,399016
1,399068
1,397952
1,400944
1,396480
1,399556
1,398928
1,397912
1,396448
1,398072
1,400852
1,398496
1,401028
1,403144
1,400752
1,401768
1,401504
1,399464
1,401308
1,400364
1,397544
1,397860
1,401020
1,399044
1,400812
1,403560
1,401756
1,402408
1,399536
1,398420
1,399336
1,401864
1,399980
1,400016
1,401392
1,399828
1,402068
1,402060
1,400092
1,402396
1,399904
1,399332
NAN,NAN
0.763178,208317
0.773343,208883
0.786485,213647
0.803081,222145
0.824984,232441
0.8525,245346
0.881462,264428
0.909489,283546
0.937502,303503
0.960134,330405
0.976523,353724
0.987263,371969
0.993782,384852
0.996819,392384
0.998397,396152
0.999142,398366
0.999501,400796
0.999789,398912
0.99991,400072
0.999965,400422
0.999985,398326
0.999995,402318
0.999995,399778
0.999995,398590
0.999995,400402
1,399120
1,398568
1,398996
1,396596
1,398192
1,399268
1,399400
1,400728
1,400460
1,400724
1,399732
1,399180
1,396484
1,395564
1,398788
1,400696
1,398612
1,398376
1,398956
1,394664
1,399164
1,401212
1,396876
1,398360
1,398736
1,400900
1,398404
1,401112
1,398660
1,401624
1,400040
1,399144
1,397380
1,396944
1,399476
1,402996
1,403200
1,397796
1,400364
1,402856
1,401832
1,401416
1,397620
1,398032
1,399152
1,398028
1,400724
1,399836
1,399972
1,397784
1,397436
1,399420
1,397564
1,400920
1,402276
1,400116
1,398736
1,402144
1,399416
1,398916
1,399300
1,401044
1,399492
1,398768
1,399140
1,401260
1,400284
1,399448
1,401080
1,399292
1,399984
1,399076
1,400044
NAN,NAN
0.764827,210199
0.779001,212926
0.794667,217389
0.815075,227181
0.838241,239214
0.866244,254596
0.895821,274992
0.924193,299361
0.95025,318881
0.969137,343214
0.982758,363589
0.990939,379173
0.995266,387919
0.997428,395512
0.998637,397142
0.999384,396008
0.999709,398360
0.999849,396352
0.999965,401790
0.999985,397922
0.99999,399004
0.999995,397498
1,403680
1,397928
1,400876
1,397796
1,400896
1,400552
1,401832
1,400724
1,401188
1,400912
1,400044
1,400056
1,400476
1,396992
1,395628
1,399248
1,401152
1,402268
1,401872
1,399836
1,395820
1,398316
1,401076
1,401568
1,401248
1,399132
1,398688
1,397228
1,398200
1,398348
1,400836
1,400360
1,401096
1,401484
1,399660
1,399476
1,401268
1,402724
1,402548
1,399772
1,398280
1,396864
1,398872
1,397888
1,398364
1,399476
1,400344
1,399920
1,401164
1,401296
1,400432
1,398484
1,400552
1,401228
1,403344
1,400792
1,402012
1,395392
1,399672
1,403504
1,402444
1,399192
1,400496
1,401968
1,397420
1,399204
1,398408
1,400560
1,400608
1,403480
1,400016
1,398592
1,400352
1,402552
1,399172
1,397852
NAN,NAN
0.754536,204280
0.764693,205727
0.778046,213060
0.798022,218457
0.818528,229119
0.842049,241941
0.870941,255419
0.900205,275009
0.928814,298220
0.953686,321541
0.971693,346296
0.983789,364781
0.991173,379322
0.995221,388375
0.997752,392739
0.998868,395448
0.999449,398824
0.999735,400126
0.999828,395932
0.99991,399340
0.99995,399524
0.999995,398010
1,399368
1,397728
1,395500
1,397724
1,400856
1,401900
1,403192
1,397788
1,401852
1,403212
1,402244
1,400056
1,395692
1,396224
1,397136
1,400224
1,397592
1,400124
1,397924
1,397560
1,401856
1,398548
1,400020
1,399408
1,401672
1,399528
1,398884
1,401348
1,400768
1,402824
1,399212
1,399564
1,401936
1,401028
1,397228
1,397556
1,398632
1,397512
1,397804
1,401092
1,400904
1,398672
1,396960
1,400664
1,402560
1,397044
1,401256
1,399772
1,397524
1,399708
1,402568
1,400132
1,402964
1,399572
1,401988
1,399776
1,401668
1,396176
1,399964
1,399776
1,400568
1,400168
1,400248
1,398748
1,399256
1,397096
1,397168
1,401316
1,399524
1,403152
1,401848
1,402460
1,399624
1,401604
1,402692
1,401096
NAN,NAN
0.770462,212438
0.783827,213408
0.799382,221966
0.819036,228498
0.844778,239660
0.872158,255511
0.902133,278254
0.930401,301569
0.953579,322470
0.971879,345740
0.984019,363359
0.991764,379778
0.995762,390275
0.99767,393118
0.998856,398248
0.999463,397946
0.999773,396142
0.99983,400400
0.999925,400726
0.999975,400966
1,401724
1,405180
1,399684
1,401500
1,401756
1,399432
1,398280
1,399568
1,398632
1,400592
1,398456
1,397752
1,401344
1,399972
1,398268
1,400484
1,401468
1,401108
1,402760
1,399796
1,401028
1,400948
1,400324
1,398696
1,401280
1,399696
1,397444
1,402356
1,398428
1,398636
1,401156
1,404208
1,401912
1,401556
1,401192
1,399536
1,396804
1,396416
1,399496
1,399444
1,401716
1,401072
1,399924
1,399572
1,401108
1,400948
1,403608
1,400728
1,398816
1,399544
1,404520
1,403264
1,400420
1,401684
1,401032
1,397952
1,399916
1,395312
1,398332
1,400264
1,401292
1,399572
1,400420
1,400960
1,400092
1,402188
1,399664
1,400680
1,399396
1,398012
1,400160
1,403032
1,396836
1,398156
1,398644
1,400808
1,399908
1,399052
NAN,NAN
0.759694,210505
0.771234,209893
0.784807,212353
0.801336,219691
0.824688,231137
0.851735,247429
0.881673,264368
0.911313,284643
0.939036,307955
0.961705,329411
0.978046,354620
0.987949,374733
0.993824,384272
0.996978,389352
0.998281,394397
0.99911,397546
0.99957,399796
0.999754,398190
