Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.249008,133332
2,0.248233,103404
3,0.24255,72114
4,0.233991,64472
5,0.220634,59911
6,0.206495,56924
7,0.184663,51999
8,0.161042,46243
9,0.13275,38797
10,0.101708,30824
11,0.0736877,23667
12,0.0490493,16613
13,0.0293995,10434
14,0.0168115,6229
15,0.00850447,3255
16,0.00461984,1800
17,0.00248479,977
18,0.00125522,498
19,0.000655945,262
20,0.000400231,158
21,0.000255772,102
22,0.000160636,64
23,0.00011454,46
24,4.98823e-05,20
25,2.02525e-05,8
26,1.00364e-05,4
27,4.97785e-06,2
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
NAN,NAN,NAN
1,0.24997,133332
2,0.247994,103224
3,0.243046,71786
4,0.23503,64525
5,0.221517,60615
6,0.206638,56485
7,0.187513,52353
8,0.163373,46583
9,0.134842,39439
10,0.105585,32020
11,0.075568,24001
12,0.0504068,16952
13,0.0307344,10811
14,0.0174877,6400
15,0.00952401,3624
16,0.00502212,1948
17,0.00235067,924
18,0.00111165,444
19,0.000576771,228
20,0.000364818,146
21,0.000180379,72
22,6.41639e-05,26
23,1.99404e-05,8
24,2.48546e-05,10
25,1.49793e-05,6
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
101,0,0
NAN,NAN,NAN
1,0.248529,133332
2,0.250415,105072
3,0.243812,72582
4,0.236822,64643
5,0.226657,61221
6,0.213515,58001
7,0.196919,54471
8,0.175016,49311
9,0.1475,42450
10,0.118538,35560
11,0.0905108,28218
12,0.0624985,20233
13,0.0398664,13719
14,0.0234769,8504
15,0.0127373,4799
16,0.00621804,2408
17,0.0031806,1252
18,0.00160287,636
19,0.000857771,342
20,0.000498758,200
21,0.000210528,84
22,8.99757e-05,36
23,3.49619e-05,14
24,1.50628e-05,6
25,4.97117e-06,2
26,5.00275e-06,2
27,5.01766e-06,2
28,4.99496e-06,2
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
