Wild_Type_Gene_Frequency,Num_Wild_Gene
0.770496,196686
0.789192,203842
0.813529,212972
0.842212,229240
0.877348,247556
0.908265,270060
0.940084,303256
0.962308,329552
0.97732,353958
0.987478,371418
0.993163,385820
0.996554,392184
0.99823,393610
0.999112,398082
0.999633,397806
0.999814,397918
0.999905,401562
0.999915,401230
0.99995,401808
0.999965,400586
0.99998,398088
0.99996,401776
0.999965,399658
0.99996,399256
0.999995,396766
0.99998,400808
0.999995,395858
1,401636
1,403960
1,397336
1,397428
1,399756
1,398656
1,400296
1,399828
1,399256
1,399768
1,399436
1,401136
1,398788
1,399832
1,399072
1,399676
1,397928
1,399468
1,399948
1,402680
1,399020
1,399452
1,397204
1,397104
1,398992
1,396868
1,400616
1,398696
1,399356
1,400592
1,399680
1,400224
1,400372
1,397892
1,398408
1,396432
1,398608
1,400148
1,398760
1,399712
1,401364
1,401192
1,398880
1,398468
1,401656
1,399656
1,398448
1,400916
1,401896
1,397540
1,397524
1,401032
1,397628
1,400692
1,401716
1,400232
1,400928
1,402632
1,400960
1,399168
1,400624
1,397888
1,399180
1,399924
1,398364
1,397576
1,398288
1,399356
1,399904
1,401280
1,401384
NAN,NAN
0.772997,196632
0.79352,202938
0.817575,214342
0.849439,231112
0.884455,253796
0.915407,281158
0.944096,306820
0.966549,338296
0.980709,359006
0.989416,374672
0.994756,384676
0.997316,394554
0.998377,394830
0.999222,398346
0.999562,397314
0.999812,403328
0.999911,402736
0.999975,402698
0.999985,400690
0.99998,401488
0.99998,401356
0.99999,401036
1,398504
1,399468
1,400404
1,401136
1,399596
1,399292
1,402908
1,403732
1,397480
1,399860
1,400604
1,400016
1,400104
1,399956
1,400164
1,399380
1,400288
1,403152
1,401852
1,397372
1,398004
1,403724
1,401848
1,401280
1,399456
1,400316
1,398160
1,399156
1,398580
1,397044
1,399468
1,400180
1,400144
1,401700
1,400748
1,402360
1,400384
1,401716
1,397900
1,398880
1,398952
1,402136
1,400512
1,399612
1,400840
1,399512
1,397992
1,395996
1,399820
1,400420
1,399804
1,401080
1,402368
1,402360
1,401964
1,401124
1,397340
1,399616
1,397456
1,398536
1,398296
1,400828
1,401308
1,402268
1,401352
1,399344
1,399632
1,397788
1,398324
1,399396
1,398748
1,397876
1,399420
1,397456
1,397476
1,400356
NAN,NAN
0.765155,194628
0.780379,199034
0.80155,204530
0.829841,221126
0.86227,241270
0.897158,266054
0.927718,294918
0.954431,320876
0.974134,349122
0.986426,374396
0.992447,387610
0.996227,389740
0.998198,393278
0.999033,394602
0.999586,395640
0.999845,399790
0.99993,400088
0.99994,400600
0.999985,399702
1,398716
1,399296
1,398316
1,397328
1,401076
1,402668
1,399500
1,397368
1,398728
1,398660
1,402304
1,400080
1,399784
1,400540
1,397228
1,399840
1,400384
1,401472
1,401632
1,397968
1,402128
1,399452
1,396780
1,398604
1,399724
1,400072
1,402416
1,404664
1,401244
1,402176
1,397040
1,399456
1,400324
1,398236
1,400428
1,398232
1,399392
1,398708
1,402816
1,399816
1,397600
1,398748
1,402876
1,401712
1,400660
1,397672
1,399004
1,403204
1,397424
1,399336
1,402020
1,402052
1,398884
1,401156
1,400372
1,398996
1,400328
1,398012
1,396144
1,401944
1,400448
1,398528
1,399656
1,400984
1,400984
1,400544
1,398816
1,399340
1,398184
1,401676
1,400120
1,401888
1,398756
1,398112
1,398068
1,398812
1,398588
1,398108
1,395128
NAN,NAN
0.768103,194920
0.782891,199800
0.805122,208388
0.83205,221668
0.864211,243296
0.895584,266010
0.926485,290794
0.95332,319450
0.972672,344894
0.985083,363070
0.992061,377860
0.99602,389874
0.99792,397324
0.998925,397616
0.999552,396882
0.999795,399382
0.999875,399930
0.999975,400306
0.999985,401978
0.99998,397948
0.99997,400824
1,399400
1,398876
1,401360
1,399092
1,396344
1,398436
1,396416
1,399532
1,398768
1,397916
1,399224
1,401504
1,398748
1,400140
1,399848
1,400812
1,399488
1,402280
1,401636
1,399416
1,401176
1,400860
1,399876
1,401316
1,401884
1,399400
1,400444
1,397824
1,399616
1,400816
1,400496
1,400756
1,399520
1,399628
1,400680
1,399172
1,400300
1,398976
1,402000
1,400900
1,400140
1,398436
1,402076
1,399484
1,399504
1,399016
1,398024
1,403288
1,398404
1,401844
1,399344
1,400508
1,401420
1,400828
1,398780
1,402116
1,401388
1,398996
1,400520
1,399508
1,401164
1,402076
1,400948
1,396304
1,398792
1,397124
1,395624
1,396136
1,398628
1,400696
1,398584
1,400712
1,400176
1,399740
1,401284
1,398132
1,401720
NAN,NAN
0.765948,195286
0.784499,200248
0.808848,209744
0.836088,223182
0.868575,243406
0.906357,270214
0.936239,299192
0.960932,326248
0.977448,352542
0.988277,372944
0.993912,381368
0.996979,389456
0.998467,395920
0.999213,393698
0.999628,397320
0.999829,397904
0.999905,400574
0.99998,401840
0.999995,397390
1,399976
1,397776
1,403012
1,402140
1,399208
1,403944
1,399020
1,399616
1,398148
1,400708
1,400452
1,398500
1,398944
1,402968
1,402596
1,400716
1,397480
1,401380
1,399992
1,397432
1,396548
1,396936
1,397192
1,403576
1,400012
1,400076
1,400724
1,397260
1,398664
1,399212
1,401200
1,400212
1,397076
1,396516
1,398480
1,399156
1,398128
1,397312
1,403620
1,398012
1,398508
1,396044
1,399988
1,398296
1,400704
1,398380
1,399236
1,396892
1,398852
1,401080
1,399864
1,400732
1,397748
1,397760
1,398160
1,395632
1,399368
1,398264
1,398732
1,398976
1,400092
1,400852
1,398068
1,398704
1,395428
1,399756
1,400920
1,398032
1,401068
1,403264
1,401156
1,397896
1,398500
1,398896
1,401624
1,397872
1,402356
1,399772
1,399532
NAN,NAN
0.769286,197008
0.789451,201490
0.81172,213924
0.840886,230184
0.874758,250884
0.909508,273580
0.939359,302248
0.961949,328802
0.977699,357134
0.988023,375670
0.993451,387756
0.996551,391788
0.998035,398128
0.998933,395034
0.999386,400450
0.999802,402996
0.999895,401350
0.99996,400204
0.99998,399240
0.99998,401820
0.99999,400780
0.99998,400516
0.99999,402348
1,401964
1,401932
1,400248
1,401416
1,401216
1,399084
1,400752
1,400080
1,401972
1,399396
1,399144
1,400636
1,398480
1,397884
1,399628
1,399812
1,398568
1,400148
1,401072
1,398900
1,401556
1,402352
1,394892
1,396144
1,399836
1,395992
1,398920
1,399852
1,398924
1,395628
1,397816
1,399160
1,401536
1,399888
1,400904
1,400768
1,400044
1,397964
1,400844
1,400212
1,399372
1,400888
1,400564
1,398976
1,402328
1,398716
1,398276
1,399340
1,398060
1,400644
1,398204
1,398588
1,397372
1,398520
1,400084
1,402876
1,397584
1,402288
1,397968
1,398940
1,401956
1,398724
1,399584
1,397908
1,401568
1,403280
1,402240
1,403052
1,400604
1,398244
1,397996
1,400476
1,400616
1,400532
1,399480
NAN,NAN
0.777681,199360
0.799011,207746
0.824393,221056
0.855084,237320
0.886982,259428
0.921315,284480
0.948175,311396
0.970884,341786
0.983519,364980
0.991532,379840
0.995752,390976
0.997646,393228
0.998709,397538
0.99918,397466
0.999578,397548
0.999756,400822
0.999845,400902
0.99994,399624
0.99995,400468
0.99998,400928
1,397764
1,395192
1,396608
1,396984
1,401080
1,400628
1,401208
1,402768
1,400828
1,402628
1,401292
1,399760
1,398384
1,398396
1,399004
1,397064
1,398856
1,400208
1,400336
1,400632
1,403348
1,399816
1,400508
1,400152
1,398544
1,401540
1,397104
1,402188
1,401308
1,397404
1,397676
1,401148
1,399648
1,400704
1,397836
1,402564
1,400688
1,402356
1,397920
1,401336
1,402268
1,398432
1,398844
1,399084
1,399880
1,398592
1,401700
1,400896
1,399476
1,400368
1,401152
1,400388
1,400936
1,399616
1,400332
1,406308
1,399440
1,400136
1,400860
1,400408
1,402352
1,399792
1,401520
1,397084
1,397928
1,399220
1,401736
1,398948
1,403200
1,398932
1,399408
1,403048
1,399184
1,400588
1,399760
1,399088
1,401496
1,397104
NAN,NAN
0.773389,196914
0.791146,204198
0.820165,214542
0.849582,233234
0.881399,253864
0.914603,279788
0.944675,308406
0.967045,336872
0.982049,356244
0.99059,376226
0.994891,385198
0.99704,388084
0.998528,398764
0.999263,398442
0.999462,397858
0.999709,398612
0.99985,400520
0.99993,400320
0.999965,398854
0.99998,400576
1,400524
1,399616
1,401696
1,400840
1,401932
1,399752
1,399768
1,403280
1,402592
1,401304
1,399924
1,398224
1,400168
1,402828
1,400212
1,398728
1,399684
1,402560
1,400036
1,400720
1,400524
1,399300
1,401220
1,400240
1,400940
1,399100
1,398884
1,401048
1,402296
1,396940
1,400148
1,400480
1,401660
1,398204
1,398632
1,401972
1,401812
1,400448
1,401184
1,400480
1,401264
1,400516
1,397612
1,402508
1,399620
1,398520
1,396792
1,396132
1,401324
1,399748
1,402172
1,400496
1,399380
1,403516
1,397680
1,399252
1,403012
1,400272
1,398020
1,400352
1,400956
1,400156
1,398540
1,398732
1,399356
1,402948
1,398004
1,396088
1,400700
1,400344
1,399892
1,397576
1,398236
1,404464
1,400748
1,402032
1,399460
1,398928
NAN,NAN
0.758512,193554
0.778278,194638
0.803682,209642
0.830705,225244
0.866443,241696
0.901035,264724
0.933391,295676
0.959469,320386
0.975983,350042
0.986518,372754
0.992859,382366
0.996207,391892
0.997964,394104
0.999034,399302
0.999445,400042
0.999733,397590
0.999919,396956
0.99999,397080
0.999985,397450
1,400160
1,400164
1,399180
1,398272
1,398168
1,398240
1,399960
1,399656
1,399864
1,402220
1,403268
1,400252
1,400972
1,399340
1,401348
1,400992
1,396952
1,400024
1,399124
1,397316
1,398248
1,397760
1,398636
1,400960
1,396188
1,399268
1,398420
1,401672
1,399372
1,398868
1,397624
1,400972
1,398672
1,401156
1,403232
1,402676
1,401632
1,400328
1,402232
1,401476
1,403260
1,401028
1,403160
1,399680
1,403232
1,401020
1,401608
1,399824
1,400412
1,398724
1,400896
1,400716
1,399244
1,397256
1,398436
1,397996
1,399592
1,398740
1,398496
1,397120
1,396156
1,398160
1,399656
1,399788
1,400608
1,398012
1,396848
1,399396
1,401448
1,398020
1,399768
1,401028
1,402612
1,402856
1,401944
1,402088
1,402648
1,400780
1,402308
NAN,NAN
0.768407,195034
0.788008,201084
0.812861,212394
0.842713,229518
0.875708,249272
0.907759,272956
0.938783,302138
0.96185,330334
0.979065,353560
0.988401,371196
0.993591,384786
0.996677,389310
0.998307,396248
0.99916,397298
0.99956,400068
0.999855,399510
0.99995,397720
0.99998,397504
0.99999,402488
1,401144
1,402452
1,402108
1,399408
1,399700
1,401572
1,397152
1,399356
1,398892
1,398296
1,398132
1,400320
1,401108
1,397404
1,400836
1,399828
1,401460
1,399276
1,400892
1,404000
1,401188
1,399972
1,402976
1,400960
1,399228
1,397784
1,401344
1,397616
1,399596
1,401512
1,401700
1,398472
1,399248
1,401768
1,402880
1,398856
1,400104
1,402244
1,401992
1,401408
1,399036
1,405208
1,402548
1,400664
1,402308
1,401108
1,397652
1,401256
1,401328
1,401336
1,401412
1,397148
1,400352
1,400584
1,402308
1,398572
1,394580
1,399252
1,399112
1,401648
1,398824
1,398596
1,397028
1,398888
1,400404
1,400192
1,397028
1,404336
1,400064
1,401784
1,399684
1,401288
1,402512
1,397876
1,397988
1,401516
1,401056
1,395224
1,401400
NAN,NAN
0.740404,185246
0.750045,185048
0.767087,189228
0.7895,199036
0.81038,210984
0.838466,226644
0.870627,245900
0.906398,271060
0.937722,299482
0.961445,329072
0.977509,354484
0.987881,370068
0.99402,380658
0.996785,389368
0.998435,393064
0.999374,396004
0.999647,396672
0.999743,396374
0.999869,396312
0.999905,401070
0.99997,400820
0.999985,399294
0.99999,395072
0.99999,398140
1,401116
1,399620
1,399868
1,400108
1,404980
1,404528
1,402860
1,398392
1,396428
1,401592
1,400788
1,400592
1,399508
1,399076
1,397952
1,399236
1,398480
1,401164
1,399428
1,400572
1,399588
1,399632
1,400252
1,397392
1,395384
1,400488
1,400104
1,401808
1,400068
1,399524
1,401284
1,402276
1,401720
1,397756
1,396512
1,399260
1,402016
1,401872
1,402708
1,399532
1,400072
1,397460
1,400548
1,400188
1,401556
1,402984
1,402328
1,401544
1,400964
1,399900
1,401108
1,400744
1,399284
1,403132
1,399292
1,399632
1,400188
1,401888
1,401084
1,401772
1,401212
1,401660
1,398976
1,397952
1,398332
1,402144
1,398044
1,400260
1,400156
1,398100
1,400052
1,401104
1,399992
1,398460
NAN,NAN
0.73728,181480
0.740808,182304
0.750114,183556
0.763007,187596
0.779146,194774
0.801471,206786
0.830188,221906
0.862845,239750
0.893278,262170
0.92375,288066
0.950291,317306
0.970244,342496
0.983462,365360
0.991043,377516
0.995292,385182
0.997499,390792
0.998819,397358
0.999437,397620
0.999752,402324
0.999802,403048
0.999874,398182
0.99992,400556
0.99995,399632
0.999985,400938
1,401952
1,399668
1,398952
1,397484
1,400400
1,404684
1,400476
1,401420
1,401552
1,399272
1,403676
1,400916
1,398508
1,398472
1,399576
1,401984
1,399976
1,394768
1,400936
1,399020
1,399980
1,403888
1,401380
1,400016
1,399260
1,398296
1,399752
1,401068
1,401548
1,400372
1,400356
1,398308
1,402008
1,398436
1,399344
1,399900
1,399004
1,402512
1,400784
1,398816
1,400392
1,397724
1,397208
1,399604
1,399764
1,400656
1,398928
1,400680
1,399372
1,401016
1,400348
1,400964
1,398432
1,403064
1,399840
1,402156
1,402664
1,400928
1,402928
1,400788
1,400052
1,398968
1,401784
1,401020
1,402168
1,401228
1,402100
1,401116
1,402412
1,399364
1,401448
1,399928
1,402664
1,398528
NAN,NAN
0.740323,183994
0.7453,182026
0.753991,185708
0.771051,192516
0.791004,203652
0.817765,215334
0.848472,231840
0.880275,252382
0.914119,280426
0.943223,308762
0.966286,337052
0.980085,360146
0.989635,375230
0.994302,386326
0.997221,396168
0.998667,398704
0.999261,399992
0.999575,395108
0.99981,399864
0.999905,398386
0.99996,397868
0.99998,397636
0.99999,400376
1,401536
1,400572
1,401296
1,399464
1,399428
1,398828
1,398972
1,400108
1,397384
1,399104
1,400864
1,399668
1,401008
1,399780
1,400880
1,398940
1,397448
1,397708
1,400496
1,401900
1,401404
1,398488
1,400392
1,402600
1,402036
1,396368
1,400364
1,403252
1,399000
1,401440
1,400796
1,402504
1,399536
1,396160
1,397316
1,401136
1,402336
1,401936
1,402440
1,403052
1,399588
1,399788
1,397196
1,398320
1,403448
1,402292
1,398132
1,398712
1,398380
1,400576
1,401360
1,400260
1,398768
1,399376
1,398172
1,402216
1,401712
1,400956
1,400672
1,399416
1,397400
1,401360
1,402688
1,402196
1,400404
1,399636
1,398544
1,401480
1,400272
1,402376
1,399448
1,400976
1,398748
1,399168
1,398152
NAN,NAN
0.739831,185020
0.748837,183444
0.76154,189520
0.772758,194936
0.79108,203124
0.816492,212830
0.846645,231168
0.878721,251764
0.910046,274812
0.94126,301478
0.965912,332834
0.980137,359032
0.98888,375798
0.994031,387354
0.997036,391504
0.998459,393884
0.999254,398914
0.999695,399506
0.999854,397062
0.99991,399740
0.99995,402752
0.99999,398596
0.99999,400272
1,398320
1,401920
1,401004
1,399216
1,399796
1,399172
1,397984
1,400048
1,396340
1,399880
1,397556
1,401964
1,401024
1,400600
1,398332
1,400164
1,398976
1,400068
1,398860
1,402356
1,402044
1,400040
1,399296
1,397748
1,400464
1,401488
1,399948
1,398076
1,399820
1,396980
1,399756
1,399316
1,398088
1,399096
1,401004
1,398664
1,400716
1,402032
1,398364
1,399252
1,401016
1,399216
1,396116
1,398744
1,404672
1,402380
1,400236
1,398580
1,397412
1,400944
1,397860
1,399536
1,399496
1,401320
1,403852
1,400852
1,400204
1,400180
1,398312
1,400640
1,404300
1,399236
1,399248
1,402036
1,402928
1,398332
1,402140
1,400116
1,396128
1,399604
1,401460
1,400508
1,402020
1,401044
1,400380
NAN,NAN
0.747043,188216
0.757776,191396
0.773615,196068
0.795246,202810
0.82361,216270
0.853936,232520
0.884879,255684
0.917959,279614
0.945486,308720
0.966163,339162
0.981653,361908
0.989567,375398
0.99479,386878
0.997213,392224
0.998702,397164
0.999264,399070
0.999656,401142
0.999845,399522
0.999925,398970
0.99998,400248
1,401100
