Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.169707,69448
2,0.164623,44368
3,0.155101,39593
4,0.142827,36891
5,0.125365,32819
6,0.105754,28785
7,0.0829837,23415
8,0.0609681,18128
9,0.0400795,12929
10,0.0249839,8556
11,0.0148438,5376
12,0.00838013,3152
13,0.00442241,1718
14,0.00228185,898
15,0.00118182,466
16,0.000627453,250
17,0.000246261,98
18,0.000140706,56
19,8.96414e-05,36
20,5.48267e-05,22
21,4.47953e-05,18
22,1.997e-05,8
23,1.50717e-05,6
24,2.98662e-05,12
25,2.00164e-05,8
26,3.00547e-05,12
27,5.04073e-06,2
28,9.97964e-06,4
29,5.05229e-06,2
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.170579,70074
2,0.165444,45141
3,0.153489,39044
4,0.140496,35931
5,0.123104,32274
6,0.101167,27525
7,0.0779433,22366
8,0.0566908,17412
9,0.0374075,12157
10,0.0224912,7872
11,0.0129812,4752
12,0.00714323,2705
13,0.00339536,1313
14,0.00182753,723
15,0.00115305,456
16,0.000501686,200
17,0.000301896,120
18,0.000128903,52
19,5.95871e-05,24
20,1.98655e-05,8
21,9.98263e-06,4
22,1.49441e-05,6
23,9.96602e-06,4
24,4.98703e-06,2
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.17017,69882
2,0.167793,44757
3,0.159877,40667
4,0.148639,37910
5,0.133857,34156
6,0.115008,30646
7,0.0922919,25824
8,0.0693099,20554
9,0.0485851,15445
10,0.0301937,10151
11,0.0172353,6177
12,0.00905287,3436
13,0.00501844,1960
14,0.0025229,987
15,0.00120816,476
16,0.00060762,240
17,0.000257703,102
18,0.000125046,50
19,5.49841e-05,22
20,2.99533e-05,12
21,1.00073e-05,4
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.171039,70254
2,0.167237,45184
3,0.157636,40003
4,0.147158,37556
5,0.13208,34186
6,0.114199,30424
7,0.0917293,25824
8,0.0692368,20565
9,0.0487785,15310
10,0.0311228,10429
11,0.0182608,6475
12,0.0101935,3757
13,0.0053192,2026
14,0.00261348,1023
15,0.00135124,538
16,0.000743636,296
17,0.000297184,118
18,0.000137684,55
19,7.50038e-05,30
20,1.99842e-05,8
21,1.4926e-05,6
22,2.01027e-05,8
23,1.49687e-05,6
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.170156,69936
2,0.168322,45614
3,0.15859,40434
4,0.145822,37222
5,0.129354,33543
6,0.110352,29457
7,0.0871587,24425
8,0.0628782,18746
9,0.0424229,13557
10,0.0261228,8869
11,0.0149358,5387
12,0.00788355,2975
13,0.00404478,1552
14,0.0020761,811
15,0.00101884,404
16,0.000492376,194
17,0.000241529,96
18,0.000120612,48
19,5.4916e-05,22
20,9.95401e-06,4
21,5.03281e-06,2
22,0,0
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.17063,70344
2,0.167471,46074
3,0.155784,39895
4,0.14288,36467
5,0.127736,33664
6,0.107467,29418
7,0.0836704,23997
8,0.0607114,18262
9,0.0408068,13130
10,0.025409,8685
11,0.0148544,5426
12,0.00795058,3023
13,0.00448103,1749
14,0.00230196,905
15,0.00124338,496
16,0.000713101,282
17,0.00041927,168
18,0.000119084,48
19,6.47746e-05,26
20,2.99835e-05,12
21,1.50283e-05,6
22,9.95451e-06,4
23,4.99022e-06,2
24,9.98692e-06,4
25,4.97077e-06,2
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.169006,69658
2,0.161727,43808
3,0.15089,38681
4,0.135886,35331
5,0.117948,31627
6,0.0982345,27264
7,0.075946,22213
8,0.0528668,16324
9,0.0340787,11192
10,0.0193957,6828
11,0.0109298,4056
12,0.00558624,2140
13,0.00278879,1095
14,0.00152224,600
15,0.000889331,354
16,0.000553053,220
17,0.000256464,102
18,0.000174598,70
19,0.000109736,44
20,3.50308e-05,14
21,3.49574e-05,14
22,9.97665e-06,4
23,0,0
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.171372,70310
2,0.166514,45343
3,0.152797,38904
4,0.140327,36219
5,0.121047,31664
6,0.101764,27937
7,0.079601,22927
8,0.0572746,17521
9,0.0370848,12107
10,0.0217194,7566
11,0.0119777,4345
12,0.00636914,2419
13,0.00346354,1341
14,0.00203989,794
15,0.000966566,386
16,0.000521648,208
17,0.000351695,140
18,0.000190606,76
19,0.000109841,44
20,4.49609e-05,18
21,3.50993e-05,14
22,9.98542e-06,4
23,0,0
24,0,0
