Wild_Type_Gene_Frequency,Num_Wild_Gene
0.714448,111734
0.732395,109868
0.760164,119212
0.793285,133970
0.831936,155226
0.875622,182984
0.916616,222932
0.949404,268366
0.970812,312450
0.983773,346898
0.991042,370852
0.995463,380418
0.997618,390372
0.998675,396358
0.999458,398472
0.999744,397674
0.999915,399318
0.99995,399164
0.99996,399176
0.999965,397054
0.999985,399974
0.999995,398554
1,402560
1,398800
1,401344
1,399668
1,398944
1,399628
1,401328
1,401184
1,399496
1,400196
1,396516
1,398832
1,401240
1,400756
1,399680
1,399772
1,402440
1,400036
1,403716
1,400984
1,396340
1,398648
1,398488
1,400780
1,401660
1,394072
1,400108
1,401004
1,401464
1,398368
1,401164
1,399436
1,398124
1,402096
1,399104
1,397596
1,399752
1,400352
1,402196
1,399504
1,395824
1,399704
1,401884
1,402476
1,400556
1,401708
1,399916
1,401152
1,398004
1,397848
1,400004
1,398320
1,400028
1,397936
1,400272
1,399408
1,400836
1,402188
1,401004
1,399760
1,400152
1,402588
1,399916
1,397876
1,398460
1,398948
1,397536
1,398008
1,399620
1,399440
1,399248
1,401800
1,400856
1,399988
1,399468
1,400840
NAN,NAN
0.713764,111310
0.734948,112450
0.761871,121680
0.798581,136618
0.841501,157768
0.886201,191306
0.924856,234292
0.955178,278786
0.975542,323712
0.986988,356954
0.993322,376040
0.996498,384748
0.998168,391174
0.998959,397454
0.999426,396800
0.999716,401870
0.999865,399190
0.99995,398724
0.99997,398356
0.999985,399618
0.999995,402310
1,397584
1,399448
1,400980
1,401844
1,398160
1,399424
1,396948
1,397944
1,400956
1,399136
1,400112
1,399400
1,400676
1,399244
1,400696
1,397624
1,399656
1,401172
1,400680
1,403880
1,401460
1,399752
1,402208
1,398084
1,398568
1,402840
1,401148
1,398496
1,401400
1,400548
1,402964
1,400884
1,398264
1,402276
1,401140
1,397556
1,399788
1,402628
1,400204
1,402224
1,403108
1,397860
1,399592
1,402808
1,399112
1,396924
1,401964
1,404564
1,399684
1,401324
1,400772
1,399456
1,401600
1,395496
1,399012
1,399064
1,398156
1,401012
1,402924
1,400260
1,401592
1,400476
1,400672
1,399496
1,400928
1,401484
1,399028
1,397628
1,399744
1,400260
1,399288
1,402928
1,401124
1,400620
1,399396
1,395784
1,401156
NAN,NAN
0.720783,115948
0.742007,116688
0.778125,125412
0.815698,142646
0.861262,168270
0.90183,204214
0.937848,251032
0.96307,299796
0.979329,335146
0.989541,361214
0.994651,378978
0.997257,390418
0.998517,393084
0.99925,396946
0.999688,397180
0.999864,397270
0.999925,397882
0.99996,398876
0.999985,401238
0.99999,400356
0.999995,402314
0.99999,400936
1,399864
1,400600
1,400012
1,400140
1,400068
1,403028
1,402460
1,399680
1,400216
1,399704
1,399292
1,401200
1,399124
1,399720
1,398752
1,396872
1,400424
1,398408
1,400376
1,399564
1,397724
1,398516
1,401076
1,400272
1,400512
1,401216
1,401580
1,400640
1,402228
1,402656
1,400444
1,400312
1,400608
1,398464
1,400180
1,399512
1,402104
1,399816
1,397908
1,397308
1,400816
1,399568
1,399780
1,399224
1,399588
1,402408
1,400912
1,401168
1,398884
1,401128
1,397228
1,400580
1,400568
1,401012
1,397716
1,396884
1,401308
1,399036
1,399380
1,396956
1,400532
1,397420
1,399420
1,400008
1,397880
1,400244
1,400676
1,400320
1,400588
1,399740
1,401492
1,402732
1,403156
1,402412
1,399244
1,401064
NAN,NAN
0.721827,114990
0.742716,115632
0.776865,128018
0.815521,143760
0.860359,169656
0.904921,206912
0.940938,253022
0.966392,302504
0.98188,338568
0.99025,363382
0.995182,380044
0.997575,392522
0.998918,395032
0.999364,392870
0.999706,401026
0.999855,400590
0.99994,401204
0.999965,400862
0.99996,403500
1,399924
1,397416
1,400076
1,400360
1,395464
1,402600
1,400448
1,397668
1,398356
1,398536
1,401200
1,399652
1,401040
1,401152
1,398820
1,398984
1,401772
1,398540
1,403084
1,402324
1,399568
1,398336
1,400872
1,400608
1,400248
1,396456
1,399648
1,399736
1,399176
1,401548
1,402072
1,399720
1,398236
1,397472
1,401648
1,403904
1,401756
1,401720
1,401180
1,396944
1,397836
1,396576
1,398476
1,399376
1,402260
1,401692
1,401460
1,398536
1,399544
1,396624
1,400936
1,400880
1,399788
1,399180
1,400452
1,401328
1,400096
1,401824
1,397744
1,399712
1,402868
1,399716
1,399100
1,404568
1,399176
1,399924
1,401540
1,398536
1,401212
1,398952
1,402220
1,400260
1,402236
