Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.310641,131196
2,0.300471,55580
3,0.285552,44658
4,0.267605,40144
5,0.239836,37612
6,0.206715,34910
7,0.168064,31358
8,0.124378,25992
9,0.083384,20280
10,0.0505965,14302
11,0.0291881,9394
12,0.0162271,5722
13,0.00895768,3352
14,0.00453746,1734
15,0.00238178,932
16,0.00132532,526
17,0.000541777,216
18,0.000256426,102
19,8.51379e-05,34
20,5.01022e-05,20
21,4.0081e-05,16
22,3.52584e-05,14
23,1.50008e-05,6
24,5.01812e-06,2
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.311561,130762
2,0.301593,56124
3,0.286236,44638
4,0.265052,40554
5,0.238129,38032
6,0.201419,34458
7,0.158499,29716
8,0.113799,24566
9,0.0751437,19036
10,0.0448216,13082
11,0.0244585,8116
12,0.0130122,4706
13,0.0066778,2528
14,0.00350168,1352
15,0.00183214,718
16,0.00104055,414
17,0.000574267,228
18,0.000283593,114
19,0.000135256,54
20,5.01575e-05,20
21,3.01229e-05,12
22,1.50141e-05,6
23,4.97127e-06,2
24,0,0
25,0,0
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
