Wild_Type_Gene_Frequency,Num_Wild_Gene
0.66144,95078
0.703096,98740
0.767325,114092
0.852043,141906
0.926816,197334
0.97276,269968
0.991971,337552
0.997897,375764
0.999499,391360
0.99988,398612
0.99997,398128
1,397844
1,402596
1,400552
1,401248
1,397864
1,401108
1,402312
1,399404
1,399212
1,400812
1,401920
1,401232
1,401668
1,400792
1,403292
1,402508
1,400304
1,397432
1,399968
1,400744
1,398916
1,399576
1,401616
1,404144
1,401172
1,400292
1,400044
1,396368
1,399180
1,402220
1,403656
1,402188
1,400532
1,404356
1,397588
1,401796
1,400292
1,398504
1,399736
1,401560
1,400012
1,402032
1,400212
1,398880
1,401832
1,398316
1,399972
1,401020
1,400812
1,402184
1,401708
1,401608
1,398596
1,397124
1,394972
1,398420
1,401092
1,398804
1,397640
1,401876
1,401884
1,401232
1,401104
1,399804
1,398304
1,402324
1,398648
1,398704
1,401224
1,399920
1,398056
1,399484
1,402832
1,397436
1,403484
1,402840
1,399172
1,402492
1,397296
1,397500
1,400656
1,402384
1,398876
1,399188
1,402276
1,401204
1,398836
NAN,NAN
0.662891,96554
0.712186,100592
0.77758,119486
0.860195,150018
0.933307,204062
0.975822,275982
0.992498,340014
0.99796,377684
0.999527,393206
0.99991,400732
0.999975,400186
1,399088
1,401512
1,400272
1,398428
1,399804
1,397000
1,402508
1,403008
1,400540
1,401856
1,400728
1,397804
1,400112
1,398908
1,398600
1,397816
1,397752
1,401436
1,400364
1,401512
1,400848
1,398284
1,401776
1,395300
1,401548
1,399960
1,399084
1,399684
1,401644
1,401284
1,402188
1,397132
1,398848
1,397596
1,398712
1,399964
1,400584
1,400348
1,397356
1,397532
1,397248
1,399188
1,401080
1,397772
1,402004
1,405204
1,401084
1,400684
1,402464
1,400004
1,399704
1,397276
1,398516
1,401628
1,402832
1,399048
1,400304
1,402036
1,400656
1,398424
1,403040
1,400320
1,399092
1,399644
1,402612
1,399868
1,400852
1,398616
1,398420
1,399552
1,397728
1,399344
1,397980
1,399304
1,396224
1,396456
1,397240
1,400980
1,402336
1,402192
1,401576
1,402660
1,400744
1,398412
1,402924
1,399196
1,400628
NAN,NAN
0.667106,97152
0.719443,102158
0.788263,120002
0.873243,156314
0.942621,217112
0.980768,289452
0.994474,355576
0.998611,386810
0.999621,395878
0.99993,398068
0.999985,398290
0.99998,402152
0.999995,400634
1,398308
1,399816
1,396508
1,399104
1,398440
1,398880
1,396956
1,401496
1,399612
1,398552
1,400816
1,401992
1,398884
1,397700
1,402072
1,399496
