Wild_Type_Gene_Frequency,Num_Wild_Gene
0.704224,190625
0.71671,196324
0.735662,209749
0.759763,221562
0.782789,234630
0.808667,255487
0.831653,277067
0.853711,294841
0.871606,313604
0.885042,327055
0.896183,340675
0.905013,348763
0.91367,354431
0.921191,359268
0.927452,362886
0.932486,369242
0.936939,370001
0.940128,370497
0.943577,371641
0.946799,374296
0.95002,378066
0.95208,380314
0.953606,379928
0.955588,380217
0.956964,379551
0.958861,382601
0.960625,385422
0.96209,384232
0.963517,386089
0.964672,382338
0.965926,382866
0.967531,387051
0.968419,386496
0.969219,389316
0.97035,385256
0.971736,389289
0.972341,389022
0.972888,389058
0.973773,390148
0.9745,387847
0.974992,386791
0.975509,394773
0.975391,389501
0.976746,391894
0.977396,391228
0.977637,393530
0.977906,390079
0.978952,391052
0.979648,394187
0.980128,392463
0.97985,394613
0.980037,392007
0.980162,392406
0.980167,391753
0.980608,389462
0.980834,392000
0.981605,396062
0.981878,392009
0.981981,391064
0.98272,389558
0.982759,393355
0.982963,391581
0.983087,391257
0.983349,395440
0.983183,394933
0.983565,392411
0.984085,394567
0.984414,397093
0.984691,395188
0.984808,393608
0.985142,395369
0.98493,393645
0.985315,393669
0.985737,395537
0.985939,394920
0.986151,391510
0.986295,394794
0.985976,391547
0.985641,395928
0.985997,393125
0.986185,393772
0.986466,392361
0.987057,393046
0.987598,390986
0.987924,392443
0.988074,392870
0.98826,393462
0.988226,395733
0.988456,395501
0.988487,395541
0.988921,396316
0.988913,396831
0.989169,396285
0.989498,397406
0.989805,395249
NAN,NAN
0.684525,184537
0.693386,186934
0.707929,192823
0.72554,204318
0.747598,215051
0.771223,229954
0.795158,247959
0.820127,266574
0.842216,285070
0.862159,304394
0.877967,318955
0.890669,334824
0.900884,342588
0.909891,350559
0.917623,356438
0.923654,360794
0.929876,365910
0.934821,368974
0.938446,370112
0.942077,373903
0.94512,374086
0.948038,377721
0.949751,379418
0.95196,379554
0.954095,378829
0.955928,379056
0.958031,382032
0.959611,383334
0.960851,382684
0.962413,385281
0.963492,383354
0.965156,386356
0.966357,384065
0.966998,385101
0.968433,387067
0.968762,388679
0.970066,386160
0.970747,384179
0.971884,388190
0.972235,388610
0.972833,391009
0.973069,389531
0.973698,386519
0.974211,389053
0.975189,385820
0.975957,390336
0.976749,388535
0.977126,386899
0.977051,390320
0.977167,391586
0.977958,390350
0.978824,390903
0.9791,393273
0.979785,394297
0.980351,393050
0.980607,394451
0.981278,395239
0.981503,393724
0.982039,393507
0.982657,392033
0.983139,392638
0.983022,390775
0.983233,389954
0.983829,392831
0.984079,390510
0.984064,395275
0.984441,394946
0.984584,390498
0.984634,393192
0.985191,394573
0.98543,393088
0.985996,395404
0.986223,395637
0.986398,391245
0.986164,392643
0.986539,394655
0.986744,392361
0.987289,392309
0.987768,395435
0.98765,391789
0.988257,392500
0.988486,399380
0.988774,395723
0.988568,394162
0.988708,397156
0.988806,398813
0.988317,397260
0.98874,399716
0.988866,397520
0.989408,396436
0.989365,395176
0.989176,395358
0.989266,396850
0.989311,393817
0.989419,394426
NAN,NAN
0.681911,182482
0.688883,186252
0.704245,193594
0.724478,204155
0.74861,217513
0.772505,231288
0.796252,249214
0.821252,267843
0.844435,287976
0.863644,307274
0.87967,319591
0.892782,336343
0.903188,345838
0.91289,354300
0.920087,356887
0.927201,363689
0.93173,366990
0.935536,370012
0.93931,372320
0.942486,375709
0.945448,374628
0.948306,375055
0.950733,373680
0.952872,380055
0.954937,377624
0.957349,379520
0.959009,384156
0.960296,382624
0.961879,380927
0.963599,382406
0.96533,383761
0.966244,384685
0.967068,384773
0.968009,384412
0.969467,385557
0.970112,386256
0.970862,387110
0.971689,387051
0.972362,386938
0.973801,388862
0.974487,390099
0.974943,387696
0.975687,391223
0.975689,388098
0.976905,388937
0.977168,389972
0.977487,389161
0.97841,392307
0.978574,393461
0.97901,390997
0.97974,392327
0.980033,390347
0.980523,392876
0.980927,389742
0.980767,390298
0.981164,394428
0.981989,393581
0.982727,395009
0.982993,394778
0.983025,390890
0.983596,391412
0.983557,392628
0.983535,391734
0.98374,393677
0.98402,392510
0.984034,397420
0.984212,394543
0.984383,389158
0.98424,393755
0.983992,394211
0.984069,392049
0.984169,394321
0.984713,394543
0.984456,394747
0.985113,394577
0.985178,394217
0.985474,393756
0.985749,394812
0.985903,391987
0.9862,396255
0.986331,394919
0.986595,394930
0.986823,393995
0.987451,396118
0.987886,394771
0.988197,395358
0.988241,395063
0.988209,395003
0.988217,396876
0.988394,394381
0.988565,396304
0.988879,393210
0.989008,395809
0.9891,395292
0.9893,393793
NAN,NAN
0.70948,194460
0.722498,200421
0.73985,210727
0.760108,224235
0.784209,238478
0.807601,256523
0.828435,275816
0.849084,293053
0.867567,307393
0.883415,326351
0.896517,333368
0.906973,346391
0.914418,351462
0.920871,358484
0.926911,365407
0.93339,367360
0.938311,373005
0.941629,373115
0.94529,372724
0.948035,375801
0.950862,378344
0.953331,379994
0.955995,377832
0.958442,382330
0.959939,380873
0.961858,384316
0.963612,383294
0.965265,385415
0.966193,386574
0.967336,385526
0.9682,388047
0.968539,386505
0.969191,387157
0.970033,391416
0.97059,385763
0.971169,385554
0.97225,390055
0.972394,388767
0.973343,387040
0.973955,387669
0.973749,390672
0.974142,390927
0.974881,388954
0.975708,389413
0.975901,390130
0.97615,392420
0.977018,393070
0.977567,392939
0.978105,390221
0.978806,393895
0.979325,389650
0.979835,392663
0.980084,393253
0.980263,389690
0.980684,395859
0.981264,392121
0.981294,394017
0.981977,391086
0.982258,393697
0.982416,393933
0.982643,391642
0.982888,394020
0.98303,393338
0.98335,390512
0.98341,390174
0.983525,394016
0.984092,391086
0.984071,390810
0.984565,393389
0.984512,395498
0.984961,396183
0.98513,392984
0.985505,394411
0.986194,393318
0.986376,395387
0.986793,395041
