Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.159867,65550
2,0.150156,49521
3,0.142733,42249
4,0.13288,37200
5,0.123301,33411
6,0.111457,30170
7,0.0980637,26862
8,0.0835905,23833
9,0.0680269,19838
10,0.0531568,15933
11,0.038511,12167
12,0.0272308,9072
13,0.0175554,6063
14,0.0110617,3980
15,0.00683831,2527
16,0.00426159,1620
17,0.00266758,1028
18,0.00156218,606
19,0.000876914,342
20,0.000529044,207
21,0.000267693,106
22,0.000124081,49
23,3.80622e-05,15
24,1.26947e-05,5
25,2.52955e-06,1
26,0,0
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.161155,66602
2,0.154808,51102
3,0.148161,43432
4,0.140274,39027
5,0.132193,36086
6,0.123015,33163
7,0.112932,30446
8,0.100534,27383
9,0.0871353,24538
10,0.0722773,20791
11,0.0581216,17330
12,0.0443919,13843
13,0.0325745,10588
14,0.0220429,7461
15,0.014397,5083
16,0.00907269,3296
17,0.00572722,2153
18,0.00332913,1266
19,0.00195704,754
20,0.0011276,438
21,0.000655375,256
22,0.0003202,126
23,0.000126678,50
24,0.00010903,43
25,4.7872e-05,19
26,7.57943e-06,3
27,2.50989e-06,1
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.159938,65364
2,0.155346,51749
3,0.149394,43749
4,0.142125,39363
5,0.134393,36199
6,0.124893,33422
7,0.11474,31022
8,0.100558,27643
9,0.0860481,24248
10,0.0718209,20868
11,0.0571944,17124
12,0.0435773,13639
13,0.0307107,10016
14,0.0207285,7069
15,0.0134209,4775
16,0.00848591,3083
17,0.00510172,1922
18,0.00304512,1166
19,0.00177013,687
20,0.000979674,380
21,0.0004487,176
22,0.000251346,99
23,0.000159289,63
24,7.31629e-05,29
25,7.02395e-05,28
26,3.53318e-05,14
27,2.2756e-05,9
28,2.54424e-06,1
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.157649,65170
2,0.150791,49997
3,0.140607,41461
4,0.130937,36953
5,0.120489,33279
6,0.108443,29723
7,0.095447,26477
8,0.081503,23214
9,0.0676126,19946
10,0.0534134,16243
11,0.0408329,12970
12,0.0300989,10021
13,0.0200846,6932
14,0.0126949,4498
15,0.00764442,2824
16,0.00426787,1587
17,0.00258693,988
18,0.00144397,555
