Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00522541,1042
2,0.0106262,2137
3,0.0215336,4287
4,0.0410068,8177
5,0.0761081,15121
6,0.134607,26197
7,0.212662,39302
8,0.298933,48597
9,0.37294,46563
10,0.428313,34337
11,0.461316,19903
12,0.480823,9001
13,0.4943,2775
14,0.5,420
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00491175,979
2,0.00994875,1984
3,0.0192267,3846
4,0.0374506,7460
5,0.0702105,13825
6,0.121099,23569
7,0.1936,36293
8,0.277503,46838
9,0.357171,47743
10,0.416103,37500
11,0.452901,23261
12,0.473726,11413
13,0.486145,4737
14,0.481899,1198
15,0.5,401
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00460528,921
2,0.00953357,1907
3,0.0188376,3776
4,0.0362235,7241
5,0.0684235,13691
6,0.11962,23495
7,0.190457,35855
8,0.274152,46681
9,0.35564,48271
10,0.414389,37900
11,0.454888,23404
12,0.474623,11072
13,0.482632,4196
14,0.48723,1488
15,0.484848,416
16,0.461207,107
17,0.5,108
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00512242,1021
2,0.00942013,1889
3,0.0185451,3694
4,0.0361771,7231
5,0.0685714,13618
6,0.119707,23401
7,0.193406,36527
8,0.279687,47780
9,0.355754,47464
10,0.414999,37696
11,0.456692,23611
12,0.473641,10440
13,0.481507,4218
14,0.494355,1664
15,0.5,171
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00506,1012
2,0.00971251,1948
3,0.0190102,3822
4,0.0369366,7330
5,0.0685324,13613
6,0.118637,23258
7,0.191659,36053
8,0.276068,46586
9,0.353893,47680
10,0.412052,38161
11,0.452766,24424
12,0.472312,11924
13,0.485435,4966
14,0.492023,1542
15,0.5,265
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00503085,1011
2,0.00992106,1968
3,0.0198855,3968
4,0.0396802,7910
5,0.0727945,14465
6,0.12748,24805
7,0.203223,37823
8,0.288437,47389
9,0.365072,47014
10,0.425437,36802
11,0.458872,20574
12,0.480488,9924
13,0.484608,3054
14,0.494882,967
15,0.436047,75
16,0.394309,97
17,0.46822,221
18,0.428571,162
19,0.492775,341
20,0.5,32
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00491468,985
2,0.00985768,1981
3,0.01996,3977
4,0.0382494,7628
5,0.0708177,14127
6,0.124185,24222
7,0.200424,37513
8,0.285705,47439
9,0.363195,47389
10,0.422118,36406
11,0.457288,22023
12,0.479143,10108
13,0.488882,3386
14,0.5,835
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00489663,982
2,0.00963712,1927
3,0.0195993,3884
4,0.0389477,7740
5,0.0710427,14072
6,0.122794,24005
7,0.196469,36674
8,0.28217,46922
9,0.359195,47987
10,0.419751,37859
11,0.456787,21987
12,0.4808,10693
13,0.491267,3094
14,0.5,487
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00515464,1027
2,0.00962459,1931
3,0.0194802,3926
