Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
1,0.995101,197225
2,0.990661,198376
3,0.98188,198161
4,0.964116,192773
5,0.930204,186437
6,0.868466,171932
7,0.765791,147090
8,0.618532,109980
9,0.448835,64380
10,0.290112,26446
11,0.168329,6783
12,0.0986,1155
13,0.016055,28
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.995431,199580
2,0.991124,198540
3,0.982888,195693
4,0.966094,192473
5,0.933695,186810
6,0.875102,173244
7,0.77739,150240
8,0.635007,113764
9,0.465385,68138
10,0.300066,29095
11,0.167481,7606
12,0.0828084,999
13,0.0605442,89
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.995305,197578
2,0.990896,197981
3,0.982104,195698
4,0.965242,194112
5,0.930714,186275
6,0.869254,173470
7,0.769654,148009
8,0.628517,111426
9,0.458494,66743
10,0.305028,28500
11,0.17759,8075
12,0.10455,1388
13,0.0403536,105
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.994913,198913
2,0.990435,198285
3,0.981851,195459
4,0.964125,192879
5,0.930678,185473
6,0.871517,172135
7,0.773868,149957
8,0.632634,112433
9,0.464721,67549
10,0.301206,28879
11,0.178853,7881
12,0.0930268,1230
13,0.023445,49
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.995119,197147
2,0.989113,197150
3,0.978747,195949
4,0.957593,190676
5,0.916323,182363
6,0.844871,166323
7,0.734708,139142
8,0.580637,99657
9,0.412002,54498
10,0.251331,19925
11,0.137226,4268
12,0.0743979,519
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.994966,199839
2,0.990717,198088
3,0.982649,196915
4,0.965054,194192
5,0.932205,187761
6,0.875675,172550
7,0.776468,149894
8,0.636901,114874
9,0.470106,69682
10,0.308809,30338
11,0.181683,8312
12,0.0813236,1133
13,0.0465729,53
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.994774,198529
2,0.989433,199151
3,0.979943,195577
4,0.961124,190314
5,0.924364,184137
6,0.859337,170673
7,0.751733,144680
8,0.600412,105681
9,0.428553,59874
10,0.270803,22911
11,0.160166,5774
12,0.103486,1033
13,0.049711,86
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.995249,198807
2,0.990633,198392
3,0.981679,196330
4,0.963659,191743
5,0.929523,184791
6,0.867659,171833
7,0.762983,147332
8,0.617615,109718
9,0.442738,63324
10,0.284567,25512
11,0.160827,6398
12,0.0958278,1006
13,0.0560241,93
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.994911,200777
2,0.989349,198592
3,0.978935,195458
4,0.958245,190526
5,0.919432,182728
6,0.84956,168201
7,0.736739,141221
8,0.57922,100241
9,0.402701,53647
10,0.259906,19914
11,0.156635,5111
12,0.0758844,725
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.994869,199521
2,0.989884,197771
3,0.980888,195026
4,0.962551,192283
5,0.927564,184396
6,0.865403,170545
7,0.763879,145357
8,0.616934,108473
9,0.443862,63435
10,0.29289,25943
11,0.176183,7214
12,0.10537,1299
13,0.0664498,143
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992642,200190
2,0.98517,196506
3,0.970647,193910
4,0.943159,188013
5,0.891091,177067
6,0.804392,155801
7,0.674633,123698
8,0.508991,80562
9,0.339223,37398
10,0.2055,11455
11,0.103448,1980
12,0.0682255,213
13,0,0
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992369,198446
2,0.985088,196724
3,0.969851,192562
4,0.943116,186554
5,0.892987,178617
6,0.805697,157169
7,0.67562,124229
8,0.505386,79946
9,0.332278,35783
10,0.201021,10827
11,0.129328,2241
12,0.0708434,294
13,0.0537037,29
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992493,197905
2,0.98474,196373
3,0.969859,192709
4,0.940002,189512
5,0.886425,176255
6,0.795921,155776
7,0.663359,120876
8,0.496033,77276
9,0.331774,35097
10,0.196965,10551
11,0.124093,2087
12,0.0901552,337
13,0.0789474,33
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.992328,198154
2,0.984726,195927
3,0.969947,194131
4,0.941859,190071
5,0.891611,178875
6,0.803049,157192
7,0.670974,123992
8,0.50436,79355
9,0.336735,36523
10,0.202685,11202
11,0.105899,1964
12,0.0715661,223
13,0.111399,43
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.99224,199478
2,0.985101,197759
3,0.969114,193784
4,0.938952,187642
5,0.883347,174689
6,0.78967,153125
7,0.653358,118612
8,0.485853,73940
9,0.323497,33557
10,0.205208,10292
11,0.115007,2060
12,0.0724195,261
13,0.109677,34
14,0,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
