Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00489919,971
2,0.00933851,1870
3,0.0181203,3657
4,0.0358843,7175
5,0.0697963,13989
6,0.131534,26040
7,0.234209,44986
8,0.381468,67828
9,0.551165,79058
10,0.709888,64712
11,0.831671,33513
12,0.9014,10559
13,0.983945,1716
14,1,48
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00456867,916
2,0.00887589,1778
3,0.017112,3407
4,0.0339059,6755
5,0.0663048,13266
6,0.124898,24726
7,0.22261,43022
8,0.364993,65390
9,0.534615,78274
10,0.699934,67867
11,0.832519,37808
12,0.917192,11065
13,0.939456,1381
14,1,74
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00469498,932
2,0.0091041,1819
3,0.0178959,3566
4,0.0347585,6990
5,0.0692858,13867
6,0.130746,26092
7,0.230346,44297
8,0.371483,65858
9,0.541506,78827
10,0.694972,64934
11,0.82241,37395
12,0.89545,11888
13,0.959646,2497
14,1,92
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00508678,1017
2,0.00956543,1915
3,0.0181492,3613
4,0.035875,7177
5,0.0693218,13815
6,0.128483,25377
7,0.226132,43819
8,0.367366,65289
9,0.535279,77805
10,0.698794,66999
11,0.821147,36183
12,0.906973,11992
13,0.976555,2041
14,1,40
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
NAN,NAN,NAN
1,0.00488103,967
2,0.010887,2170
3,0.0212533,4255
4,0.0424066,8444
