Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00515099,1020
2,0.0105059,2086
3,0.0213162,4251
4,0.0416061,8295
5,0.0823473,16439
6,0.15243,30171
7,0.271857,52800
8,0.451589,84029
9,0.66165,104145
10,0.841197,90851
11,0.947326,48289
12,0.989453,13884
13,1,1374
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
NAN,NAN,NAN
1,0.00515696,1031
2,0.0102467,2071
3,0.020041,3989
4,0.0403232,8029
5,0.0780204,15588
6,0.144055,28543
7,0.255562,49650
8,0.427192,78793
9,0.633795,101681
10,0.826817,95876
11,0.945664,54213
12,0.992586,14861
13,1,1022
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
NAN,NAN,NAN
1,0.00494397,991
2,0.009763,1960
3,0.019615,3937
4,0.0385317,7734
5,0.0748449,14888
6,0.14133,28116
7,0.254072,49759
8,0.425969,79560
9,0.632611,102354
10,0.821957,94525
11,0.942268,54465
12,0.990068,16348
13,1,1424
14,NAN,0
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
NAN,NAN,NAN
1,0.00521622,1054
2,0.0107652,2160
3,0.0219978,4400
4,0.04302,8580
