Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00495452,986
2,0.0098704,1965
3,0.0195641,3944
4,0.039781,8015
5,0.0785074,15701
6,0.152076,30143
7,0.281156,56067
8,0.485174,97157
9,0.733886,147015
10,0.928629,183928
11,0.994475,198185
12,0.99995,198972
13,1,199862
14,1,200022
15,1,202040
16,1,201896
17,1,202688
18,1,200634
19,1,201154
20,1,200492
21,1,200456
22,1,199674
23,1,200712
24,1,199634
25,1,201086
26,1,200156
27,1,200372
28,1,198962
29,1,200790
30,1,200242
31,1,200268
32,1,199222
33,1,200492
34,1,199834
35,1,199708
36,1,201266
37,1,201146
38,1,200394
39,1,199892
40,1,198338
NAN,NAN,NAN
1,0.0051,1022
2,0.00993759,1984
3,0.0200247,4016
4,0.0398127,7967
5,0.0768117,15441
6,0.149575,30218
7,0.27833,55842
8,0.480502,96108
9,0.732733,147080
10,0.930171,187701
11,0.995201,199307
12,0.999975,198355
13,1,200694
14,1,200562
15,1,200606
16,1,199886
17,1,200048
18,1,199436
19,1,198414
20,1,200598
21,1,199720
22,1,200946
23,1,201286
24,1,199658
25,1,199210
26,1,201342
27,1,202434
28,1,198840
29,1,198046
30,1,199498
31,1,201094
32,1,202368
33,1,201236
34,1,200130
35,1,199546
36,1,198742
37,1,200232
38,1,199926
39,1,200490
40,1,200528
NAN,NAN,NAN
1,0.00494314,985
2,0.00995337,1985
3,0.0196453,3943
4,0.0391564,7880
5,0.077311,15345
6,0.147644,29629
7,0.274728,54839
8,0.474092,95285
9,0.723732,144425
10,0.924214,184889
11,0.994117,198720
12,0.99995,199976
13,1,199710
14,1,199108
15,1,199338
16,1,199162
17,1,198500
18,1,198780
19,1,200564
20,1,198784
21,1,199858
22,1,200064
23,1,200898
24,1,200174
25,1,199976
26,1,199396
27,1,201118
28,1,200430
29,1,201554
30,1,199452
31,1,200850
32,1,200308
33,1,199234
34,1,200798
35,1,200092
36,1,198828
37,1,198810
38,1,198914
39,1,201314
40,1,200044
NAN,NAN,NAN
1,0.00505729,1009
2,0.00971464,1935
3,0.0190225,3804
4,0.0378774,7596
5,0.0732645,14651
6,0.142904,28604
7,0.264951,53190
8,0.462286,92227
9,0.710391,142719
10,0.915214,182437
11,0.992841,198193
12,0.99998,198610
13,1,200852
14,1,200254
15,1,200768
16,1,199642
17,1,199158
18,1,199904
19,1,200016
20,1,198010
21,1,199998
22,1,201998
23,1,201196
24,1,198826
25,1,200360
26,1,199654
27,1,200336
28,1,199770
29,1,199544
30,1,200638
31,1,201474
32,1,200972
33,1,200816
34,1,200240
35,1,199042
36,1,200152
37,1,199690
38,1,200276
39,1,201146
40,1,199900
NAN,NAN,NAN
1,0.00531931,1073
2,0.0110438,2206
3,0.0209707,4179
4,0.0422347,8464
5,0.0826955,16660
6,0.158257,31664
7,0.290626,58124
8,0.495917,98990
9,0.744824,149802
10,0.936085,187421
11,0.995392,199829
12,0.999775,200083
13,1,200510
14,1,199268
15,1,199526
16,1,198366
17,1,199212
18,1,200380
19,1,201274
20,1,201684
21,1,200578
22,1,200728
23,1,200722
24,1,199954
25,1,199010
26,1,200336
27,1,199260
28,1,198508
29,1,200366
30,1,199166
31,1,201146
32,1,200658
33,1,198850
34,1,198694
35,1,200582
36,1,200316
37,1,198310
38,1,198276
39,1,200638
40,1,199822
NAN,NAN,NAN
1,0.00496818,990
2,0.0103732,2061
3,0.0197544,3951
4,0.0394194,7908
5,0.0771544,15394
6,0.14809,29644
7,0.272971,54545
8,0.475587,95204
9,0.724295,145224
10,0.92358,185174
11,0.994482,198771
12,1,199942
13,1,199710
14,1,199466
15,1,199940
16,1,200050
17,1,198936
18,1,200526
19,1,200620
20,1,199600
21,1,200246
22,1,199838
23,1,200792
24,1,200044
25,1,199206
26,1,199188
27,1,199672
28,1,199962
29,1,200448
30,1,201334
31,1,199820
32,1,200556
33,1,199970
34,1,201426
35,1,201212
36,1,199358
37,1,200976
38,1,199246
39,1,198898
40,1,199480
NAN,NAN,NAN
1,0.00479205,963
2,0.00963065,1917
3,0.0190241,3824
4,0.0385855,7708
5,0.0762932,15244
6,0.148735,30002
7,0.273667,55099
8,0.471558,93560
9,0.721666,144476
10,0.921713,184337
11,0.994134,199127
12,1,199528
13,1,200330
14,1,199272
15,1,199318
16,1,198826
17,1,199762
18,1,198170
19,1,200114
20,1,199612
21,1,197964
22,1,199642
23,1,199414
24,1,200206
25,1,199936
26,1,200498
27,1,201014
28,1,200468
29,1,200004
30,1,200520
31,1,199176
32,1,198968
33,1,199874
34,1,200228
35,1,200032
36,1,199922
37,1,199114
38,1,199532
39,1,200312
40,1,200224
NAN,NAN,NAN
1,0.00495069,994
2,0.0101654,2027
3,0.0193747,3899
4,0.0379793,7634
5,0.0735704,14741
6,0.140861,28113
7,0.262842,52500
8,0.458191,91586
9,0.706387,142029
10,0.911358,181856
11,0.991994,200353
12,0.999915,200665
13,1,199630
14,1,199220
15,1,199092
16,1,200586
17,1,198668
18,1,200150
19,1,198824
20,1,200440
21,1,202166
22,1,199318
23,1,201368
24,1,201398
25,1,200524
26,1,200030
27,1,200368
28,1,199838
29,1,200902
30,1,199354
31,1,198846
32,1,201074
33,1,200394
34,1,199964
35,1,200020
36,1,199626
37,1,200120
38,1,200756
39,1,200220
40,1,201268
NAN,NAN,NAN
1,0.00534778,1067
2,0.0106539,2142
3,0.0207751,4148
4,0.0413354,8235
5,0.081638,16373
6,0.156804,31436
7,0.288284,57609
8,0.492492,98263
9,0.744705,148652
10,0.935849,186657
11,0.995432,198969
12,0.99994,200962
13,1,200130
14,1,199830
15,1,199128
16,1,199486
17,1,200470
18,1,198234
19,1,199110
20,1,199614
21,1,200140
22,1,199320
23,1,199248
24,1,198622
25,1,199306
26,1,199978
27,1,199656
28,1,199144
29,1,200176
30,1,200550
31,1,199640
32,1,199984
33,1,198162
34,1,200906
35,1,201244
36,1,199492
37,1,201736
38,1,201114
39,1,200428
40,1,200388
NAN,NAN,NAN
1,0.00473484,943
2,0.00892723,1786
3,0.0176876,3554
4,0.0356979,7146
5,0.0695851,13923
6,0.135187,27235
7,0.252408,50738
8,0.442025,88321
9,0.688111,138013
10,0.905256,180843
11,0.992142,199998
12,0.99998,199712
13,1,199742
14,1,199522
15,1,198986
16,1,199414
17,1,200898
18,1,200238
19,1,200760
20,1,200734
21,1,200148
22,1,201224
23,1,199564
24,1,199866
25,1,200180
26,1,200486
27,1,202120
28,1,200264
29,1,201172
30,1,201434
31,1,200560
32,1,200704
33,1,200302
34,1,197496
35,1,198778
36,1,199340
37,1,199680
38,1,200798
39,1,200332
40,1,199002
NAN,NAN,NAN
1,0.00733395,1465
2,0.0151023,3030
3,0.0296063,5891
4,0.0580786,11484
5,0.111607,22437
6,0.21442,43020
7,0.382022,76312
8,0.61562,122432
9,0.854232,170949
10,0.97787,195533
11,0.999625,199765
12,1,199612
13,1,199872
14,1,199688
15,1,200324
16,1,201196
17,1,199744
18,1,200574
19,1,198894
20,1,201886
21,1,202148
22,1,201172
23,1,198418
24,1,198770
25,1,198748
26,1,198980
27,1,197972
28,1,199874
29,1,199972
30,1,199934
31,1,199194
32,1,198722
33,1,198368
34,1,201462
35,1,200434
36,1,199382
37,1,199224
38,1,200894
39,1,199188
40,1,200916
NAN,NAN,NAN
1,0.00732161,1471
2,0.0150649,3021
3,0.0295716,5898
4,0.0582789,11677
5,0.114105,22945
6,0.216216,43088
7,0.383131,76951
8,0.616117,124590
9,0.852302,170757
10,0.978698,195082
11,0.99942,199982
12,1,200706
13,1,200940
14,1,199420
15,1,201390
16,1,201566
17,1,200326
18,1,198754
19,1,199418
20,1,200284
21,1,199298
22,1,199614
23,1,200064
24,1,200048
25,1,199820
26,1,199960
27,1,200768
28,1,199492
29,1,199710
30,1,201172
31,1,201044
32,1,199452
33,1,201114
34,1,200468
35,1,199684
36,1,200078
37,1,199902
38,1,200862
39,1,201260
40,1,201560
NAN,NAN,NAN
1,0.00714719,1437
2,0.0138865,2792
3,0.0274116,5456
4,0.0531757,10596
5,0.103544,20876
6,0.196179,39477
7,0.35661,71710
8,0.582898,116568
9,0.824891,166166
10,0.970266,194222
11,0.998692,200807
12,1,201842
13,1,199774
14,1,199302
15,1,199944
16,1,199836
17,1,198282
18,1,199340
19,1,199488
20,1,201200
21,1,199894
22,1,199972
23,1,200438
24,1,200976
25,1,199948
26,1,201370
27,1,198992
28,1,198924
29,1,198814
30,1,200002
31,1,200352
32,1,201420
33,1,199864
34,1,200784
35,1,199910
36,1,200910
37,1,201730
38,1,199284
39,1,199992
40,1,199998
NAN,NAN,NAN
1,0.00745229,1498
2,0.0156052,3127
3,0.0301853,6044
4,0.0602936,12010
5,0.11633,23259
6,0.215679,43154
7,0.383279,76895
8,0.61978,123666
9,0.855256,171200
10,0.979018,195461
11,0.999604,199453
12,1,199520
13,1,200538
14,1,199278
15,1,199894
16,1,199154
17,1,200668
18,1,200562
19,1,198906
20,1,198280
21,1,199506
22,1,201860
23,1,200172
24,1,199950
25,1,200226
26,1,199156
27,1,200460
28,1,200194
29,1,200162
30,1,200602
31,1,201718
32,1,199306
33,1,198858
34,1,197974
35,1,200518
36,1,199816
37,1,200328
38,1,200128
39,1,200074
40,1,200234
NAN,NAN,NAN
1,0.00773963,1560
2,0.0157854,3152
3,0.0319334,6416
4,0.0633564,12716
5,0.124239,24894
6,0.230416,46026
7,0.40756,81525
8,0.647614,128971
9,0.874482,174690
10,0.982838,196662
11,0.999661,200620
12,1,199732
13,1,200290
14,1,198706
15,1,201450
16,1,198182
17,1,198916
18,1,199550
19,1,198906
20,1,203064
21,1,199770
22,1,201426
23,1,200628
24,1,199934
25,1,199592
26,1,199604
27,1,198976
28,1,200228
29,1,198822
30,1,199406
31,1,199420
32,1,200080
33,1,200194
34,1,200510
35,1,199094
36,1,200026
37,1,198788
38,1,200882
39,1,200664
40,1,200066
NAN,NAN,NAN
1,0.00733707,1468
2,0.0142418,2846
3,0.0285084,5699
4,0.0569599,11388
5,0.110769,22029
6,0.211127,42290
7,0.376695,74905
8,0.610752,122242
9,0.849044,169335
10,0.975294,195960
11,0.999446,200151
12,1,199780
13,1,197668
14,1,197572
15,1,200782
16,1,201056
17,1,200748
18,1,201086
19,1,200318
20,1,200506
21,1,200180
22,1,200982
23,1,199598
24,1,199324
25,1,199272
26,1,200144
27,1,199300
28,1,198416
29,1,199008
30,1,199858
31,1,199328
32,1,200358
33,1,200038
34,1,198942
35,1,201578
36,1,200630
37,1,200698
38,1,200898
39,1,199770
40,1,199070
NAN,NAN,NAN
1,0.00740503,1478
2,0.0152973,3068
3,0.031353,6261
4,0.0621655,12567
5,0.120565,24155
6,0.223773,44671
7,0.395009,78975
8,0.634709,126142
9,0.865065,171487
10,0.980594,194948
11,0.999661,200726
12,1,200364
13,1,200398
14,1,200600
15,1,199806
16,1,200402
17,1,201568
18,1,202118
19,1,201282
20,1,200930
21,1,200796
22,1,199590
23,1,199002
24,1,198586
25,1,200882
