Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.0129469,2540
2,0.0139488,2692
3,0.0144083,2787
4,0.0144606,2800
5,0.0148566,2884
6,0.0155497,3012
7,0.0160068,3059
8,0.0162275,3099
9,0.0163338,3150
10,0.0163529,3146
11,0.0163354,3169
12,0.0171783,3289
13,0.0177149,3372
14,0.0185976,3547
15,0.0192225,3665
16,0.0196825,3739
17,0.0207412,3930
18,0.0212598,4046
19,0.0223382,4256
20,0.0235125,4467
21,0.0240693,4601
22,0.0250532,4757
23,0.0258278,4872
24,0.0276635,5192
25,0.028897,5392
26,0.0305086,5694
27,0.033737,6285
28,0.035296,6521
29,0.0377836,6950
30,0.0409026,7499
31,0.0437979,8001
32,0.0470118,8582
33,0.0514218,9277
34,0.0561988,10047
35,0.0620351,10941
36,0.0700628,12275
37,0.0801792,13799
38,0.0915597,15519
39,0.106775,17641
40,0.127776,20624
41,0.155417,24241
42,0.196344,29677
43,0.257783,36995
44,0.351292,48942
45,0.481265,65197
46,0.623893,89792
47,0.725324,117034
48,0.78507,139700
49,0.822454,153192
50,0.850698,163819
51,0.870687,169265
52,0.884911,172816
53,0.898483,176419
54,0.907905,178427
55,0.915296,180619
56,0.921479,183531
57,0.926349,184425
58,0.931402,185526
59,0.935831,186395
60,0.940271,186986
61,0.944884,188563
62,0.947249,188997
63,0.950249,188117
64,0.952767,189835
65,0.954076,188472
66,0.955959,190819
67,0.957969,190609
68,0.959156,191507
69,0.960623,193577
70,0.961554,192505
71,0.962722,191726
72,0.963809,190919
73,0.965399,191877
74,0.966396,193946
75,0.967599,193423
76,0.968212,193807
77,0.969658,193569
78,0.970194,194359
79,0.970875,193377
80,0.972169,194463
81,0.973606,194988
82,0.974404,194415
83,0.974201,194511
84,0.975087,194407
85,0.975849,194680
86,0.976445,194459
87,0.977487,196207
88,0.977917,194668
89,0.977759,195632
90,0.978335,194992
91,0.978702,196999
92,0.9797,196185
93,0.979934,196608
94,0.980722,194334
95,0.980758,195012
96,0.981396,197343
97,0.982188,197076
98,0.982909,197496
99,0.983084,195787
100,0.983711,196811
101,0.984125,197573
102,0.984903,196169
103,0.985606,196798
104,0.98568,197477
105,0.986501,197612
106,0.986816,199104
107,0.987194,197662
108,0.986836,197387
109,0.986846,196477
110,0.987337,196794
111,0.987134,195654
112,0.98724,198139
113,0.986723,197532
114,0.986956,198688
115,0.987191,197292
116,0.987867,197854
117,0.988162,197749
118,0.988633,198911
119,0.98868,197210
120,0.988497,196624
NAN,NAN,NAN
1,0.0129901,2535
2,0.0130616,2519
3,0.0130662,2521
4,0.0131469,2538
5,0.0131579,2545
6,0.0132187,2565
7,0.0144996,2803
8,0.0150091,2881
9,0.0152253,2932
10,0.0155979,3000
11,0.0158365,3047
12,0.0160154,3077
13,0.0171146,3292
14,0.018297,3485
15,0.0192454,3691
16,0.0198064,3761
17,0.0205561,3905
18,0.0210046,4033
19,0.0221596,4232
20,0.0235069,4475
21,0.0252201,4744
22,0.0273791,5150
23,0.0287447,5384
24,0.0308062,5722
25,0.0327465,6090
26,0.0352039,6552
27,0.0372185,6889
28,0.0391804,7207
29,0.0425843,7854
30,0.0463874,8431
31,0.0514393,9260
32,0.0574117,10334
33,0.0636492,11250
34,0.0710455,12399
35,0.0818545,14022
36,0.0959067,16270
37,0.112628,18534
38,0.137135,21935
39,0.170596,26483
40,0.218719,32422
41,0.291812,40783
42,0.402165,54717
43,0.541939,74742
44,0.671377,100395
45,0.750944,126438
46,0.800688,145075
47,0.833504,158329
48,0.857453,166934
49,0.874682,171966
50,0.887859,175148
51,0.898874,178369
52,0.907625,179688
53,0.915046,179155
54,0.921499,182289
55,0.926989,182487
56,0.932307,182529
57,0.937597,185468
58,0.941992,187010
59,0.945005,188744
60,0.948219,188485
61,0.949873,188071
62,0.951654,190089
63,0.954703,190028
64,0.956463,190032
65,0.959082,191264
66,0.960345,190857
67,0.961612,192132
68,0.962792,190446
69,0.964283,192604
70,0.965906,193189
71,0.967498,192714
72,0.969224,195002
73,0.97049,193213
74,0.971542,193570
75,0.972039,193251
76,0.97251,193798
77,0.973075,193496
78,0.973735,194303
79,0.974526,194340
80,0.974875,195831
81,0.975608,194946
82,0.975868,194709
83,0.977092,194453
84,0.976809,195692
85,0.978218,195669
86,0.979254,195279
87,0.979794,197066
88,0.980098,197625
89,0.980242,195870
90,0.980601,194761
91,0.98091,195362
92,0.980949,194685
93,0.980804,195284
94,0.981171,195200
95,0.981542,194359
96,0.98182,195659
97,0.981806,196259
98,0.982178,195921
99,0.982134,194881
100,0.982235,195115
101,0.982349,194902
102,0.98198,196284
103,0.982316,196805
104,0.982645,196136
105,0.983103,197466
106,0.983217,196376
107,0.982978,197266
108,0.98325,192898
109,0.983872,195275
110,0.984174,198567
111,0.984477,197870
112,0.984472,197107
113,0.984695,196872
114,0.984973,197166
115,0.985494,197836
116,0.985405,197885
117,0.985618,197857
118,0.986345,197344
119,0.986157,197539
120,0.985811,196133
NAN,NAN,NAN
1,0.0125982,2467
2,0.0129566,2519
3,0.0131355,2546
4,0.0138951,2674
5,0.0145966,2810
6,0.0150771,2906
7,0.015594,3017
8,0.0162223,3131
9,0.0162678,3135
10,0.0163106,3164
11,0.0166417,3195
12,0.0172768,3345
13,0.0185881,3599
14,0.0192073,3653
15,0.0197402,3793
16,0.0199432,3823
17,0.0204535,3904
18,0.0215849,4101
19,0.0227908,4357
20,0.0244338,4615
21,0.0257181,4851
22,0.0269092,5079
23,0.0295377,5574
24,0.0311462,5831
25,0.0333632,6190
26,0.0366185,6746
27,0.0392552,7179
28,0.041533,7615
29,0.045019,8185
30,0.0491652,8952
31,0.0538833,9731
32,0.0595219,10608
33,0.0652965,11482
34,0.0737748,12784
35,0.083813,14329
36,0.0979649,16511
37,0.117038,19172
38,0.140578,22430
39,0.174492,26966
40,0.225087,33032
41,0.301526,42842
42,0.413044,56112
43,0.55592,76777
44,0.680729,102816
45,0.758773,128046
46,0.8054,146636
47,0.836865,158668
48,0.859116,166354
49,0.876839,172113
50,0.892022,175814
51,0.901776,178548
52,0.910243,179205
53,0.918848,181410
54,0.924326,183072
55,0.931162,184560
56,0.934962,185790
57,0.93963,186821
58,0.942661,187286
59,0.946047,189408
60,0.948821,190341
61,0.950603,188746
62,0.953365,192000
63,0.955958,191899
64,0.957942,190665
65,0.959389,192745
66,0.960874,192978
67,0.962965,191031
68,0.963599,192236
69,0.965279,192631
70,0.966959,193531
71,0.96857,193557
72,0.96937,193589
73,0.971332,195226
74,0.971838,194838
75,0.973031,193964
76,0.974007,196352
77,0.975445,194613
78,0.976293,196809
79,0.977004,196925
80,0.977309,195110
81,0.978225,195328
82,0.979157,194067
83,0.979622,194210
84,0.979941,196931
85,0.980578,196549
86,0.98122,196403
87,0.981705,196981
88,0.982521,195779
89,0.983179,195631
90,0.984073,196482
91,0.984909,197681
92,0.985277,196141
93,0.985237,196801
94,0.985931,197904
95,0.985808,197974
96,0.986158,196557
97,0.986201,195538
98,0.986056,196229
99,0.986034,197199
100,0.986469,198586
101,0.986283,194992
102,0.986579,196562
103,0.986883,199153
104,0.987062,198968
105,0.987194,196803
106,0.987214,198118
107,0.987431,197494
108,0.987455,198599
109,0.987762,199919
110,0.988205,198147
111,0.988283,197876
112,0.989072,197575
113,0.989582,196808
114,0.989945,197407
115,0.990189,195895
116,0.990457,196063
117,0.990815,197945
118,0.991101,197788
119,0.990751,199458
120,0.990713,198628
NAN,NAN,NAN
1,0.012869,2517
2,0.0128448,2496
3,0.0133833,2588
4,0.0143406,2783
5,0.0140317,2723
6,0.0140325,2733
7,0.0146141,2846
8,0.0151534,2937
9,0.0158833,3073
10,0.0167739,3237
11,0.0173852,3364
12,0.0188285,3613
13,0.0193857,3711
14,0.0205414,3899
15,0.0217012,4150
16,0.0221566,4248
17,0.0243336,4621
18,0.0259229,4886
19,0.0267019,4986
20,0.0275384,5195
21,0.0288102,5415
22,0.031138,5836
23,0.0331011,6147
24,0.0356621,6592
25,0.037992,7034
26,0.039685,7266
27,0.0440941,8041
28,0.0479795,8727
29,0.0523492,9435
30,0.0577817,10365
31,0.0636907,11193
32,0.0716571,12409
33,0.0807597,13739
34,0.0929786,15684
35,0.108392,17830
36,0.129251,20605
37,0.158064,24835
38,0.19878,29784
39,0.265635,38210
40,0.361,49644
41,0.492721,66876
42,0.629783,90947
43,0.727551,117367
44,0.78468,139549
45,0.824157,154307
46,0.851199,162201
47,0.869913,169734
48,0.884626,174335
49,0.896077,176554
50,0.906481,179835
51,0.914255,180613
52,0.920144,182840
53,0.925713,183704
54,0.931327,185239
55,0.936426,185064
56,0.940782,186941
57,0.944362,187588
58,0.947472,187012
59,0.950914,188163
60,0.952682,189296
61,0.955288,190943
62,0.95772,191659
63,0.95907,191837
64,0.961408,192945
65,0.962379,191577
66,0.963805,193083
67,0.965335,193735
68,0.966754,195555
69,0.968989,193352
70,0.970156,193911
71,0.971286,193721
72,0.971321,193963
73,0.972214,192578
74,0.973335,193972
75,0.974931,195692
76,0.975456,194937
77,0.976322,192560
78,0.976693,193768
79,0.97744,194538
80,0.977623,194680
81,0.977891,194256
82,0.977982,195743
83,0.978742,196874
84,0.978505,196020
85,0.97918,195182
86,0.979603,196236
87,0.979663,195427
88,0.979594,196293
89,0.979897,197118
90,0.981107,196188
91,0.980951,196718
92,0.981117,195464
93,0.981199,194711
94,0.981193,195958
95,0.981643,195398
96,0.982272,195374
97,0.982189,195823
98,0.982795,197190
99,0.983517,197140
100,0.984085,195760
101,0.983777,196234
102,0.984063,195805
103,0.984876,195429
104,0.985153,194615
105,0.985253,195226
106,0.985697,197999
107,0.985433,197396
108,0.986063,197185
109,0.986318,195573
110,0.986648,197006
111,0.98655,195911
112,0.986508,196173
113,0.986599,196649
114,0.986904,198727
115,0.987388,197213
116,0.98717,196506
117,0.98726,197450
118,0.987588,197565
119,0.987369,196747
120,0.987197,198239
NAN,NAN,NAN
1,0.0127526,2509
2,0.0132801,2591
3,0.0132963,2582
4,0.0138783,2662
5,0.0140417,2718
6,0.0137897,2676
7,0.0135559,2620
8,0.0135709,2645
9,0.0137,2671
10,0.0140497,2718
11,0.0147631,2854
12,0.0151438,2921
13,0.0160345,3104
14,0.0166309,3221
15,0.0170554,3299
16,0.0176592,3412
17,0.018593,3569
18,0.0199001,3794
19,0.0208651,3992
20,0.0223778,4255
21,0.0239076,4550
22,0.0249312,4728
23,0.0261027,4952
24,0.0281796,5345
25,0.0299985,5666
26,0.0317406,5976
27,0.0342496,6397
28,0.0371136,6879
29,0.0391956,7237
30,0.041678,7676
31,0.0433165,7942
32,0.0474602,8620
33,0.0524851,9485
34,0.0584534,10451
35,0.063391,11188
36,0.0699843,12273
37,0.0784674,13613
38,0.0909327,15420
39,0.105905,17598
40,0.126138,20400
41,0.155316,24430
42,0.197912,29975
43,0.264139,38017
44,0.356314,49088
45,0.487049,66153
46,0.625898,90118
47,0.725589,118657
48,0.784992,139245
49,0.823318,153091
50,0.848767,162364
51,0.867613,167687
52,0.88355,171778
53,0.895708,175453
54,0.905545,177514
55,0.913248,180014
56,0.919728,181179
57,0.924776,183766
58,0.929291,183864
59,0.933803,184598
60,0.938724,185858
61,0.942742,188703
62,0.945209,188229
63,0.947528,188308
64,0.949466,187791
65,0.950993,190423
66,0.953264,189831
67,0.955548,190716
68,0.957075,190546
69,0.957574,191170
70,0.959567,192589
71,0.960894,192077
72,0.962216,192166
73,0.963318,191130
74,0.96507,193730
75,0.966242,195036
76,0.967792,193390
77,0.96866,194288
78,0.968976,194299
79,0.969474,195064
80,0.969348,194300
81,0.970513,193002
82,0.97164,194365
83,0.971759,194517
84,0.972213,195376
85,0.97272,195077
86,0.973089,195916
87,0.973835,196222
88,0.973843,196017
89,0.974317,195294
90,0.974868,196046
91,0.975083,196056
92,0.976263,195852
93,0.976963,195332
94,0.977355,195258
95,0.978509,196559
96,0.979532,195877
97,0.980103,195062
98,0.980258,196083
99,0.980785,195647
100,0.981766,197062
101,0.982299,196285
102,0.982469,197655
103,0.982486,196458
104,0.982353,195946
105,0.983047,196694
106,0.98391,195493
107,0.984633,196842
108,0.984384,196680
109,0.983937,196010
110,0.983739,196437
111,0.984649,198013
112,0.984852,198233
113,0.985162,196660
114,0.985726,196741
115,0.986173,198483
116,0.986255,196754
117,0.98686,197755
118,0.986602,196689
119,0.986324,197253
120,0.98597,195652
NAN,NAN,NAN
1,0.012679,2486
2,0.0136034,2639
3,0.014236,2743
4,0.0142616,2759
5,0.0144569,2789
6,0.0144042,2765
7,0.0151627,2928
8,0.0156343,3006
9,0.0162083,3120
10,0.0168514,3263
11,0.018061,3475
12,0.0196115,3770
13,0.0207474,3964
14,0.0212055,4055
15,0.0217714,4199
16,0.0228814,4345
17,0.0236054,4488
18,0.0243519,4644
19,0.0256209,4875
20,0.0268541,5091
21,0.0281761,5317
22,0.0299357,5613
23,0.0319939,5970
24,0.0335552,6222
25,0.0354736,6569
26,0.0376458,6958
27,0.0410724,7533
28,0.0451277,8271
29,0.0491534,8935
30,0.0529733,9594
31,0.0588298,10483
32,0.0639853,11330
33,0.071692,12482
34,0.0804379,13798
35,0.0925328,15589
36,0.106725,17659
37,0.126761,20604
38,0.154461,24260
39,0.194775,29457
40,0.253301,36531
41,0.343642,47446
42,0.473304,63932
43,0.613562,86857
44,0.719074,114583
45,0.781042,137465
46,0.821163,151112
47,0.847677,160494
48,0.86794,168988
49,0.882309,172449
50,0.894143,175447
51,0.904015,178241
52,0.912391,179584
53,0.918606,182233
54,0.924368,181971
55,0.92994,183957
56,0.935228,187992
57,0.938326,187241
58,0.941605,187419
59,0.943822,188789
60,0.946365,189184
61,0.948325,188491
62,0.951422,190077
63,0.95239,190177
64,0.954492,190213
65,0.957151,190186
66,0.958903,190839
67,0.960619,192827
68,0.961952,191594
69,0.963532,192294
70,0.964535,191518
71,0.965571,192898
72,0.96743,194645
73,0.968202,193805
74,0.968576,193568
75,0.969961,194417
76,0.970667,194941
77,0.970817,194074
78,0.971834,193119
79,0.972246,192561
80,0.973272,194925
81,0.974241,194741
82,0.975247,195069
83,0.97519,196058
84,0.975896,194537
85,0.977499,195791
86,0.978417,195660
87,0.978947,196829
88,0.979303,195553
89,0.979289,195615
90,0.979317,196494
91,0.97971,195601
92,0.980671,195032
93,0.980998,195770
94,0.98114,196907
95,0.981927,196187
96,0.982338,195998
97,0.982843,194823
98,0.983133,195608
99,0.98304,196494
100,0.983246,194433
101,0.98344,196745
102,0.983457,196650
103,0.984039,196859
104,0.983697,196950
105,0.984526,195777
106,0.983968,195912
107,0.983767,196295
108,0.983969,197270
109,0.984027,196394
110,0.984473,197062
111,0.98505,196084
112,0.985204,197161
113,0.985441,196493
114,0.985866,195517
115,0.986661,197421
116,0.987526,197766
117,0.987853,198683
118,0.988312,198204
119,0.988587,197753
120,0.988407,197976
NAN,NAN,NAN
1,0.0128116,2496
2,0.0138341,2687
3,0.014611,2826
4,0.0144554,2808
5,0.0142262,2765
6,0.0148614,2880
7,0.0149442,2857
8,0.0150937,2927
9,0.0161209,3122
10,0.0162809,3134
11,0.0164754,3198
12,0.0169509,3272
13,0.0173062,3316
14,0.0175097,3342
15,0.0179296,3456
16,0.0190276,3646
17,0.0198521,3790
18,0.0206591,3993
19,0.0209198,4000
20,0.0219177,4190
21,0.0228953,4336
22,0.0252453,4770
23,0.0267909,5045
24,0.0288907,5421
25,0.031287,5821
26,0.0331197,6161
27,0.0357588,6651
28,0.0391146,7238
29,0.0416013,7641
30,0.0451844,8257
31,0.0480424,8717
32,0.0524317,9524
33,0.0590758,10524
34,0.0643029,11315
35,0.0717301,12539
36,0.0820285,14061
37,0.0963839,16243
38,0.114938,18847
39,0.138235,22232
40,0.172276,26536
41,0.221621,32905
42,0.297793,42012
43,0.407521,55255
44,0.549124,75353
45,0.677101,102830
46,0.754519,128238
47,0.801604,146639
48,0.833808,157613
49,0.856426,164278
50,0.874839,170263
51,0.88941,172670
52,0.900443,176712
53,0.91016,179875
54,0.918587,181748
55,0.92485,183740
56,0.931524,184818
57,0.935582,185002
58,0.939035,186237
59,0.942291,187857
60,0.946139,189540
61,0.948832,190091
62,0.951385,188810
63,0.953712,190607
64,0.955075,191185
65,0.95706,190432
66,0.958459,191109
67,0.961548,191075
68,0.963703,192303
69,0.964836,191300
70,0.96529,193116
71,0.965864,192176
72,0.967037,192541
73,0.967799,192683
74,0.968842,192379
75,0.969799,194049
76,0.970363,193308
77,0.971056,193211
78,0.971455,193780
79,0.972406,193639
80,0.973329,194331
81,0.973715,194038
82,0.973991,196419
83,0.974861,195173
84,0.975492,195674
85,0.975931,195112
86,0.975761,193429
87,0.976694,195034
88,0.977356,193624
89,0.977684,193816
90,0.977929,194647
91,0.978903,195951
92,0.979702,196293
93,0.980408,195962
94,0.981126,195668
95,0.981695,197040
96,0.981461,197737
97,0.981943,197235
98,0.981913,195986
99,0.98287,196454
100,0.983243,196511
101,0.983664,193711
102,0.984059,196180
103,0.984037,196890
104,0.984266,195735
105,0.984523,197129
106,0.984778,198033
107,0.984604,197421
108,0.984506,197990
109,0.985026,197281
110,0.985054,196408
111,0.985269,196374
112,0.98548,196964
113,0.98597,196983
114,0.986213,197499
115,0.986794,197949
116,0.986934,196996
117,0.987675,197130
118,0.98668,197332
119,0.987185,195895
120,0.987238,197499
NAN,NAN,NAN
1,0.0126833,2474
2,0.013245,2570
3,0.0133751,2604
4,0.0138146,2692
5,0.0144319,2801
6,0.0154371,2980
7,0.0162037,3107
8,0.0167483,3243
9,0.0173768,3336
10,0.0181602,3471
11,0.0190577,3638
12,0.020067,3847
13,0.0205682,3927
14,0.0216511,4116
15,0.0232274,4433
16,0.0238796,4513
17,0.0245123,4642
18,0.0249382,4743
19,0.026486,4971
20,0.0277766,5266
21,0.0293404,5540
22,0.0311191,5855
23,0.0318891,5935
24,0.0337057,6264
25,0.0357201,6599
26,0.0389652,7153
27,0.041393,7601
28,0.0444294,8152
29,0.0496371,8987
30,0.0547565,9769
31,0.060289,10699
32,0.0679272,11920
33,0.0772374,13422
34,0.0883578,14971
35,0.102921,17322
36,0.121815,19895
37,0.150076,23546
38,0.186476,28099
39,0.242277,35182
40,0.327724,45631
41,0.449277,61781
42,0.591459,84070
43,0.7034,110808
44,0.770011,133948
45,0.812763,150197
46,0.842375,161527
47,0.86443,168097
48,0.880887,170760
49,0.893422,175904
50,0.902627,178323
51,0.911514,180983
52,0.918033,181811
53,0.924267,183541
54,0.929368,184355
55,0.933912,186732
56,0.937565,185846
57,0.941715,188505
58,0.944662,188974
59,0.946384,187863
60,0.948775,188886
61,0.95124,190229
62,0.953531,189539
63,0.956281,188504
64,0.957872,191195
65,0.960032,191561
66,0.96121,191302
67,0.962966,191634
68,0.96438,193065
69,0.966281,192514
70,0.967179,193784
71,0.967975,194383
72,0.968885,192628
73,0.969964,193857
74,0.970342,193921
75,0.971682,194352
76,0.972687,193697
77,0.973537,194538
78,0.973822,195078
79,0.974544,195435
80,0.975379,195148
81,0.976306,193125
82,0.977172,195493
83,0.977411,196618
84,0.977829,195429
85,0.978701,196253
86,0.978351,195637
87,0.978839,195852
88,0.979639,196353
89,0.979899,195772
90,0.979983,196512
91,0.980569,196604
92,0.980685,194203
93,0.98136,194531
94,0.982096,195329
95,0.982568,196270
96,0.982853,197406
97,0.983434,198992
98,0.983157,196769
99,0.983488,196375
100,0.983675,195767
101,0.984149,196877
102,0.98455,198308
103,0.985005,195947
104,0.985268,196498
105,0.986165,197799
106,0.98624,196812
107,0.986575,195630
108,0.986314,197679
109,0.986881,198148
110,0.987132,197768
111,0.98751,197263
112,0.987054,196858
113,0.987223,197180
114,0.98757,197666
115,0.987699,197611
116,0.987323,195873
117,0.987635,196575
118,0.988068,197835
119,0.988113,198170
120,0.98846,197085
NAN,NAN,NAN
1,0.0124815,2452
2,0.0130433,2564
3,0.0135047,2620
4,0.0134667,2621
5,0.0140896,2747
6,0.0141839,2751
7,0.0145932,2827
8,0.0149871,2903
9,0.0159384,3072
10,0.01607,3090
11,0.0170652,3316
12,0.0177918,3424
13,0.0185824,3554
14,0.0198895,3779
15,0.0206821,3927
16,0.0224645,4275
17,0.0229841,4365
18,0.0237232,4514
19,0.0247556,4675
20,0.0261964,4987
21,0.0274169,5149
22,0.0286459,5395
23,0.0295904,5515
24,0.0308188,5713
25,0.0317888,5893
26,0.0334738,6196
27,0.0354306,6556
28,0.0371882,6859
29,0.0405164,7388
30,0.0445658,8142
31,0.048372,8783
32,0.0526064,9472
33,0.0587286,10406
34,0.0647548,11405
35,0.0724733,12526
36,0.0820918,14073
37,0.0957131,16120
38,0.11343,18608
39,0.135432,21639
40,0.16681,25912
41,0.211578,31361
42,0.280175,39884
43,0.379549,51605
44,0.515469,70845
45,0.649707,95234
46,0.739477,122910
47,0.794815,143774
48,0.830614,157393
49,0.855825,165722
50,0.872473,170120
51,0.887438,173897
52,0.900491,176653
53,0.908643,178861
54,0.9163,180896
55,0.921754,184489
56,0.928127,183966
57,0.933831,186206
58,0.938258,187798
59,0.942326,187653
60,0.94638,188059
61,0.949526,190775
62,0.951464,191916
63,0.952967,190845
64,0.95469,190980
65,0.95702,191113
66,0.958231,191788
67,0.960492,191109
68,0.962323,191789
69,0.963432,191299
70,0.965113,192154
71,0.966653,193234
72,0.968026,191733
73,0.969234,192736
74,0.97028,192750
75,0.970741,194224
76,0.971453,192406
77,0.972281,192920
78,0.972771,194167
79,0.973594,194637
80,0.974648,194840
81,0.97527,194738
82,0.975684,196128
83,0.976758,195082
84,0.977046,197672
85,0.977549,196898
86,0.978834,196454
87,0.979066,196244
88,0.980345,195471
89,0.98011,196222
90,0.980845,195657
91,0.981099,197299
92,0.982148,197673
93,0.982702,196446
94,0.983106,197624
95,0.982475,197784
96,0.982847,195785
97,0.982727,195256
98,0.983146,196578
99,0.983776,196771
100,0.983728,196293
101,0.98378,197970
102,0.984326,196944
103,0.984514,196314
104,0.984411,197211
105,0.984536,197496
106,0.985191,198311
107,0.985459,196877
108,0.985637,195990
109,0.985567,197413
110,0.986106,195817
111,0.985849,196253
112,0.986371,196783
113,0.986363,197178
114,0.986372,196067
115,0.986619,197973
116,0.986641,197784
117,0.98651,197675
118,0.986727,196404
119,0.987076,195903
120,0.987158,198397
NAN,NAN,NAN
1,0.0130353,2555
2,0.0131686,2564
3,0.0133235,2581
4,0.0132727,2584
5,0.0139931,2701
6,0.014557,2818
7,0.014921,2876
8,0.0148412,2893
9,0.0153743,2965
10,0.0158733,3020
11,0.0168015,3240
12,0.0166363,3194
13,0.0169978,3268
14,0.0178035,3426
15,0.0185201,3559
16,0.0187282,3589
17,0.0187433,3579
18,0.0192496,3696
19,0.0203228,3928
20,0.0215669,4137
21,0.0221969,4202
22,0.0232575,4400
23,0.0251772,4787
24,0.027244,5164
25,0.028477,5353
26,0.0289407,5464
27,0.0306174,5744
28,0.0324091,6043
29,0.0349384,6494
30,0.0370976,6869
31,0.0394658,7285
32,0.0427476,7814
33,0.0455158,8242
34,0.0496287,8982
35,0.0540623,9711
36,0.0602926,10697
37,0.0665482,11760
38,0.0754391,13135
39,0.0853487,14681
40,0.0993934,16811
41,0.119042,19281
42,0.144879,23260
43,0.180274,27442
44,0.238517,35105
45,0.323446,45549
46,0.442768,60057
47,0.586146,82248
48,0.701318,109912
49,0.771477,134004
50,0.812332,149409
51,0.840794,159761
52,0.863977,166630
53,0.881125,171148
54,0.893086,174025
55,0.902073,176956
56,0.910794,181237
57,0.919378,183267
58,0.92596,183866
59,0.929805,185563
60,0.933917,186322
61,0.937516,187312
62,0.940396,187009
63,0.944175,189156
64,0.947461,188920
65,0.950908,191007
66,0.9532,190964
67,0.954637,189335
68,0.956674,189651
69,0.957863,190494
70,0.959417,191016
71,0.961834,191682
72,0.962676,191842
73,0.964306,191596
74,0.965481,193044
75,0.966198,195087
76,0.967116,193750
77,0.968522,193315
78,0.970305,191319
79,0.970403,193675
80,0.971899,193264
81,0.973149,194223
82,0.973451,194149
83,0.974154,194599
84,0.97466,194932
85,0.975313,193188
86,0.975587,194977
87,0.976274,197016
88,0.976683,196702
89,0.976899,195116
90,0.977239,194879
91,0.97827,196556
92,0.978679,196325
93,0.979357,195229
94,0.979023,195037
95,0.979481,195859
96,0.980184,196029
97,0.980564,194787
98,0.980333,195296
99,0.981209,196491
100,0.982023,196925
101,0.982544,197452
102,0.983273,194749
103,0.983254,194289
104,0.983687,194829
105,0.983521,198093
106,0.983765,196812
107,0.984264,198091
108,0.983963,196647
109,0.984498,195285
110,0.984717,198972
111,0.985021,197221
112,0.985309,196719
113,0.985504,195727
114,0.985479,197833
115,0.985535,197996
116,0.98521,196313
117,0.985366,195532
118,0.98569,195344
119,0.986,196841
120,0.986674,197175
NAN,NAN,NAN
1,0.0251096,4845
2,0.0263519,5028
3,0.0283137,5345
4,0.0302336,5650
5,0.0318652,5924
6,0.0339385,6367
7,0.0368308,6819
8,0.039199,7151
9,0.0425082,7787
10,0.0461131,8479
11,0.0513114,9246
12,0.0565802,10074
13,0.0631108,11147
14,0.0714196,12491
15,0.0813782,13923
16,0.0947507,15895
17,0.111408,18332
18,0.132718,21216
19,0.165362,25809
20,0.212806,31440
21,0.282207,40179
22,0.385433,52610
23,0.521271,71706
24,0.655251,96643
25,0.741802,123197
26,0.794267,143254
27,0.828608,157129
28,0.853022,165563
29,0.871278,168838
30,0.885955,172265
31,0.897747,177445
32,0.9089,180613
33,0.916947,181220
34,0.921933,182222
35,0.92715,183331
36,0.932264,186766
37,0.937941,186746
38,0.941528,187976
39,0.945047,188535
40,0.947912,189080
41,0.950325,188573
42,0.952372,189124
43,0.954381,190756
44,0.955543,190843
45,0.958175,190606
46,0.960374,190421
47,0.962103,191470
48,0.963489,191798
49,0.964725,192123
50,0.966252,193175
51,0.966884,193574
