Wild_Type_Gene_Frequency,Num_Wild_Gene
0.987908,193711
0.987987,191456
0.987921,191797
0.987857,192310
0.987633,192387
0.987355,191456
0.986592,191833
0.986641,191063
0.986129,190668
0.985694,189756
0.984914,191158
0.98423,189480
0.984102,188245
0.98428,188846
0.983957,190557
0.984115,189818
0.983878,188822
0.983745,189310
0.983939,189243
0.983418,189074
0.983168,190304
0.982725,188127
0.98223,187659
0.981549,188108
0.981064,188172
0.980191,188622
0.979702,186496
0.979473,187908
0.979212,186295
0.978729,185336
0.978558,186519
0.978089,185831
0.977237,184987
0.977044,184333
0.975582,184147
0.974127,181326
0.973609,183903
0.972861,181532
0.972423,182232
0.970833,181169
0.970583,182456
0.969555,181429
0.96862,180696
0.967773,179667
0.967534,179462
0.966642,178794
0.965357,178510
0.964505,177955
0.963544,177772
0.962018,176436
0.96027,175234
0.958696,175077
0.957623,171968
0.956161,172436
0.95502,172108
0.952571,170756
0.950158,169303
0.94731,169811
0.943372,167307
0.940393,165891
0.937067,163953
0.93244,160430
0.928383,159355
0.924472,157763
0.91936,153980
0.912767,150068
0.904504,147369
0.894913,143961
0.884074,139574
0.870973,133177
0.853923,126343
0.833992,120250
0.807075,112871
0.771185,102256
0.721638,89893
0.655569,77226
0.558004,60597
0.411067,41424
0.22643,22143
0.0650062,7629
0.00356545,562
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.987233,192775
0.986998,190994
0.986993,192205
0.986585,191133
0.986433,192380
0.986432,191794
0.986194,191156
0.986393,192096
0.986265,191647
0.986239,191212
0.98605,192047
0.98603,190785
0.986206,190316
0.985867,190998
0.985473,191641
0.98539,190732
0.985398,192131
0.98512,190733
0.984475,191437
0.98433,190525
0.983454,192702
0.982809,190722
0.982907,189707
0.982222,187848
0.981584,187620
0.980393,185504
0.98061,188534
0.979975,186260
0.979774,186545
0.978543,185886
0.978043,184635
0.976588,184954
0.976296,185096
0.975846,184958
0.974811,182662
0.973978,183854
0.973259,182564
0.973262,182216
0.972403,181639
0.972224,181730
0.97218,182101
0.971779,183468
0.971344,182265
0.970411,181498
0.969767,180400
0.969349,181214
0.96817,179307
0.967361,177886
0.966336,178921
0.965244,178655
0.964511,178205
0.963059,176494
0.961193,175831
0.959401,175768
0.958006,172673
0.956586,172901
