Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.0120919,2371
2,0.0120134,2328
3,0.0120788,2345
4,0.0121434,2364
5,0.0123668,2409
6,0.0126452,2452
7,0.0134077,2607
8,0.0133592,2587
9,0.0138712,2682
10,0.0143058,2754
11,0.0150861,2928
12,0.0157701,3036
13,0.0158977,3041
14,0.0157196,3016
15,0.0160433,3107
16,0.0158854,3064
17,0.0161216,3094
18,0.0162546,3128
19,0.0160608,3089
20,0.0165815,3188
21,0.0168318,3258
22,0.0172749,3307
23,0.0177698,3395
24,0.0184509,3536
25,0.018936,3632
26,0.0198094,3812
27,0.0202984,3864
28,0.0205269,3938
29,0.0207884,3955
30,0.0212712,4028
31,0.0214421,4087
32,0.0219112,4163
33,0.0227633,4309
34,0.0229562,4331
35,0.0244178,4609
36,0.0258727,4816
37,0.0263913,4985
38,0.0271388,5064
39,0.0275774,5168
40,0.0291675,5443
41,0.0294171,5530
42,0.0304447,5697
43,0.0313803,5854
44,0.0322273,5983
45,0.0324664,6022
46,0.0333578,6170
47,0.0346428,6406
48,0.0354952,6549
49,0.0364557,6726
50,0.0379821,6966
51,0.0397295,7250
52,0.0413043,7543
53,0.0423771,7610
54,0.0438389,7906
55,0.0449799,8106
56,0.0474288,8502
57,0.0498417,8881
58,0.05269,9445
59,0.0566281,10043
60,0.0596068,10515
61,0.0629329,11011
62,0.0675602,11624
63,0.0716175,12293
64,0.075528,12889
65,0.0806396,13506
66,0.0872331,14342
67,0.0954962,15559
68,0.105087,16905
69,0.115926,18302
70,0.129027,19729
71,0.146077,21613
72,0.166008,23936
73,0.192925,26981
74,0.228815,30340
75,0.278362,34675
76,0.344431,40574
77,0.441996,47999
78,0.588933,59348
79,0.77357,75649
80,0.934994,109729
81,0.996435,157062
82,1,189656
83,1,198458
84,1,199358
85,1,200780
86,1,199214
87,1,199842
88,1,200236
89,1,200332
90,1,198672
91,1,200534
92,1,200578
93,1,199870
94,1,199178
95,1,200040
96,1,199842
97,1,200728
98,1,201956
99,1,201404
100,1,201702
101,1,200262
102,1,199714
103,1,200744
104,1,199906
105,1,198118
106,1,199814
107,1,199656
108,1,199986
109,1,198472
110,1,201108
111,1,202044
112,1,202494
113,1,199748
114,1,199876
115,1,199514
116,1,201164
117,1,199504
118,1,200448
119,1,198986
120,1,199300
NAN,NAN,NAN
1,0.0127671,2493
2,0.0130019,2516
3,0.0130072,2533
4,0.0134154,2599
5,0.0135674,2646
6,0.0135677,2638
7,0.0138058,2676
8,0.0136075,2650
9,0.0137354,2669
10,0.0137611,2668
11,0.0139502,2717
12,0.0139699,2703
13,0.0137943,2662
14,0.0141326,2738
15,0.014527,2825
16,0.0146105,2828
17,0.0146016,2847
18,0.0148801,2881
19,0.0155254,3019
20,0.0156697,3033
21,0.0165455,3242
22,0.0171907,3336
23,0.0170927,3299
24,0.017778,3400
25,0.0184158,3520
26,0.0196074,3710
27,0.0193902,3728
28,0.0200246,3806
29,0.0202263,3851
30,0.0214569,4076
31,0.0219568,4145
32,0.0234123,4434
33,0.0237038,4494
34,0.0241537,4578
35,0.0251892,4720
36,0.0260216,4912
37,0.0267406,5016
38,0.0267383,5006
39,0.0275972,5155
40,0.0277763,5192
41,0.0278199,5211
42,0.0282209,5328
43,0.0286556,5377
44,0.0295885,5534
45,0.0302327,5624
46,0.0306509,5730
47,0.0318301,5895
48,0.0326394,6002
49,0.0336639,6233
50,0.0347564,6433
51,0.0354889,6557
52,0.0369412,6770
53,0.0388072,7099
54,0.0405991,7438
55,0.0419935,7569
56,0.043414,7847
57,0.0456976,8237
58,0.0478327,8623
59,0.0507163,9070
60,0.0547052,9678
61,0.0574854,10111
62,0.0600795,10462
63,0.0643962,11211
64,0.0692471,12008
65,0.0724854,12385
66,0.0776734,13028
67,0.0849485,14262
68,0.0925675,15182
69,0.102832,16551
70,0.112902,17817
71,0.125167,19514
72,0.141325,21294
73,0.163122,23974
74,0.189478,26865
75,0.223692,30079
76,0.26983,34263
77,0.336708,39545
78,0.428603,46116
79,0.569774,57595
80,0.750523,73895
81,0.922834,105443
82,0.993827,152302
83,0.999724,188356
84,1,199312
85,1,199256
86,1,200082
87,1,200994
88,1,200280
89,1,200830
90,1,200502
91,1,198954
92,1,199764
93,1,200382
94,1,198662
95,1,200640
96,1,199308
97,1,200108
98,1,199242
99,1,198106
100,1,199100
101,1,197970
102,1,199664
103,1,199866
104,1,201120
105,1,200400
106,1,199378
107,1,199698
108,1,200940
109,1,199674
110,1,200434
111,1,199066
112,1,199198
113,1,201096
114,1,200944
115,1,199874
116,1,200352
117,1,201028
118,1,200332
119,1,201260
120,1,200510
NAN,NAN,NAN
1,0.0127672,2499
2,0.0133843,2587
3,0.0139096,2683
4,0.014571,2822
5,0.014773,2848
6,0.0149978,2909
7,0.0151232,2929
8,0.0154338,2976
9,0.0154442,2992
10,0.0155685,2987
11,0.0162929,3130
12,0.0164857,3179
13,0.0172368,3347
14,0.0172304,3316
15,0.0169482,3241
16,0.0174498,3352
17,0.0171178,3301
18,0.0171877,3313
19,0.0175319,3371
20,0.0180379,3467
21,0.0182968,3521
22,0.0185751,3576
23,0.0186959,3587
24,0.0189893,3650
25,0.0196922,3772
26,0.0193862,3703
27,0.0210365,4026
28,0.0210589,3988
29,0.0214903,4070
30,0.0220445,4184
31,0.022521,4267
32,0.0230111,4359
33,0.0231696,4381
34,0.0241204,4566
35,0.0249316,4684
36,0.02521,4772
37,0.0258937,4882
38,0.0258411,4825
39,0.0270331,5084
40,0.0272909,5116
41,0.0281935,5313
42,0.0286649,5317
43,0.0292026,5452
44,0.0300218,5622
45,0.0304071,5704
46,0.031251,5853
47,0.0327794,6143
48,0.0333774,6156
49,0.0341568,6319
50,0.0351089,6454
51,0.0360448,6645
52,0.0368728,6836
53,0.0374873,6923
54,0.0388546,7118
55,0.0403966,7342
56,0.0425448,7776
57,0.0451354,8176
58,0.0470131,8476
59,0.0496989,8945
60,0.0528469,9482
61,0.0568673,10072
62,0.0609922,10659
63,0.0638384,11036
64,0.0683717,11653
65,0.072672,12440
66,0.077067,13100
67,0.0836397,14059
68,0.0904671,14867
69,0.0999581,16222
70,0.109195,17517
71,0.121175,18930
