Wild_Type_Gene_Frequency,Num_Wild_Gene
0.771321,83241
0.794676,85434
0.823802,91788
0.860235,101377
0.898929,115658
0.933056,132563
0.961,149597
0.978581,167715
0.98852,181261
0.99411,188875
0.996929,193494
0.998364,198896
0.999213,198142
0.999487,198612
0.999805,199915
0.99989,200162
0.99991,199500
0.999935,199683
0.99996,200378
0.999975,199839
0.99999,201412
0.999995,201123
1,200414
1,201528
1,198828
1,198446
1,199090
1,199418
1,200720
1,200674
1,199842
1,200302
1,200172
1,198536
1,198930
1,199090
1,199742
1,201110
1,200182
1,200168
1,200012
1,201182
1,200754
1,200264
1,199664
1,199336
1,199490
1,198986
1,199576
1,199438
1,200844
1,201554
1,201390
1,199058
1,200368
1,199548
1,198392
1,200298
1,199610
1,200426
1,199350
1,199522
1,200626
1,200008
1,199308
1,200446
1,201702
1,200204
1,200388
1,198832
1,199922
1,200356
1,198716
1,199728
1,200082
1,198898
1,197800
1,199212
1,199664
1,200028
1,197890
1,199354
1,199866
1,198918
1,198858
1,199720
1,200410
1,198038
1,200406
1,200216
1,199966
1,198290
1,200282
1,199372
1,199244
1,199190
1,198924
1,199864
1,199582
1,201326
1,199902
1,200346
1,199070
1,199942
1,199520
1,198086
1,200008
1,201122
1,201286
1,199800
1,199092
1,200320
1,199642
1,200626
1,199886
1,200570
1,201170
1,200312
1,199640
1,200356
1,199852
1,201368
1,199710
1,197892
1,199552
1,200538
1,200460
1,201164
1,199424
1,200532
1,199404
1,199318
1,200076
1,198250
1,200442
1,199486
1,199268
1,199264
1,200548
1,199712
1,201748
1,200102
1,198570
1,200480
1,201100
1,199658
1,200070
1,200890
NAN,NAN
0.771939,82755
0.795319,85764
0.825862,91456
0.862557,101692
0.901344,115381
0.935878,133634
0.961825,153136
0.978676,169264
0.989009,182482
0.994193,190710
0.997072,194072
0.998736,197524
0.999312,199009
0.999727,201395
0.999835,199773
0.999925,200873
0.99998,198662
1,200884
1,198474
1,200292
1,200482
1,199946
1,200852
1,199142
1,199474
1,199778
1,200366
1,200878
1,200282
1,200064
1,200354
1,199692
1,200024
1,201532
1,199812
1,199006
