Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.0686123,12171
2,0.0706975,11881
3,0.0702393,11702
4,0.069259,11652
5,0.0691532,11675
6,0.0685628,11470
7,0.0678531,11389
8,0.0652605,11070
9,0.0642654,10880
10,0.0633014,10811
11,0.0623278,10675
12,0.0616918,10600
13,0.061608,10515
14,0.0602776,10300
15,0.0591447,10138
16,0.059049,10166
17,0.0585477,10114
18,0.0575525,9924
19,0.0573478,9905
20,0.0569303,9810
21,0.0573022,9882
22,0.0572179,9894
23,0.0567017,9834
24,0.0568628,9816
25,0.0556798,9661
26,0.0549217,9502
27,0.0546058,9499
28,0.0528303,9208
29,0.0521083,9120
30,0.0509517,8941
31,0.0502906,8861
32,0.0501833,8817
33,0.0493616,8683
34,0.0480542,8456
35,0.0470696,8322
36,0.0463896,8204
37,0.0459751,8126
38,0.0453978,8074
39,0.0439777,7872
40,0.0429099,7688
41,0.041819,7479
42,0.040599,7355
43,0.0392849,7131
44,0.0383619,6927
45,0.0377279,6776
46,0.0369326,6667
47,0.0368883,6704
48,0.0354999,6506
49,0.034376,6286
50,0.0340213,6175
51,0.0333641,6065
52,0.0321664,5899
53,0.0310068,5721
54,0.030029,5549
55,0.0291213,5372
56,0.0277817,5151
57,0.0276813,5165
58,0.0259186,4829
59,0.0245533,4579
60,0.0240388,4509
61,0.024183,4530
62,0.0240105,4512
63,0.0236388,4464
64,0.0224986,4226
65,0.0216694,4065
66,0.0206993,3898
67,0.0193619,3685
68,0.0184867,3506
69,0.017962,3426
70,0.017368,3325
71,0.0170844,3269
72,0.0162308,3092
73,0.0154048,2942
74,0.0146975,2827
75,0.0138228,2660
76,0.012822,2473
77,0.0122373,2363
78,0.0118106,2297
79,0.0115375,2265
80,0.0111451,2164
81,0.0106872,2066
82,0.00999743,1946
83,0.0089872,1752
84,0.00882977,1722
85,0.00853102,1665
86,0.00823627,1615
87,0.00748235,1465
88,0.00753495,1477
89,0.0072889,1431
90,0.00697466,1372
91,0.00673365,1319
92,0.00645527,1263
93,0.00616077,1210
94,0.00609985,1203
95,0.00585503,1152
96,0.00590148,1165
97,0.00566055,1116
98,0.00505562,999
99,0.00450794,887
100,0.00440477,865
NAN,NAN,NAN
1,0.0698607,12266
2,0.0719814,12035
3,0.0724187,11985
4,0.0716325,11894
5,0.0699898,11800
6,0.0699753,11749
7,0.0700578,11740
8,0.0701538,11683
9,0.070685,11828
10,0.0703662,11771
11,0.0695589,11629
12,0.0673869,11240
13,0.0676338,11254
14,0.0677391,11289
15,0.0677118,11321
16,0.0670438,11247
17,0.06777,11453
18,0.0680169,11381
19,0.0675826,11407
20,0.067141,11304
21,0.063242,10728
22,0.0630443,10757
23,0.063029,10754
24,0.0614564,10416
25,0.0609182,10432
26,0.061123,10420
27,0.059834,10206
28,0.0598597,10307
29,0.0580419,10025
30,0.0566434,9743
31,0.0558852,9663
32,0.05482,9498
33,0.053711,9360
34,0.0517454,9078
35,0.0509026,8961
36,0.0499915,8858
37,0.0490662,8686
38,0.0487678,8648
39,0.0495047,8655
40,0.0484967,8520
41,0.0479622,8426
42,0.0474719,8401
43,0.046852,8260
44,0.0471493,8369
45,0.0465335,8296
46,0.0449265,8005
47,0.0439719,7827
48,0.0428231,7653
49,0.0416699,7526
50,0.0399616,7201
51,0.0389335,7056
52,0.0381093,6890
53,0.0368999,6727
54,0.0371604,6782
55,0.037435,6825
56,0.0360688,6569
57,0.0354498,6442
58,0.0338994,6200
59,0.0326615,6025
60,0.0317532,5821
61,0.0312655,5801
62,0.0302831,5571
63,0.0295447,5450
64,0.0285578,5260
65,0.0267742,4980
66,0.0256754,4792
67,0.0250407,4708
68,0.0244737,4625
69,0.0227037,4255
70,0.0219733,4132
71,0.0209139,3927
72,0.0206233,3911
73,0.019176,3651
74,0.0184448,3512
75,0.0172042,3270
76,0.0158769,3067
77,0.0151523,2924
78,0.0154196,2965
79,0.0142916,2759
80,0.0133373,2579
81,0.0136114,2631
82,0.0133617,2583
83,0.012998,2490
84,0.0124973,2420
85,0.011971,2324
86,0.011642,2250
87,0.0111826,2166
88,0.0103701,2020
89,0.0101495,1974
90,0.00933438,1827
91,0.0093189,1817
92,0.0087098,1697
93,0.00830204,1636
94,0.00783489,1531
95,0.00780883,1529
96,0.00754446,1472
97,0.00759487,1481
98,0.0073118,1448
99,0.00659525,1299
100,0.00617617,1212
NAN,NAN,NAN
1,0.0683054,11985
2,0.0692313,11640
3,0.0686937,11529
4,0.0673835,11337
5,0.0658506,11087
6,0.0652868,11090
7,0.0650563,11029
8,0.0656577,11067
9,0.0660691,11160
10,0.064889,10929
11,0.0642289,10862
12,0.0627934,10594
13,0.0618389,10558
14,0.0610876,10494
15,0.0601048,10279
16,0.0595944,10204
17,0.058269,10026
18,0.0568928,9847
19,0.0568067,9923
20,0.0545659,9539
21,0.0523419,9159
22,0.0516445,9079
23,0.0507785,8930
24,0.0505774,8979
25,0.0493415,8700
26,0.0476481,8430
27,0.0466848,8338
28,0.0448978,8013
29,0.0426765,7579
30,0.0417547,7433
31,0.040561,7236
32,0.0396418,7136
33,0.037758,6861
34,0.0368941,6643
35,0.0352484,6383
36,0.0347543,6281
37,0.0339944,6188
38,0.0332336,6129
39,0.0321503,5910
40,0.0310668,5745
41,0.030521,5665
42,0.0294477,5453
43,0.029092,5426
44,0.0279656,5177
45,0.0269778,4993
46,0.0262787,4890
47,0.0252501,4720
48,0.0238131,4448
49,0.0234209,4374
50,0.0221519,4163
51,0.0212637,4029
52,0.0205087,3856
53,0.0194758,3663
54,0.0180874,3437
55,0.0167204,3226
56,0.0162044,3120
57,0.0157522,3037
58,0.0152518,2940
59,0.0153,2944
60,0.0142297,2758
61,0.0135872,2626
62,0.0122726,2372
63,0.012059,2355
64,0.0117427,2280
65,0.0113652,2210
66,0.0108354,2114
67,0.0099491,1931
68,0.00996899,1935
69,0.0097667,1909
70,0.00943493,1844
71,0.00887496,1744
72,0.00823414,1627
73,0.00801223,1567
74,0.00735234,1444
75,0.00679193,1323
76,0.0065384,1288
77,0.00598184,1182
78,0.00572556,1129
79,0.0051274,1015
80,0.00492445,983
81,0.00432881,849
82,0.00448271,882
83,0.00413127,821
84,0.0036506,719
85,0.00354134,702
86,0.00322438,642
87,0.00299937,593
88,0.00287651,572
89,0.00275319,550
90,0.00261029,522
91,0.00234588,467
92,0.00217979,432
93,0.00224926,447
94,0.0021652,431
95,0.00205151,408
96,0.00181824,363
97,0.00162478,324
98,0.00156024,311
99,0.00158472,314
100,0.00172433,343
NAN,NAN,NAN
1,0.0682313,11978
2,0.0694578,11726
3,0.0683357,11527
4,0.0664952,11141
5,0.0659427,10997
6,0.0653389,11102
7,0.0648925,10968
8,0.0644319,10952
9,0.0638054,10802
10,0.0630138,10686
11,0.0629173,10800
12,0.0616363,10473
13,0.0611347,10405
14,0.0604071,10398
15,0.0609244,10469
16,0.0600269,10249
17,0.0583233,9930
18,0.0571732,9865
19,0.0577338,10016
20,0.0568908,9913
21,0.0557056,9610
22,0.0542744,9372
23,0.0524718,9128
24,0.050912,8859
25,0.0500244,8798
26,0.0483365,8476
27,0.0473777,8311
28,0.0464009,8197
29,0.0454495,8116
30,0.0447694,7948
31,0.0446908,7985
32,0.0438199,7862
33,0.0427425,7668
34,0.0413914,7456
35,0.0396403,7155
36,0.0375149,6792
37,0.0363416,6538
38,0.035322,6431
39,0.034079,6255
40,0.0331103,6076
41,0.0323066,5953
42,0.0312254,5790
43,0.0299858,5559
44,0.0296335,5558
45,0.0288354,5374
46,0.0273015,5095
47,0.0263642,4897
48,0.0260431,4860
49,0.0251758,4734
50,0.0240647,4487
51,0.0228486,4279
52,0.0216458,4065
53,0.0210504,3985
54,0.0199469,3790
55,0.0187255,3565
56,0.0177115,3400
57,0.0170459,3272
58,0.0161282,3076
59,0.0158629,3025
60,0.015133,2897
61,0.0146029,2844
62,0.0138726,2675
63,0.013029,2503
64,0.0118862,2304
65,0.0114038,2214
66,0.0107016,2083
67,0.0104766,2047
68,0.0100654,1967
69,0.00975317,1918
70,0.00924562,1808
71,0.00866899,1705
72,0.00788217,1545
73,0.00730909,1434
74,0.0073247,1457
75,0.00695452,1361
76,0.00650701,1283
77,0.00596778,1172
78,0.00562555,1110
79,0.00536892,1065
80,0.00512117,1016
81,0.00466876,918
82,0.00434053,859
83,0.0043125,847
84,0.00385665,766
85,0.00378689,752
86,0.00335277,667
87,0.00320407,640
88,0.00304835,607
89,0.00316468,626
90,0.00281596,556
91,0.00260687,517
92,0.00258377,518
93,0.00266452,533
94,0.00262039,524
95,0.00239665,479
96,0.0022728,453
97,0.00201443,402
98,0.00181967,361
99,0.00188853,377
100,0.00187934,369
NAN,NAN,NAN
1,0.0702256,12326
2,0.0724518,12209
3,0.069844,11630
4,0.0692862,11615
5,0.0676511,11398
6,0.0675067,11385
7,0.0671598,11222
8,0.0657993,11096
9,0.0654994,11058
10,0.0648291,11040
11,0.0641184,10811
12,0.0645628,10943
13,0.0644907,10881
14,0.0647263,11019
15,0.065028,11106
16,0.0649715,11015
17,0.0633991,10797
18,0.0618093,10549
19,0.062547,10645
20,0.0609451,10465
21,0.0599343,10293
22,0.0601,10317
23,0.0583893,10062
24,0.0572277,9872
25,0.0562013,9767
