Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00363142,726
2,0.00549737,1097
3,0.00803209,1602
4,0.0120875,2398
5,0.0182204,3601
6,0.0272315,5386
7,0.0399158,7846
8,0.0598959,11555
9,0.0892949,17003
10,0.133272,24944
11,0.194471,35445
12,0.282925,49401
13,0.392305,63169
14,0.527789,75894
15,0.671913,82820
16,0.800628,75163
17,0.891659,54113
18,0.941496,28066
19,0.971867,10778
20,0.993077,3156
21,1,306
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
101,NAN,0
102,NAN,0
103,NAN,0
104,NAN,0
105,NAN,0
106,NAN,0
107,NAN,0
108,NAN,0
109,NAN,0
110,NAN,0
111,NAN,0
112,NAN,0
113,NAN,0
114,NAN,0
115,NAN,0
116,NAN,0
117,NAN,0
118,NAN,0
119,NAN,0
120,NAN,0
NAN,NAN,NAN
1,0.0038526,772
2,0.00590055,1179
3,0.00969224,1933
4,0.0145521,2900
5,0.0225103,4465
6,0.0334898,6563
7,0.0506009,9819
8,0.0781115,15168
9,0.116319,22017
10,0.16782,30658
11,0.239957,42841
12,0.338266,56665
13,0.462638,70569
14,0.60605,82007
15,0.744765,80451
16,0.84931,64500
17,0.920846,40543
18,0.958032,17988
19,0.975393,6699
20,0.986889,1656
21,0.994536,364
22,1,92
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
