Wild_Type_Gene_Frequency,Num_Wild_Gene
0.536058,69872
0.542673,69676
0.553074,71591
0.569088,73879
0.583213,77761
0.599795,81337
0.6211,87990
0.639653,92971
0.65833,99338
0.680788,105544
0.696902,112986
0.715542,119640
0.734179,125154
0.751989,132147
0.766845,137029
0.780383,141190
0.79537,146240
0.810345,152259
0.823823,156037
0.833433,159609
0.843279,162058
0.853173,165379
0.860847,166035
0.86731,168083
0.87419,171037
0.880728,172628
0.885973,173213
0.892497,175563
0.897778,175749
0.902562,178126
0.906859,177806
0.911807,178851
0.914629,180535
0.91713,183017
0.918358,181947
0.921215,182723
0.924891,182000
0.929077,185258
0.931447,185209
0.934351,186661
0.934256,184906
0.935664,185516
0.938207,185673
0.940274,187201
0.942532,187743
0.943605,188755
0.944615,188069
0.945429,188076
0.946737,188857
0.948955,187838
0.94991,189678
0.951045,189083
0.952394,190256
0.953717,189349
0.953454,188681
0.954454,190616
0.954356,189852
0.95559,190579
0.956498,190322
0.957845,191297
0.958722,190176
0.959108,190757
0.960992,191345
0.961192,193113
0.96259,191825
0.964675,192470
0.964716,192131
0.965522,193033
0.965549,191760
0.966155,193515
0.965579,193444
0.965855,192549
0.96683,192811
0.966298,194336
0.967017,194444
0.967604,192948
0.968541,194146
0.968607,192435
0.969429,195084
0.969696,193819
0.971105,195031
0.971545,194686
0.971645,192578
0.972634,195157
0.972735,194833
0.973905,194000
0.974672,195488
0.974767,194234
0.974611,193199
0.97557,193912
0.976023,195111
0.976768,195377
0.977053,195819
0.977696,195193
0.978067,194831
0.978314,196737
0.978238,195311
NAN,NAN
0.536207,69441
0.545566,69719
0.556823,70966
0.571302,73538
0.588094,78600
0.607064,83135
0.626906,89220
0.64718,94905
0.667497,102872
0.687471,108916
0.705214,115940
0.726746,122384
0.744137,128953
0.761201,133670
0.77626,140191
0.789436,144571
0.804752,149296
0.818109,154086
0.830605,157114
0.840041,161214
0.847568,163501
0.857158,165980
0.864694,167109
0.870796,169194
0.877811,173057
0.883915,174140
0.889599,174856
0.895433,176882
0.900013,176696
0.903339,177170
0.907618,178503
0.911492,180479
0.913707,180808
0.91702,180587
0.920432,182159
0.922856,184704
0.92541,183655
0.928593,182905
0.930468,185165
0.932379,185909
0.933679,185395
0.935005,186700
0.934242,186385
0.934451,185595
0.936587,185995
0.939068,186529
0.941008,186854
0.9426,188045
0.943816,188499
0.944674,190520
0.946595,187901
0.947554,189382
0.94918,190377
0.949791,188374
0.951996,190742
0.952819,189712
0.954246,190605
0.953898,191909
0.954041,190833
0.954602,191980
0.955655,191584
0.956997,192167
0.957395,190468
0.957716,191323
0.958421,192520
0.959596,191735
0.960435,193954
