Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.318445,66934
2,0.306302,49918
3,0.297851,41474
4,0.287002,37409
5,0.273564,35124
6,0.259614,33605
7,0.239424,31082
8,0.218237,29098
9,0.198558,26926
10,0.171916,24355
11,0.150764,21913
12,0.129952,19609
13,0.108926,16887
14,0.0916386,14857
15,0.0762192,12744
16,0.0644109,10980
17,0.0537245,9441
18,0.0451559,8069
19,0.0376567,6813
20,0.0313765,5769
21,0.0262116,4925
22,0.0215885,4089
23,0.0184953,3542
24,0.0161935,3112
25,0.013929,2700
26,0.0124122,2394
27,0.0108928,2111
28,0.00998201,1953
29,0.00881606,1728
30,0.00775424,1516
31,0.00641045,1261
32,0.00588476,1152
33,0.00521393,1029
34,0.00481466,944
35,0.00468009,918
36,0.00435695,860
37,0.00423945,846
38,0.00368965,731
39,0.00346357,687
40,0.00308466,607
41,0.00307422,613
42,0.00276101,549
43,0.00260292,520
44,0.0023343,462
45,0.00225448,447
46,0.00203131,402
47,0.00183835,366
48,0.00175712,350
49,0.00182967,366
50,0.00161731,322
51,0.00154827,308
52,0.0015841,316
53,0.00142466,282
54,0.00139223,278
55,0.00127253,253
56,0.00116636,233
57,0.00109299,217
58,0.00102581,203
59,0.000926334,185
60,0.000950073,189
61,0.000912573,182
62,0.000904623,180
63,0.000706003,141
64,0.000741062,147
65,0.000729046,145
66,0.0006981,139
67,0.000776467,156
68,0.000672421,134
69,0.000536292,107
70,0.000607558,121
71,0.00067525,135
72,0.000669681,133
73,0.000519237,104
74,0.000603973,121
75,0.00058689,117
76,0.000516482,103
77,0.000571815,115
78,0.000532137,107
79,0.000511514,102
80,0.000558737,112
81,0.000337239,67
82,0.000273311,55
83,0.000265164,53
84,0.00032863,66
85,0.000379264,76
86,0.000307773,61
87,0.000254176,51
88,0.00024464,49
89,0.000251007,50
90,0.000184476,37
91,0.000205759,41
92,0.000297631,59
93,0.000191178,38
94,0.000120058,24
95,0.000114986,23
96,0.000104781,21
97,0.000100177,20
98,0.000125502,25
99,9.9454e-05,20
100,0.000105181,21
NAN,NAN,NAN
1,0.319002,67139
2,0.30692,50139
3,0.296096,40988
4,0.285837,37017
5,0.270666,34589
6,0.253123,32260
7,0.23426,30154
8,0.212687,28426
9,0.189023,25886
10,0.164955,23476
11,0.141526,20754
12,0.119631,18437
13,0.10072,15957
14,0.0839031,13794
15,0.0690558,11629
16,0.0580812,10065
17,0.0475559,8351
18,0.0397845,7185
19,0.0337844,6187
20,0.0281105,5215
21,0.0234783,4422
22,0.0202584,3832
23,0.0179822,3451
24,0.0157745,3043
25,0.0135767,2629
26,0.0120461,2328
27,0.0110655,2150
28,0.00961724,1896
29,0.00860362,1695
30,0.00807403,1587
31,0.00744161,1470
32,0.00696291,1367
33,0.00622043,1220
34,0.00549138,1080
35,0.00474738,940
36,0.00432577,856
37,0.00405224,798
38,0.00377957,748
39,0.00362739,726
40,0.00361286,717
41,0.0035843,706
42,0.00314067,625
43,0.00305429,609
44,0.00293104,582
45,0.0029197,583
46,0.00288215,575
47,0.00266346,529
48,0.00248253,493
49,0.00229067,455
50,0.00200939,399
51,0.00173437,346
