Wild_Type_Gene_Frequency,Num_Wild_Gene
0.975154,193494
0.96911,190089
0.963163,190192
0.957121,189240
0.951939,189036
0.945556,187379
0.939088,184711
0.933587,182645
0.928907,183539
0.925384,180237
0.920962,181063
0.916634,180751
0.912483,176372
0.909508,178209
0.904736,176780
0.900846,174856
0.897665,175648
0.893227,172693
0.890462,172413
0.887902,171017
0.884518,171692
0.881039,169866
0.878669,170330
0.877487,169878
0.875866,168352
0.873648,168691
0.871778,167833
0.868283,167089
0.864931,165470
0.86268,165155
0.857141,164235
0.854679,162471
0.851467,161181
0.846654,160187
0.840333,159102
0.834714,157023
0.830753,156022
0.824289,153382
0.816459,151734
0.810479,150407
0.803024,147122
0.794882,146581
0.787984,145093
0.777025,142494
0.766675,138713
0.75098,134550
0.734935,129816
0.716613,125982
0.692601,121316
0.66862,115329
0.640282,108579
0.603449,100321
0.557209,90834
0.5,80030
0.427157,67460
0.33891,51898
0.235505,35613
0.13252,20324
0.0567514,9196
0.0168999,2920
0.00349216,636
0.000368665,69
4.16745e-05,8
1.54655e-05,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.975568,192981
0.969282,191125
0.963164,188865
0.956448,187590
0.949959,186475
0.946179,186647
0.941104,185548
0.935722,182726
0.930662,183439
0.927925,181350
0.925035,181231
0.921662,179772
0.917919,180239
0.914501,179330
0.909794,178276
0.90713,178173
0.906061,176093
0.903371,175964
0.899297,175032
0.89803,175089
0.896366,173142
0.892912,173432
0.891076,172924
0.889374,174086
0.88768,172375
0.884786,171114
0.881605,171772
0.879669,170633
0.876653,169215
0.872372,166869
0.872171,166876
0.868696,166456
0.866647,165774
0.862771,165074
0.858276,164504
0.854846,162602
0.849846,161090
0.848068,160117
0.844536,159977
0.841227,159076
0.83536,157741
0.831136,157886
0.828232,155330
0.821161,152864
0.814437,150433
0.807661,148621
0.800116,146770
0.790591,146623
0.780777,144831
0.769351,140268
0.753287,135423
0.736954,131023
0.718372,126241
0.69606,120495
0.67085,115020
0.643183,108761
0.608876,101474
0.567517,92679
0.511059,81336
0.441349,68892
0.354858,53942
0.255411,38443
0.154229,23725
0.0693018,10995
0.0215267,3697
0.00472432,844
0.000813466,153
0.00018654,36
1.54933e-05,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.975014,192263
0.969154,190966
0.963286,189538
0.957972,189096
0.952852,187569
0.948831,186728
0.944566,185919
0.939444,185914
0.935987,184148
0.931823,183066
0.929845,181422
0.925734,180981
0.922796,180654
0.920826,181261
0.918644,180835
0.917166,179139
0.914513,178908
0.912982,178415
0.91,177643
0.906827,178177
0.904067,176519
0.90141,175472
0.899039,175897
0.89792,176276
0.8977,175994
0.895901,174620
0.894145,174437
0.891901,172376
0.890016,172745
0.888134,172179
0.885234,171245
0.882634,169637
0.878916,169782
0.877585,169395
0.874476,168515
0.871572,166866
0.868302,166490
0.865276,165562
0.862654,165150
0.860556,164812
0.856,162503
0.85271,162170
0.850466,161233
0.846798,159784
0.842937,159504
0.83853,157974
0.834215,155843
0.829365,155214
0.825423,154884
0.817963,153350
0.809782,150051
0.802303,149729
0.795231,146410
0.785866,143452
0.777197,141453
0.76577,138612
0.753744,135995
0.739916,132812
0.725879,128813
0.705045,122871
0.682181,117754
0.654483,111914
0.618631,103299
0.577053,94392
0.524043,83521
0.455499,71701
0.375063,57840
0.274634,41890
0.171815,26342
0.0815944,13044
0.0271336,4584
0.00645461,1168
0.000902845,169
0.000141419,27
1.55121e-05,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.975456,192120
0.968268,190923
0.962134,187622
0.956129,188430
0.948967,186062
0.943374,184873
0.938149,183607
0.933215,184142
0.928279,181551
0.92334,181128
0.919796,179960
0.916564,178048
0.913192,176467
0.910933,175054
0.905896,176695
0.90137,175751
0.899003,175951
0.895397,173698
0.890815,172884
0.888061,172497
0.88535,171965
0.882375,170766
0.88051,170273
0.877591,169340
0.874566,168256
0.871028,167847
0.867321,167903
0.86377,165780
0.859279,164411
0.855627,163091
0.851679,162078
0.848329,160570
0.845789,160688
0.841442,159157
0.836255,158748
0.831969,156520
0.825118,154500
0.821803,153028
0.815274,153009
0.809688,150142
0.803197,148495
0.792889,145936
0.78402,143888
0.773566,139720
0.763618,137271
0.750322,133982
0.734476,131693
0.716632,126649
0.694383,120531
0.66928,114578
0.638055,107756
0.5988,99669
0.550243,89563
0.48771,77384
0.410992,63509
0.319265,48550
0.215109,32672
0.117322,18284
0.0465738,7607
0.0129973,2274
0.0023642,432
0.000406324,77
2.08199e-05,4
1.02578e-05,2
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.974206,193417
0.967024,191314
0.961078,190970
0.955906,188864
0.950089,186740
0.944251,188008
0.939127,183819
0.935346,183165
0.932155,184328
0.928236,181563
0.927577,182471
0.923913,181292
0.919684,180659
0.917274,180237
0.915309,179007
0.914463,178249
0.912097,177381
0.909252,175251
0.907639,175679
0.906792,176293
0.904624,177878
0.903602,174838
0.90076,175232
0.89898,173888
0.897021,175059
0.89689,174350
0.895937,173242
0.893172,172418
0.890269,172778
0.888907,171824
0.886905,172010
0.884419,170776
0.882629,170554
0.880777,167751
0.880205,169825
0.879763,171165
0.876627,169985
0.874064,168301
0.871947,168359
0.869951,167295
0.867164,166218
0.862825,165426
0.859343,163289
0.857365,164043
0.853005,163284
0.849038,161251
0.845316,161178
0.84167,159121
0.835636,157494
0.828952,156037
0.823032,154330
0.814993,151160
0.806326,148530
0.800586,147343
0.79472,146575
0.786397,144859
0.777309,141806
0.765507,139633
0.752302,135148
0.739056,132872
0.723738,128769
0.702707,123408
0.681251,117682
0.652195,110054
0.618174,103449
0.576322,94813
0.519063,83537
0.451262,70321
0.367646,56494
0.267038,40671
0.166383,25383
0.0789199,12708
0.0259155,4402
0.00596041,1061
0.000891304,166
0.000124425,24
2.56877e-05,5
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.974777,193308
0.968609,191835
0.962457,189015
0.957865,188345
0.953702,187904
0.948891,186068
0.945104,185696
0.941209,184123
0.938255,185022
0.934277,183563
0.931579,183344
0.929079,182170
0.926193,180830
0.921574,181550
0.91936,180246
0.917585,180177
0.916129,178504
0.915354,177802
0.913881,178333
0.912772,179033
0.912472,178828
0.910301,177596
0.908581,176917
0.906584,177725
0.904269,175723
0.902639,176206
0.902506,174532
0.901555,176418
0.898741,176529
0.895923,175694
0.895536,174626
0.893562,174148
0.891423,174061
0.890143,172727
0.88792,173432
0.887312,170969
0.88481,171055
0.882802,170499
0.879971,169632
0.87857,168819
0.875687,169167
0.873277,167774
0.871285,167616
0.868423,166970
0.867945,166064
0.865886,165256
0.864098,164666
0.861114,165005
0.858627,164197
0.855128,163562
0.852521,161667
0.84698,161126
0.844127,159719
0.841706,158569
0.837699,158253
0.833899,157350
0.831297,156322
0.825033,155088
0.818315,153642
0.808588,148722
0.802505,148595
0.795695,147116
0.786322,143510
0.775248,141292
0.763704,139182
0.748655,134716
0.732105,129464
0.716802,126322
0.696124,121624
0.665874,114521
0.63459,106582
0.596875,99468
0.551728,89732
0.492258,78274
0.417532,64887
0.327372,50283
0.221725,33974
0.121726,18822
0.0504067,8119
0.014176,2458
0.00294639,542
0.000407524,77
3.13084e-05,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.975017,195370
0.968223,191377
0.961884,189647
0.957158,189837
0.952685,187517
0.948437,186165
0.942151,185519
0.938617,183768
0.934176,183644
0.930735,182063
0.925626,180947
0.921323,179483
0.918012,179319
0.915695,180608
0.914412,178164
0.910185,176250
0.90838,176898
0.906265,176999
0.903357,175282
0.902236,175447
0.901435,173986
0.900577,175508
0.899121,175415
0.898091,174323
0.895262,173201
0.893308,175719
0.891328,172825
0.889918,173082
0.88767,171686
0.885735,171535
0.885193,171646
0.884756,169590
0.882883,170015
0.879162,168917
0.876989,167868
0.875992,167283
0.87475,167959
0.872242,168149
0.868178,167133
0.867291,165944
0.865487,165642
0.862614,165672
0.86006,165116
0.857708,164860
0.853316,163492
0.848509,161366
0.845166,160203
0.841447,158611
0.834989,157676
0.828866,156765
0.82328,153415
0.817477,150916
0.810273,150163
0.802246,148592
0.79438,147019
0.78564,144223
0.77592,141160
0.763879,138751
0.752749,135385
0.737886,132545
0.722711,127427
0.70384,123873
0.683092,118500
0.656847,111128
0.622079,104926
0.581318,95314
0.529963,85482
0.466081,73885
0.382646,58815
0.285866,43199
0.182813,27838
0.0889074,13975
0.0328309,5484
0.00765706,1357
0.00148032,273
0.000120722,23
1.55469e-05,3
1.53696e-05,3
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.975831,194169
0.96926,190700
0.962498,190386
0.957516,188895
0.952334,187505
0.947448,187282
0.941156,184875
0.937637,184602
0.932407,182970
0.924962,181977
0.921603,180743
0.91684,178373
0.911955,178849
0.907067,176147
0.904483,175931
0.900275,175921
0.896586,174775
0.893315,173514
0.890606,173198
0.88742,171753
0.885668,169632
0.88376,170707
0.880844,170727
0.877827,170869
0.874576,168139
0.87257,167612
0.869345,167135
0.866417,165886
0.863999,166522
0.860733,164703
0.856188,163633
0.852263,162813
0.846538,159928
0.843041,160402
0.837676,158222
0.8311,156576
0.825423,154643
0.819049,153136
0.81569,149963
0.808381,148844
0.801422,148824
0.794022,144982
0.781953,142331
0.768908,139240
0.757078,135947
0.745118,133777
0.727877,128498
0.709844,123953
0.689429,119507
0.663521,113843
0.634033,108062
0.598186,99208
0.552943,90080
0.496731,79465
0.422142,66235
0.330309,51227
0.227387,34787
0.124902,19380
0.0507993,8294
0.0140821,2437
0.00252024,460
0.000346109,65
2.07432e-05,4
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.975077,193699
0.969621,191155
0.964115,188656
0.958345,187527
0.951434,188991
0.945832,185996
0.940318,185049
0.934591,183892
0.930093,181889
0.927449,182164
0.923776,181400
0.921361,181499
0.918221,180581
0.914795,179234
0.911896,178210
0.909241,177782
0.908399,178553
0.907853,175853
0.906252,176634
0.9049,175681
0.903004,176651
0.902659,175457
0.900451,175750
0.899614,174275
0.899259,173852
0.896732,174174
0.893917,172803
0.890646,171542
0.887448,171975
0.883675,170422
0.881416,169105
0.880822,169234
0.877702,168926
0.87382,169446
0.871016,167066
0.866364,164694
0.861649,165652
0.858083,164443
0.854727,162576
0.851744,161535
0.845827,160516
0.841131,158814
0.835575,157917
0.829872,156640
0.823765,154932
0.818799,152159
0.813604,150987
0.806691,149638
0.79836,148289
0.790155,146874
0.780988,142385
0.771097,141376
0.758195,136704
0.742823,132845
0.730113,129449
0.711689,125068
0.688879,120179
0.665586,114530
0.63362,107709
0.594498,98739
0.544557,88215
0.479135,76169
0.400249,61941
0.306617,46539
0.204025,30811
0.107376,16706
0.0413706,6835
0.010265,1804
0.00172516,319
0.000202302,38
3.63184e-05,7
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.973424,193505
0.966925,191252
0.960697,191025
0.954857,189098
0.949274,187064
0.942864,185154
0.938429,183185
0.934151,181997
0.929288,181029
0.925817,181649
0.921749,181343
0.919401,181738
0.916891,179971
0.914351,178602
0.911045,177641
0.908362,177603
0.906291,177517
0.9032,178111
0.901686,175699
0.897572,175409
0.894818,174307
0.892872,172594
0.891059,172648
0.888484,171067
0.88645,170780
0.885902,170614
0.883055,170246
0.880633,169344
0.877934,168142
0.874889,167781
0.871003,167203
0.867617,165779
0.862284,165712
0.860147,164577
0.857895,162355
0.855548,162010
0.852038,160195
0.850195,160760
0.845769,161141
0.842734,159725
0.838144,159363
0.835611,157785
0.830271,155807
0.823074,154356
0.816993,152928
0.810095,151888
0.803948,148912
0.797712,147146
0.790518,144932
0.779402,141968
0.770691,140853
0.762148,137961
0.749802,134348
0.734319,129478
0.717183,127967
0.698324,122940
0.675793,117319
0.645726,110352
0.613718,102972
0.570719,93938
0.514146,82360
0.449077,70999
0.362863,55857
0.264948,40545
0.161184,24775
0.0750132,11919
0.0254829,4319
0.00607597,1081
0.000833611,155
8.8874e-05,17
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
