Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.0124783,2476
2,0.0126384,2479
3,0.0128174,2531
4,0.0129376,2558
5,0.0129671,2575
6,0.0139175,2758
7,0.0143829,2829
8,0.0147568,2887
9,0.0148695,2938
10,0.0151666,2954
11,0.0158137,3109
12,0.0166996,3293
13,0.0173886,3361
14,0.0178779,3503
15,0.018409,3597
16,0.0189436,3677
17,0.0194305,3802
18,0.020079,3882
19,0.0202611,3923
20,0.0209856,4042
21,0.0218693,4245
22,0.0228265,4401
23,0.0227186,4404
24,0.0228259,4419
25,0.0234845,4514
26,0.0238699,4609
27,0.025208,4853
28,0.0259151,4987
29,0.0270712,5179
30,0.0279246,5346
31,0.0299257,5734
32,0.0313789,5965
33,0.0331277,6271
34,0.0351797,6656
35,0.0371781,7039
36,0.0398105,7489
37,0.041175,7733
38,0.0440998,8206
39,0.0472385,8779
40,0.0498012,9242
41,0.0532558,9757
42,0.0574222,10589
43,0.0611138,11253
44,0.0661345,12128
45,0.0712825,12897
46,0.0789994,14154
47,0.0879322,15532
48,0.0965689,16977
49,0.108775,19053
50,0.12362,21323
51,0.141697,24029
52,0.16484,27404
53,0.193901,31609
54,0.234799,37582
55,0.289607,45737
56,0.36272,55544
57,0.455277,68847
58,0.560959,86032
59,0.660411,107013
60,0.736703,127289
61,0.789943,143866
62,0.826765,154739
63,0.851602,163477
64,0.871306,169016
65,0.885154,174354
66,0.896023,176289
67,0.905779,180105
68,0.913709,181501
69,0.920381,181755
70,0.927473,183892
71,0.932231,184123
72,0.937147,187347
73,0.940876,186365
74,0.944761,186870
75,0.947752,187706
76,0.950872,189794
77,0.953569,188736
78,0.954694,190641
79,0.957297,191534
80,0.959039,192178
81,0.96136,192472
82,0.962827,191023
83,0.964493,192370
84,0.965594,194490
85,0.966816,192758
86,0.969025,193648
87,0.969677,193755
88,0.970606,195022
89,0.971632,193621
90,0.971887,194187
91,0.972131,193701
92,0.972906,194196
93,0.97296,194193
94,0.973926,194269
95,0.974737,194963
96,0.975143,193638
97,0.975878,194961
98,0.977253,194618
99,0.977745,195991
100,0.978392,194655
101,0.978422,197428
102,0.978627,196060
103,0.979319,196189
104,0.979773,195786
105,0.980328,195848
106,0.98127,196619
107,0.981034,196815
108,0.981384,197158
109,0.981516,195834
110,0.981844,195760
111,0.981727,195990
112,0.981827,196008
113,0.981749,197255
114,0.982712,195544
115,0.982717,195319
116,0.982497,197590
117,0.982704,195169
118,0.983358,196119
119,0.983612,197230
120,0.984145,195465
NAN,NAN,NAN
1,0.0122388,2421
2,0.0125924,2483
3,0.0129687,2543
4,0.0137458,2696
5,0.0139584,2740
6,0.0131398,2592
7,0.0131873,2600
8,0.0135909,2654
9,0.0136323,2687
10,0.0133752,2614
11,0.0141998,2782
12,0.0144679,2822
13,0.0149677,2939
14,0.0156352,3066
15,0.0165091,3235
16,0.0166841,3277
17,0.0168922,3283
18,0.0173113,3372
19,0.0177206,3449
20,0.0181464,3538
21,0.018363,3547
22,0.0188898,3669
23,0.0191949,3725
24,0.0193726,3792
25,0.0202126,3925
26,0.0209363,4049
27,0.0221566,4317
28,0.0233743,4534
29,0.0243493,4700
30,0.0250154,4785
