Drive_Allele_Gene_Frequency,Num_Drive_Gene
0.0259659,2543
0.0267047,2595
0.0280173,2713
0.0291608,2837
0.0299444,2882
0.0307687,2947
0.0297306,2855
0.0306506,2950
0.0314317,3044
0.0323065,3122
0.0330176,3162
0.0340872,3254
0.0356151,3436
0.0371548,3564
0.0373139,3549
0.0376248,3575
0.0402851,3844
0.0421251,4001
0.0449291,4295
0.0467127,4425
0.0486358,4631
0.0513193,4872
0.0570798,5407
0.0603344,5633
0.0643263,6001
0.069815,6549
0.0752037,6978
0.081673,7522
0.0868256,7902
0.0947466,8619
0.105287,9575
0.116175,10285
0.131471,11596
0.146077,12677
0.168551,14431
0.19681,16497
0.234407,19144
0.284493,22199
0.359012,27533
0.466299,34425
0.621745,44216
0.813137,58171
0.959769,76246
0.998188,92541
1,99100
1,99447
1,99676
1,100219
1,99320
1,99900
1,100471
1,100626
1,99853
1,99694
1,99892
1,100058
1,100282
1,100366
1,100945
1,100349
1,99886
1,99706
1,99739
1,100076
1,100678
1,100144
1,99259
1,100398
1,99816
1,101098
1,100844
1,99484
1,99587
1,99684
1,100018
1,99434
1,99220
1,100147
1,100555
1,101180
1,100125
1,100005
1,100411
1,100576
1,100105
1,100789
1,99984
1,99822
1,99702
1,100126
1,100450
1,100172
1,100356
1,99699
1,99668
1,99164
1,99537
1,100786
1,99871
1,98657
NAN,NAN
0.0249108,2451
0.0256342,2494
0.026468,2568
0.0263787,2548
0.0278407,2679
0.0287491,2778
0.0290065,2800
0.0289028,2791
0.0299116,2878
0.030321,2920
0.0309733,2991
0.0323147,3094
0.0316028,3026
0.0334106,3230
0.0336691,3242
0.0357418,3427
0.0361701,3483
0.0364008,3473
0.0366725,3495
0.0372924,3538
0.0393326,3748
0.0406536,3901
0.0408593,3897
0.0420594,4012
0.0444964,4243
0.0462454,4407
0.0482628,4577
0.0503493,4800
0.0518617,4875
0.0556394,5271
0.0575843,5363
0.060437,5667
0.066252,6199
0.0716892,6641
0.077935,7109
0.0828454,7528
0.089193,8089
0.0975126,8750
0.109172,9770
0.121466,10727
0.136329,11850
0.153896,13282
0.176993,15046
0.207628,17338
0.246598,19824
0.303195,23551
0.381862,28671
0.502256,36175
0.669554,46842
0.861885,62266
0.979046,81018
0.999484,94841
1,98584
1,99786
1,99652
1,100444
1,99947
1,99809
1,99775
1,98777
1,100365
1,99559
1,99940
1,100571
1,100149
1,100626
1,100274
1,99828
1,99780
1,99591
1,100154
1,100060
1,99692
1,99886
1,99804
1,100133
1,99941
1,100243
1,99896
1,99324
1,100087
1,99034
1,99756
1,101148
1,99309
1,100425
1,100091
1,99677
1,99542
1,99536
1,100731
1,100277
1,100132
1,99667
1,99387
1,100070
1,99918
1,99997
1,99948
1,100112
NAN,NAN
0.0256748,2516
0.0259262,2525
0.0274224,2645
0.0281928,2734
0.0287323,2755
0.0305581,2919
0.0309604,2987
0.0331841,3209
0.0341081,3274
0.0349678,3366
0.0367503,3522
0.0372032,3541
0.0382669,3652
0.0402553,3853
0.0414621,3961
0.0434462,4121
0.0446849,4246
0.0461839,4369
0.0474163,4510
0.04938,4707
0.052156,4918
0.0562238,5268
0.058442,5451
0.0624616,5897
0.0654098,6096
0.0712461,6609
0.0733791,6761
0.0791432,7231
0.0867925,7939
0.0940492,8476
0.102995,9294
0.111849,9954
0.121967,10874
0.136049,11918
0.152381,12967
0.176171,14819
0.207179,17126
0.25,20095
0.307617,23832
0.390869,29441
0.514507,37185
0.687669,48502
0.875252,64745
0.982615,83763
0.999771,95943
1,99720
1,99501
1,100141
1,99277
1,100022
1,100382
1,99989
1,99904
1,99981
1,100623
1,100591
1,100041
1,100577
1,100090
1,99998
1,100127
1,100155
1,100546
1,99905
1,99839
1,99835
1,98888
1,99589
1,99748
1,99213
1,99364
1,100048
1,99764
1,99662
1,100553
1,101049
1,100096
1,99829
1,99856
1,99715
1,99857
1,99792
1,99947
1,99743
1,100168
1,100070
1,99457
1,100130
1,100067
1,100119
1,100403
1,99773
1,100332
1,99162
1,99746
1,99792
1,99231
1,99330
1,100295
1,99824
NAN,NAN
0.0255432,2496
0.0280566,2728
0.0285449,2768
0.030303,2930
0.0312789,3011
0.0315874,3037
0.0342775,3311
0.0360733,3459
0.0370042,3551
0.037624,3630
0.0385121,3662
0.0401841,3824
0.0421161,4026
0.0424396,4013
0.0445714,4230
0.0482484,4622
0.0516071,4897
0.0546741,5138
0.0594889,5675
0.0634941,5944
0.0664807,6198
0.0710376,6541
0.0752008,6939
0.0800873,7336
0.0876776,7972
0.0956788,8673
0.104079,9410
0.113339,9970
0.125841,11150
0.141433,12387
0.159601,13609
0.184077,15345
0.21762,17805
0.260611,20680
0.322822,25184
0.412479,30780
0.541226,38833
0.718878,51141
0.898254,67396
0.989699,85701
0.999969,96585
1,100116
1,100244
1,99385
1,99804
1,99245
1,99782
1,99794
1,100576
1,100379
1,101078
1,100647
1,100421
1,99851
1,100581
1,100399
1,100256
1,100232
1,100950
1,99937
1,100058
1,99348
1,100051
1,99513
1,100040
1,100762
1,100263
1,99581
1,100152
1,100896
1,100165
1,99288
1,100177
1,100223
1,100866
1,99983
1,100658
1,99880
1,99634
1,100096
1,99439
1,100076
1,99857
1,99530
1,99918
1,99486
1,99639
1,99986
1,99359
1,100793
1,99977
1,99982
1,99888
1,99550
1,100092
1,99796
1,100335
1,99906
1,100736
1,100139
NAN,NAN
0.026831,2623
0.0265804,2569
0.0268687,2592
0.0281406,2734
0.029328,2853
0.0311294,3000
0.0326907,3144
0.0348099,3361
0.0356968,3424
0.0373624,3573
0.0397924,3819
0.0412068,3935
0.0431489,4135
0.0448143,4276
0.0471957,4480
0.0493743,4644
0.0501983,4733
0.053657,5040
0.0563945,5288
0.0587824,5546
0.061839,5759
0.0654197,6131
0.0678298,6306
0.0742787,6884
0.0797024,7273
0.087389,7915
0.0933506,8443
0.0992405,8846
0.111446,10016
0.123084,10902
0.138799,12224
0.153931,13307
0.177132,14999
0.210456,17475
0.252889,20333
0.310667,24132
0.394664,29378
0.519688,37206
0.694729,48902
0.881814,64622
0.984405,82310
0.999761,96079
1,99083
1,100152
1,99620
1,100443
1,100160
1,100448
1,100541
1,100655
1,99782
1,99929
1,100072
1,99919
1,100216
1,100793
1,100362
1,100003
1,100201
1,99885
1,99735
1,100095
1,100298
1,99769
1,99970
1,99535
1,100611
1,100694
1,99163
1,100193
1,99330
1,99851
1,99315
1,99753
1,100413
1,100044
1,99688
1,99669
1,100193
1,100053
1,101194
1,99545
1,100348
1,99237
1,100018
1,100544
1,100353
1,100375
1,99740
1,100006
1,99767
1,99761
1,99632
1,99706
1,99904
1,99872
1,100044
1,100059
1,100088
1,100376
NAN,NAN
0.0258278,2525
0.0256747,2486
0.0279521,2713
0.0295845,2876
0.0293308,2835
0.03056,2980
0.0311697,2996
0.0322994,3125
0.0323357,3102
0.0333882,3226
0.0345486,3311
0.036228,3471
0.0372545,3572
0.0380894,3630
0.039544,3802
0.039775,3812
0.0410914,3923
0.0425455,4024
0.0428549,4041
0.0447629,4233
0.0480028,4563
0.0501863,4727
0.0528856,5007
0.0560536,5309
0.0587997,5507
0.0617525,5778
0.0670199,6299
0.0707662,6548
0.0753121,6919
0.0829089,7585
0.0886165,8103
0.0959182,8690
0.105575,9541
0.118102,10482
0.129702,11323
0.147731,12796
0.168648,14354
0.197552,16270
0.232106,18880
0.282029,22456
0.353697,27067
0.460957,34061
0.616128,43864
0.806222,58235
0.954985,75907
0.997918,92039
1,97468
1,99736
1,99902
1,99728
1,100036
1,100228
1,100856
1,99918
1,100281
1,99574
1,100432
1,99712
1,98852
1,99916
1,100599
1,101145
1,99951
1,100042
1,100320
1,100411
1,100809
1,100837
1,99489
1,99832
1,100550
1,100393
1,100135
1,100454
1,99964
1,99798
1,99829
1,100469
1,100380
1,100023
1,100020
1,100156
1,99391
1,100421
1,100525
1,99725
1,99637
1,100664
1,100956
1,99999
1,99698
1,99739
1,99948
1,99370
1,99204
1,100520
1,99977
1,99730
1,99710
1,100008
NAN,NAN
0.0259611,2548
0.0254994,2452
0.025455,2467
0.0252665,2437
0.0266999,2581
0.0274076,2641
0.0287768,2794
0.02819,2737
0.028443,2747
0.0294535,2864
0.0303065,2900
0.0304085,2926
0.0310952,3006
0.0330642,3194
0.0332908,3206
0.0337327,3252
0.0351159,3391
0.0368046,3531
0.0388101,3721
0.040721,3904
0.0415035,3964
0.0418314,3979
0.0440237,4229
0.0449313,4266
0.0480437,4536
0.0503319,4731
0.0522849,4905
0.0551384,5192
0.0583603,5484
0.0611006,5717
0.0654476,6124
0.0703203,6558
0.0762074,7061
0.0819868,7550
0.0872572,7898
0.0946962,8613
0.104151,9240
0.114086,10086
0.128724,11304
0.144894,12573
0.164639,14101
0.194541,16350
0.230596,18809
0.281907,22194
0.355354,27321
0.458629,33557
0.60578,43329
0.795054,56844
0.950159,74863
0.996891,90735
0.999969,97400
1,99986
1,100112
1,100050
1,99399
1,100841
1,99775
1,100038
1,99999
1,99380
1,99389
1,100537
1,99949
1,100327
1,100187
1,100434
1,99309
1,99744
1,100342
1,100203
1,99780
1,100683
1,100070
1,99846
1,99760
1,100598
1,99373
1,100458
1,100697
1,100547
1,100576
1,100092
1,100279
1,100460
1,99754
1,100036
1,99914
1,100443
1,100417
1,99913
1,99873
1,99840
1,99980
1,99694
1,100224
1,100381
1,100202
1,100521
1,99875
1,99481
NAN,NAN
0.0260445,2557
0.0268596,2601
0.027386,2627
0.0290425,2801
0.0299218,2909
0.0306306,2947
0.0324973,3142
0.0332591,3210
0.0330996,3191
0.0347431,3364
0.0354524,3414
0.0371473,3582
0.0367022,3528
0.037778,3620
0.0387849,3700
0.0397024,3799
0.0406084,3855
0.0418699,3992
0.0444395,4225
0.0452995,4315
0.0478868,4573
0.0492688,4693
0.0512346,4849
0.0551924,5209
0.0591081,5560
0.0621133,5843
0.067268,6317
0.0723464,6683
0.0764485,7076
0.0826949,7523
0.0923785,8413
0.101128,9097
0.111316,9955
0.12586,11193
0.142512,12612
0.162345,13794
0.188332,15738
0.220091,18029
0.26506,21301
0.332585,25625
0.428442,31676
0.566388,40405
0.748506,53352
0.924691,70172
0.993827,87904
1,97210
1,99761
1,99349
1,100278
1,100276
1,99621
1,99962
1,100374
1,100343
1,100076
1,100541
1,99764
1,99720
1,99697
1,100361
1,99509
1,100327
1,100041
1,99452
1,98916
1,99672
1,99605
1,100180
1,99896
1,100061
1,99655
1,99873
1,100185
1,100067
1,100092
1,100336
1,99777
1,99799
1,99825
1,99420
1,100458
1,100168
1,100346
1,100622
1,99452
1,100143
1,99362
1,100606
1,100585
1,100110
1,100287
1,100238
1,100624
1,99920
1,99423
1,99981
1,100173
1,100244
1,100081
1,99871
NAN,NAN
0.0248225,2458
0.0258393,2533
0.0268354,2619
0.027955,2703
0.0302384,2935
0.031572,3043
0.0318567,3060
0.0319686,3089
0.0326999,3149
0.0333065,3186
0.0347133,3308
0.0348104,3316
0.0359556,3448
0.0365272,3497
0.0381345,3660
0.0391556,3767
0.0387924,3707
0.0425394,4068
0.0448046,4271
0.0465269,4390
0.0482749,4581
0.052525,4955
0.0541963,5088
0.0583529,5514
0.0619637,5820
0.0649373,6018
0.0712838,6610
0.07448,6836
0.0796981,7275
0.0865572,7936
0.0917781,8363
0.0980962,8873
0.10707,9610
0.118543,10542
0.13383,11740
0.149088,12932
0.172765,14855
0.200141,16757
0.237001,19458
0.288624,22614
0.362862,27342
0.471281,34314
0.629357,44381
0.817052,58630
0.961299,76530
0.998278,92759
1,98127
1,99653
1,99461
1,100303
1,99402
1,100049
1,100493
1,99644
1,100318
1,100448
1,100616
1,100223
1,98667
1,99769
1,100409
1,100458
1,99748
1,99360
1,99273
1,100161
1,100328
1,99591
1,99742
1,99684
1,100420
1,99816
1,99836
1,99597
1,99718
1,99538
1,100094
1,99756
1,100267
1,100723
1,100154
1,100283
1,99888
1,99956
1,98791
1,99374
1,99722
1,99826
1,100486
1,100004
1,99817
1,100364
1,100495
1,100580
1,100808
1,100005
1,100162
1,99257
1,99259
1,100558
NAN,NAN
0.0257217,2533
0.0270469,2644
0.0279143,2693
0.0289257,2792
0.0293867,2829
0.0313516,3017
0.0328854,3157
0.0349638,3366
0.03546,3407
0.0385048,3660
0.0401933,3843
0.0423185,4036
0.0433029,4112
0.0446701,4271
0.0461559,4421
0.0497733,4721
0.0506128,4774
0.0538985,5056
0.0561724,5277
0.0583566,5484
0.0605728,5626
0.0634726,5943
