Wild_Type_Gene_Frequency,Num_Wild_Gene
0.70647,102725
0.714534,101671
0.725089,103025
0.735687,103389
0.751226,106291
0.770119,108787
0.791465,112092
0.817133,116971
0.847134,126794
0.881334,135810
0.915288,146102
0.944433,158353
0.966825,170604
0.980981,180426
0.989571,187403
0.994484,193083
0.99716,195573
0.998546,199224
0.99919,199732
0.999599,199450
0.999835,200197
0.99996,199962
0.999965,199869
0.999985,199971
0.999995,198987
1,198948
1,198486
1,199258
1,200402
1,199894
1,201778
1,200384
1,200052
1,200792
1,200196
1,200518
1,199722
1,199064
1,201704
1,201270
1,200424
1,201778
1,199950
1,198738
1,199098
1,198918
1,198948
1,199256
1,200980
1,200460
1,199936
1,198902
1,200220
1,200070
1,200958
1,199682
1,200070
1,201956
1,200064
1,198224
1,199556
1,200496
1,198722
1,201018
1,200254
1,199634
1,199818
1,200740
1,201260
1,200218
1,200176
1,200180
1,201328
1,198864
1,199050
1,199464
1,200680
1,196910
1,198854
1,199914
1,200002
1,198760
1,200602
1,200010
1,199128
1,200108
1,198642
1,201046
1,200562
1,200008
1,199056
1,200890
1,198484
1,200248
1,201144
1,199792
1,198604
1,199928
1,199552
NAN,NAN
0.707127,103307
0.718749,102127
0.729307,103213
0.742711,104241
0.759777,107592
0.78385,111454
0.809429,117466
0.840546,124426
0.873686,132615
0.906037,142708
0.936177,153679
0.959362,163861
0.976357,176910
0.987476,186082
0.993595,193147
0.996725,196636
0.998306,199154
0.999174,199481
0.999612,200876
0.99982,199886
0.99989,200176
0.999945,199879
0.99996,200876
0.99996,198702
0.999965,199491
0.99999,199448
1,199782
1,198588
1,199786
1,199532
1,199962
1,200020
1,199852
1,200810
1,199608
1,200608
1,200358
1,200810
1,199924
1,199620
1,198124
1,198464
1,199344
1,198312
1,198908
1,198830
1,197982
1,199692
1,198672
1,200132
1,199186
1,199592
1,200408
1,200558
1,199848
1,200816
1,198722
1,200702
1,200474
1,199270
1,200362
1,200444
1,200630
1,197580
1,200960
1,200878
1,200122
1,200828
1,199940
1,200610
1,199178
1,200786
1,200362
1,200118
1,201360
1,199056
1,199508
1,199394
1,199360
1,198520
1,199338
1,200158
1,200576
1,201040
1,199998
1,199130
1,199626
1,200870
1,201560
1,199872
1,198732
1,199682
1,200500
1,200700
1,200840
1,202246
1,200952
1,199448
1,199868
NAN,NAN
0.70579,103147
0.711098,100151
0.720543,100853
0.729146,102445
0.742795,104853
0.756712,106262
0.775294,111202
0.80162,115390
0.830841,120796
0.86109,128447
0.893929,138475
0.926836,148987
0.952763,161078
0.971306,174497
0.98374,182285
0.991936,189690
0.995712,193650
0.997819,198574
0.998783,198532
0.999447,200671
0.999754,198983
0.9999,199258
0.99996,199764
0.999985,199087
0.99998,200462
0.999985,200427
0.999985,199927
0.99999,200382
0.99999,200360
1,199902
1,200492
1,200406
1,199658
1,201200
1,199518
1,198346
1,200050
1,201526
1,199742
