Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.305467,50256
2,0.29353,42681
3,0.285466,40619
4,0.274911,39061
5,0.264313,37145
6,0.248774,35199
7,0.229881,32473
8,0.208535,29534
9,0.182867,26177
10,0.152866,22880
11,0.118666,18286
12,0.0847116,13522
13,0.0555675,9317
14,0.033175,5854
15,0.0190187,3498
16,0.0104289,1975
17,0.00551624,1071
18,0.00283995,557
19,0.00145353,290
20,0.00081043,162
21,0.000400942,80
22,0.00016481,33
23,4.0006e-05,8
24,3.50217e-05,7
25,1.5002e-05,3
26,5.02543e-06,1
27,0,0
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.30706,50337
2,0.292873,42787
3,0.281251,39963
4,0.270693,38309
5,0.257289,36111
6,0.240223,34018
7,0.21615,30734
8,0.190571,27656
9,0.159454,23604
10,0.126314,19173
11,0.0939635,14800
12,0.0638234,10477
13,0.0406377,6941
14,0.0236432,4284
15,0.0125237,2360
16,0.00640458,1245
17,0.0032745,646
18,0.0016943,338
19,0.000826463,165
20,0.000388149,78
21,0.00018007,36
22,0.000109891,22
23,5.50303e-05,11
24,3.9824e-05,8
25,4.02597e-05,8
26,3.50881e-05,7
27,1.00276e-05,2
28,0,0
29,0,0
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.305822,49953
2,0.29421,42997
3,0.288902,40689
4,0.279457,39115
5,0.270854,38055
6,0.257205,36307
7,0.243288,34164
8,0.224706,32230
9,0.19838,28556
10,0.169159,24594
11,0.13891,20721
12,0.106071,16431
13,0.0731642,11761
14,0.0472365,7986
15,0.0286944,5155
16,0.0162603,3013
17,0.0080635,1542
18,0.00428827,834
19,0.00218082,434
20,0.00121746,242
21,0.000552838,111
22,0.000246192,49
23,0.000100362,20
24,4.00457e-05,8
25,1.50686e-05,3
26,1.99535e-05,4
27,1.49678e-05,3
28,1.50053e-05,3
29,9.98084e-06,2
30,9.98193e-06,2
31,0,0
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
70,0,0
71,0,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,0
77,0,0
78,0,0
79,0,0
80,0,0
81,0,0
82,0,0
83,0,0
84,0,0
85,0,0
86,0,0
87,0,0
88,0,0
89,0,0
90,0,0
91,0,0
92,0,0
93,0,0
94,0,0
95,0,0
96,0,0
97,0,0
98,0,0
99,0,0
100,0,0
NAN,NAN,NAN
1,0.308501,50559
2,0.297752,43105
3,0.291685,41697
4,0.285519,39975
5,0.278757,39157
6,0.271776,37879
7,0.259445,36272
8,0.244192,34747
9,0.222748,31554
10,0.200615,28568
11,0.172193,24957
12,0.141726,20969
13,0.107288,16447
14,0.0743846,11960
15,0.0479901,8178
16,0.0293658,5296
17,0.0159852,2973
18,0.00859617,1656
19,0.00462314,897
20,0.00247272,484
21,0.00126603,250
22,0.000574603,114
23,0.000390562,78
24,0.000224845,45
25,0.000125896,25
26,9.9934e-05,20
27,7.01487e-05,14
28,3.50172e-05,7
29,1.97963e-05,4
30,1.49644e-05,3
31,5.02255e-06,1
32,0,0
33,0,0
34,0,0
35,0,0
36,0,0
37,0,0
38,0,0
39,0,0
40,0,0
41,0,0
42,0,0
43,0,0
44,0,0
45,0,0
46,0,0
47,0,0
48,0,0
49,0,0
50,0,0
51,0,0
52,0,0
53,0,0
54,0,0
55,0,0
56,0,0
57,0,0
58,0,0
59,0,0
60,0,0
61,0,0
62,0,0
63,0,0
64,0,0
65,0,0
66,0,0
67,0,0
68,0,0
69,0,0
