Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
1,0.994846,148643
2,0.99186,147926
3,0.987231,148060
4,0.979,146615
5,0.966689,145186
6,0.948137,141537
7,0.91811,137217
8,0.873661,129190
9,0.81,119535
10,0.725903,104411
11,0.620716,86629
12,0.504053,65538
13,0.383211,43957
14,0.279689,25683
15,0.196724,13369
16,0.129412,6054
17,0.0861196,2465
18,0.0571942,859
19,0.0248641,183
20,0.00225428,5
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.995199,149672
2,0.991681,148288
3,0.986985,147501
4,0.979727,146237
5,0.967293,144354
6,0.947076,141370
7,0.917075,137298
8,0.872291,130124
9,0.80812,120548
10,0.723252,105307
11,0.621377,86579
12,0.508585,66170
13,0.383095,43874
14,0.280159,25792
15,0.201473,13760
16,0.137195,6584
17,0.0914438,2705
18,0.0542451,936
19,0.0215875,164
20,0.00649351,12
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.994911,149946
2,0.991369,147823
3,0.986148,148155
4,0.977326,147024
5,0.96347,144560
6,0.942316,141077
7,0.909515,136712
8,0.860974,128757
9,0.79314,116908
10,0.6998,100338
11,0.593452,80973
12,0.477109,59976
13,0.364491,39618
14,0.263313,23166
15,0.179907,11717
16,0.120592,5188
17,0.0730866,1886
18,0.0553718,720
19,0.0292523,178
20,0.00454545,11
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.994882,150652
2,0.99221,149272
3,0.987752,148231
4,0.980445,146705
5,0.968233,145632
6,0.94884,142531
7,0.917527,137462
8,0.87289,130539
9,0.809767,119882
10,0.724147,105409
11,0.620478,86229
12,0.504401,64987
13,0.386876,43941
14,0.279316,25770
15,0.193836,13529
16,0.129116,6117
17,0.0789583,2277
18,0.0494456,718
19,0.0401572,235
20,0.0492611,120
21,0.0894454,100
22,0.0271055,28
23,0,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.994977,149343
2,0.991084,148168
3,0.985961,148118
4,0.977365,146338
5,0.963154,144292
6,0.941399,141224
7,0.908049,135293
8,0.857219,127898
9,0.789454,116165
10,0.70062,101089
11,0.595534,81690
12,0.474821,60128
13,0.366331,39333
14,0.262535,22919
15,0.177577,11431
16,0.117446,4954
17,0.0716454,1794
18,0.0463854,564
19,0.0314624,162
20,0.00764526,15
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.994609,150364
2,0.991245,147984
3,0.985864,147012
4,0.977162,146800
5,0.963831,144486
6,0.943849,141282
7,0.911286,136229
8,0.865102,129107
9,0.800539,117849
10,0.712328,102660
11,0.609522,84960
12,0.48909,62943
13,0.370174,41321
14,0.266596,23807
15,0.179184,11910
16,0.120724,5114
17,0.0766325,2029
18,0.0491508,654
19,0.0346535,196
20,0.0162822,36
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
NAN,NAN,NAN
1,0.99483,149131
2,0.991281,148934
3,0.986171,148048
4,0.978397,145833
5,0.966344,144852
6,0.945493,140122
7,0.91615,135985
8,0.86942,129534
9,0.803084,118544
10,0.718114,103649
11,0.610687,84458
12,0.49159,62718
13,0.376475,41736
14,0.273207,24522
15,0.185838,12658
16,0.127888,5767
17,0.0901651,2468
18,0.0545065,840
19,0.0257167,183
20,0.015015,30
21,0,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
