Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.00517322,778
2,0.00862653,1287
3,0.0127829,1915
4,0.0211796,3181
5,0.0339367,5077
6,0.053064,7931
7,0.0850321,12839
8,0.132522,19958
9,0.203949,30664
10,0.30731,46110
11,0.448663,67377
12,0.613565,92517
13,0.780862,117433
14,0.909628,135449
15,0.975682,146888
16,0.996431,149657
17,0.999888,151326
18,1,149739
19,1,150216
20,1,149778
21,1,150889
22,1,149900
23,1,151064
24,1,150641
25,1,151120
26,1,150100
27,1,151162
28,1,149684
29,1,150748
30,1,150765
31,1,150054
32,1,149900
33,1,149686
34,1,150223
35,1,150248
36,1,150316
37,1,151388
38,1,150590
39,1,149363
40,1,150889
41,1,150788
42,1,150459
43,1,150606
44,1,150975
45,1,151037
46,1,149820
47,1,151124
48,1,150587
49,1,149235
50,1,149806
51,1,149450
52,1,149477
53,1,149764
54,1,149113
55,1,149216
56,1,150732
57,1,149558
58,1,151098
59,1,149511
60,1,149228
61,1,149878
62,1,150630
63,1,149739
64,1,149342
65,1,150085
66,1,148801
67,1,149131
68,1,150053
69,1,150439
70,1,149945
NAN,NAN,NAN
1,0.00493725,731
2,0.00873037,1310
3,0.0140027,2109
4,0.0231826,3461
5,0.0376363,5669
6,0.0595198,8961
7,0.0931633,13973
8,0.147094,22100
9,0.227499,34126
10,0.33911,50860
11,0.485828,72592
12,0.654767,98111
13,0.814364,121977
14,0.930615,139261
15,0.98477,147944
16,0.998603,150774
17,0.99998,150952
18,1,150405
19,1,150932
20,1,149415
21,1,149023
22,1,150525
23,1,150216
24,1,148843
25,1,149388
26,1,149854
27,1,150601
28,1,150045
29,1,149990
30,1,150032
31,1,149874
32,1,151017
33,1,149299
34,1,149554
35,1,150668
36,1,151022
37,1,149981
38,1,151187
39,1,150603
40,1,149308
41,1,149727
42,1,149635
43,1,148766
44,1,149949
45,1,149832
46,1,150337
47,1,150221
48,1,150884
49,1,150500
50,1,150231
51,1,150731
52,1,149629
53,1,149513
54,1,149197
55,1,149615
56,1,150034
57,1,150394
58,1,149768
59,1,149899
60,1,150312
61,1,150802
62,1,150856
63,1,149094
64,1,150168
65,1,149512
66,1,150144
67,1,150950
68,1,150225
69,1,149621
70,1,148996
NAN,NAN,NAN
1,0.00520101,781
2,0.00891542,1332
3,0.0136717,2044
4,0.0219164,3270
5,0.0353367,5311
6,0.0568987,8541
7,0.089704,13433
8,0.141547,21338
9,0.219097,32807
10,0.326421,49288
11,0.46834,70457
12,0.635706,95059
13,0.800284,119055
14,0.919778,138319
15,0.979781,146100
16,0.997321,149653
17,0.999933,149559
18,1,151434
19,1,149417
20,1,150066
21,1,149179
22,1,150782
23,1,150771
24,1,150562
25,1,149612
26,1,150266
27,1,150080
28,1,150310
29,1,149843
30,1,149695
31,1,150462
32,1,150127
33,1,148627
34,1,150278
35,1,150016
36,1,149729
37,1,149914
38,1,148785
39,1,149040
40,1,149339
41,1,150171
42,1,150386
43,1,150812
44,1,149772
45,1,148864
46,1,149731
47,1,149859
48,1,149663
49,1,149398
50,1,149668
51,1,149600
52,1,149640
53,1,150542
54,1,150904
55,1,149937
56,1,149132
57,1,149619
58,1,149508
59,1,150194
60,1,150513
61,1,148936
62,1,150408
63,1,150288
64,1,149730
65,1,150582
66,1,150351
67,1,149548
68,1,149643
69,1,150156
70,1,150766
NAN,NAN,NAN
1,0.0051767,774
2,0.00862229,1297
3,0.0126824,1914
4,0.0203046,3045
5,0.0333708,5019
6,0.0523854,7873
7,0.0831781,12590
8,0.132225,19796
9,0.202613,30323
10,0.306684,46294
11,0.445946,66508
12,0.61129,91070
13,0.779169,115931
14,0.906136,135973
15,0.973389,145585
16,0.996257,148519
17,0.99976,150240
18,1,149896
19,1,149748
20,1,148998
21,1,149437
22,1,150403
23,1,150076
24,1,151194
25,1,150721
26,1,148780
27,1,149776
28,1,150124
29,1,149682
30,1,150183
31,1,149578
32,1,149775
33,1,148856
34,1,149855
35,1,151291
36,1,148912
37,1,150269
38,1,150571
39,1,150011
40,1,148732
41,1,149414
42,1,151045
43,1,150942
44,1,150765
45,1,149760
46,1,149821
47,1,148995
48,1,150199
49,1,150345
50,1,148995
51,1,149963
52,1,148826
53,1,150030
54,1,150784
55,1,150940
56,1,150373
57,1,149995
58,1,149506
59,1,150064
60,1,149556
61,1,149506
62,1,149499
63,1,150012
64,1,150923
65,1,151970
66,1,151198
67,1,150587
68,1,151464
69,1,149760
70,1,148621
NAN,NAN,NAN
1,0.0048168,725
2,0.00813853,1222
3,0.0131598,1967
4,0.0211124,3170
5,0.0349146,5241
6,0.0538389,8081
7,0.0841877,12645
8,0.133545,19857
9,0.207196,31056
10,0.313626,47057
11,0.454364,67737
12,0.623234,92840
13,0.78893,117923
14,0.912492,136976
15,0.977766,145603
16,0.996688,148939
17,0.99982,150002
18,1,151116
19,1,150017
20,1,149736
21,1,150503
22,1,150158
23,1,150155
24,1,150017
25,1,150156
26,1,149687
27,1,148776
28,1,149306
29,1,150019
30,1,149338
31,1,149733
32,1,149354
33,1,148903
34,1,148283
35,1,148453
36,1,150198
37,1,150713
38,1,149280
39,1,150016
40,1,150043
41,1,149118
42,1,150287
43,1,150254
44,1,149615
45,1,148534
46,1,149820
47,1,151626
48,1,150798
49,1,150939
50,1,150307
51,1,149934
52,1,149114
53,1,149682
54,1,150441
55,1,151932
56,1,149542
57,1,149912
58,1,150789
59,1,150728
60,1,149516
61,1,149335
62,1,149541
63,1,149195
64,1,150582
65,1,150900
66,1,150770
67,1,149915
68,1,148769
69,1,150191
70,1,151217
NAN,NAN,NAN
1,0.00530014,798
2,0.00900075,1335
3,0.014243,2135
4,0.023069,3474
5,0.036735,5527
6,0.0597644,8990
7,0.0948937,14159
8,0.148971,22103
9,0.228187,34080
10,0.339218,50687
11,0.487271,72942
12,0.655989,97091
13,0.816679,122323
14,0.930668,139885
15,0.983833,148062
16,0.998507,149182
17,0.999967,149918
18,1,150143
19,1,149441
20,1,149120
21,1,150879
22,1,151208
23,1,150731
24,1,149822
25,1,149230
26,1,149283
27,1,149128
28,1,148569
29,1,148684
30,1,150319
31,1,150925
32,1,149733
33,1,150638
34,1,151751
35,1,150925
36,1,150143
37,1,150487
38,1,150334
39,1,149708
40,1,149783
41,1,148831
42,1,149164
43,1,149627
44,1,150344
45,1,149698
46,1,150516
47,1,150379
48,1,148535
49,1,148645
50,1,150209
51,1,149698
52,1,150342
53,1,148629
54,1,150018
55,1,150153
56,1,150458
57,1,149058
58,1,150864
59,1,149595
60,1,151078
61,1,149463
62,1,150925
63,1,149954
64,1,150364
65,1,151044
66,1,149692
