Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.0191799,964
2,0.0355587,1804
3,0.0709606,3596
4,0.134014,6887
5,0.234946,12212
6,0.376999,20036
7,0.552647,28463
8,0.703919,31991
9,0.824616,28742
10,0.904151,20168
11,0.94445,10337
12,0.963128,4310
13,0.981846,1893
14,1,304
15,NAN,0
16,NAN,0
17,NAN,0
18,NAN,0
19,NAN,0
20,NAN,0
21,NAN,0
22,NAN,0
23,NAN,0
24,NAN,0
25,NAN,0
26,NAN,0
27,NAN,0
28,NAN,0
29,NAN,0
30,NAN,0
31,NAN,0
32,NAN,0
33,NAN,0
34,NAN,0
35,NAN,0
36,NAN,0
37,NAN,0
38,NAN,0
39,NAN,0
40,NAN,0
41,NAN,0
42,NAN,0
43,NAN,0
44,NAN,0
45,NAN,0
46,NAN,0
47,NAN,0
48,NAN,0
49,NAN,0
50,NAN,0
51,NAN,0
52,NAN,0
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
91,NAN,0
92,NAN,0
93,NAN,0
94,NAN,0
95,NAN,0
96,NAN,0
97,NAN,0
98,NAN,0
99,NAN,0
100,NAN,0
101,NAN,0
102,NAN,0
103,NAN,0
104,NAN,0
105,NAN,0
106,NAN,0
107,NAN,0
108,NAN,0
109,NAN,0
110,NAN,0
111,NAN,0
112,NAN,0
113,NAN,0
114,NAN,0
115,NAN,0
116,NAN,0
117,NAN,0
118,NAN,0
119,NAN,0
120,NAN,0
