Wild_Type_Gene_Frequency,Num_Wild_Gene
0.978833,147748
0.975461,144380
0.977663,144440
0.975942,143323
0.975951,144027
0.975658,144094
0.97479,143722
0.974994,143833
0.973707,143612
0.973539,143305
0.974177,142262
0.972556,141679
0.972027,141391
0.971432,141728
0.969405,142234
0.968165,140807
0.967687,141383
0.965855,141178
0.965994,140159
0.963613,139270
0.964119,140394
0.963837,139820
0.961827,139941
0.961051,139559
0.960121,138773
0.959732,139164
0.957966,138404
0.956722,138009
0.955904,137547
0.954357,137978
0.952861,138464
0.952819,137064
0.951322,137760
0.948005,136781
0.946588,136533
0.944589,135797
0.942203,134002
0.940631,133737
0.937065,134496
0.933677,133653
0.930994,132487
0.927833,130984
0.925033,130437
0.921699,130402
0.917408,129472
0.911392,128592
0.906992,126520
0.898148,123851
0.889919,122242
0.883939,121440
0.876938,121612
0.867239,118817
0.854104,115872
0.839624,113010
0.823222,109803
0.801123,105975
0.774517,101677
0.740703,95984
0.697962,89619
0.646687,80777
0.574358,70924
0.48442,59419
0.373924,45658
0.247523,31200
0.127086,16981
0.0437073,6240
0.00758979,1160
0.000677194,107
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
NAN,NAN
0.979111,145960
0.976862,144094
0.978442,144146
0.978995,144529
0.978995,144717
0.979115,144816
0.978207,143904
0.97742,144317
0.977475,143158
0.977239,143787
0.976181,143238
0.975697,143283
0.975185,142733
0.974307,144213
0.973741,143839
0.972956,143008
0.972327,141811
0.971943,140716
0.972382,141923
0.972458,142467
0.972042,142374
0.971027,142671
0.970676,142571
0.968911,141027
0.968579,140444
0.968519,142321
0.968184,143269
0.96668,141899
0.966159,140209
0.966257,140717
0.966095,141445
0.96472,140989
0.964182,140867
0.962267,139981
0.960711,138597
0.958884,138203
0.957174,138281
0.956171,138576
0.953985,138056
0.95263,136893
0.949976,136882
0.948144,136547
0.945575,135968
0.943785,134076
0.941632,134142
0.940089,134398
0.936551,133482
0.933301,132679
0.931567,132139
0.926879,130600
0.92202,131351
0.918013,129572
0.9121,128400
0.907722,126817
0.90124,125258
0.89249,123933
0.883959,120938
0.874644,119939
0.862113,117437
0.849527,114687
0.831389,112092
0.812262,107926
0.788489,104064
0.759998,98948
0.719803,92047
0.669892,84243
0.607986,76250
0.532593,65510
0.434442,52905
0.310692,38304
0.179068,22826
0.0768312,10546
0.0185679,2757
0.00189041,297
3.79E-05,6
0,0
0,0
0,0
0,0
0,0
0,0
0,0
0,0
