Generation,Drive_Allele_Gene_Frequency,Num_Drive_Gene
1,0.0169998,2566
2,0.0176269,2609
3,0.0170908,2525
4,0.01797,2639
5,0.0182076,2687
6,0.0183358,2708
7,0.0189434,2793
8,0.0191226,2821
9,0.0197234,2909
10,0.0197283,2904
11,0.019297,2818
12,0.0204082,2973
13,0.0209611,3049
14,0.0216935,3165
15,0.023023,3378
16,0.0240929,3504
17,0.0244278,3569
18,0.0256894,3755
19,0.0256456,3721
20,0.0272125,3933
21,0.0271874,3959
22,0.0274771,3986
23,0.0285646,4156
24,0.0289708,4207
25,0.0298194,4310
26,0.0303511,4401
27,0.0320605,4632
28,0.0324571,4682
29,0.0334695,4816
30,0.0338851,4899
31,0.0349725,5082
32,0.035648,5128
33,0.0368762,5340
34,0.0385354,5560
35,0.0404681,5837
36,0.0420553,6046
37,0.0436008,6201
38,0.044381,6310
39,0.0473005,6789
40,0.0493269,7061
41,0.0518105,7373
42,0.0539059,7610
43,0.0562734,7935
44,0.0585807,8288
45,0.0620997,8764
46,0.0666293,9401
47,0.0700747,9775
48,0.0762386,10513
49,0.0823948,11318
50,0.0861812,11840
51,0.0928121,12871
52,0.0996672,13655
53,0.109586,14867
54,0.120665,16241
55,0.132822,17716
56,0.150616,19924
57,0.16996,22312
58,0.196033,25403
59,0.228472,29336
60,0.2689,33588
61,0.324253,40040
62,0.39607,48582
63,0.48858,59658
64,0.599608,75580
65,0.71768,95895
66,0.82543,117845
67,0.903826,138138
68,0.951407,150327
69,0.976037,152781
70,0.988284,152260
71,0.994358,150869
72,0.997168,151393
73,0.998697,150234
74,0.999339,149649
75,0.99968,149974
76,0.999799,149265
77,0.999899,148628
78,0.999953,149721
79,0.999967,150070
80,0.99998,150230
81,0.999987,149899
82,0.999993,149570
83,1,150371
84,1,149943
85,1,149380
86,1,149985
87,1,151236
88,1,151314
89,1,151373
90,1,151098
91,1,150750
92,1,149301
93,1,150102
94,1,149691
95,1,149635
96,1,150162
97,1,150209
98,1,150576
99,1,150462
100,1,151203
101,1,150237
102,1,149402
103,1,149335
104,1,149759
105,1,150028
106,1,149206
107,1,149641
108,1,149446
109,1,149902
110,1,151468
111,1,150152
112,1,150178
113,1,149690
114,1,150327
115,1,149650
116,1,149349
117,1,149099
118,1,149950
119,1,150610
120,1,150457
NAN,NAN,NAN
1,0.0168172,2507
2,0.0167314,2468
3,0.0165284,2435
4,0.0156337,2308
5,0.0160125,2367
6,0.0157263,2326
7,0.0162599,2392
8,0.0168167,2483
9,0.0171518,2512
10,0.0171814,2528
11,0.0178692,2622
12,0.0183314,2692
13,0.0187203,2740
14,0.0194641,2881
15,0.0197065,2911
16,0.0203765,2995
17,0.0204324,2980
18,0.0209631,3035
19,0.0205613,3001
20,0.0205867,3016
21,0.0211717,3101
22,0.021827,3207
23,0.0220523,3239
24,0.0232838,3389
25,0.0235103,3409
26,0.0235595,3462
27,0.0241254,3570
28,0.0247156,3628
29,0.0255582,3709
30,0.0253105,3686
31,0.0251965,3689
32,0.0263095,3845
33,0.0269473,3937
34,0.0283289,4121
35,0.0297993,4299
36,0.0308751,4450
37,0.0320209,4626
38,0.0327128,4741
39,0.034599,5007
40,0.0358038,5145
41,0.0373378,5380
42,0.0387599,5582
43,0.0409405,5887
44,0.0422844,6007
45,0.0438799,6251
46,0.0452355,6467
47,0.0476688,6794
48,0.0502458,7143
49,0.0514784,7302
50,0.0546475,7700
51,0.0585357,8339
52,0.0615046,8681
53,0.0659,9277
54,0.0696519,9731
55,0.0748072,10397
56,0.0806052,11193
57,0.0868259,11879
58,0.0948231,13003
59,0.103524,14102
60,0.113073,15265
61,0.126223,17018
62,0.141114,18750
63,0.159344,21030
64,0.181789,23668
65,0.211968,27106
66,0.250032,31443
67,0.298141,37391
68,0.359189,44181
69,0.4378,53314
70,0.543525,67009
71,0.663633,84594
72,0.777287,106692
73,0.871156,129351
74,0.931614,146365
75,0.966508,153032
76,0.983879,153558
77,0.991949,152290
78,0.995796,151108
79,0.997707,150538
80,0.998865,150465
81,0.999407,149925
82,0.999682,150969
83,0.999834,150307
84,0.999947,149914
85,0.999987,150379
86,0.999993,148928
87,1,149342
88,1,149499
89,1,149168
90,1,150135
91,1,149657
92,1,149603
93,1,150098
94,1,150098
95,1,150535
96,1,149922
97,1,149714
98,1,149452
99,1,149362
100,1,150508
101,1,150397
102,1,150034
103,1,149289
104,1,149484
105,1,150923
106,1,149740
107,1,149116
108,1,149053
109,1,149961
110,1,150329
111,1,150258
112,1,149799
113,1,150228
114,1,150026
115,1,150306
116,1,149650
117,1,150154
118,1,150071
119,1,150392
120,1,149776
NAN,NAN,NAN
1,0.0162858,2428
2,0.0170326,2492
3,0.0174976,2563
4,0.0170952,2517
5,0.0172844,2528
6,0.0177354,2576
7,0.0172305,2536
8,0.01754,2578
9,0.0174747,2570
10,0.0182042,2682
11,0.0188915,2782
12,0.0195813,2882
13,0.0194486,2853
14,0.0200165,2939
15,0.0208376,3062
16,0.021239,3103
17,0.0223059,3264
18,0.0226552,3295
19,0.0231083,3360
20,0.0232162,3377
21,0.0235917,3442
22,0.0241873,3543
23,0.0247116,3614
24,0.0250307,3651
25,0.0258322,3753
26,0.0257531,3771
27,0.0269406,3935
28,0.0281524,4129
29,0.0287504,4190
30,0.0294754,4250
31,0.0309396,4498
32,0.0323069,4691
33,0.0318353,4596
34,0.0328022,4753
35,0.0327755,4732
36,0.0338625,4891
37,0.0346362,4959
38,0.0359378,5190
39,0.0373825,5398
40,0.0393693,5683
41,0.0405235,5759
42,0.0427054,6085
43,0.0455008,6524
44,0.0471473,6706
45,0.0495807,7113
46,0.0515522,7383
47,0.0557613,7982
48,0.0592906,8446
49,0.063165,8863
50,0.0651783,9167
51,0.0705396,9896
52,0.0744,10375
53,0.0800895,11129
54,0.0856992,11827
55,0.0927889,12668
56,0.10104,13688
57,0.108844,14731
58,0.121097,16221
59,0.135183,18081
60,0.150095,19746
61,0.169335,22243
62,0.195037,25192
63,0.228176,28919
64,0.269763,33818
65,0.326683,40084
66,0.397952,48315
67,0.491952,59967
68,0.606197,75617
69,0.726644,96818
70,0.830976,120430
71,0.908189,139951
72,0.953121,150513
73,0.977103,154097
74,0.988786,152712
75,0.994461,152422
76,0.997019,151196
77,0.998365,150808
78,0.999103,151417
79,0.999573,152329
80,0.999716,151445
81,0.999827,150415
82,0.999907,150760
83,0.999927,150689
84,0.999973,149459
85,0.999987,149078
86,0.999987,149513
87,1,149008
88,1,149064
89,1,148844
90,1,151204
91,1,149467
92,1,150434
93,1,150666
94,1,150337
95,1,149380
96,1,149127
97,1,150313
98,1,150199
99,1,150493
100,1,150094
101,1,150352
102,1,149836
103,1,149654
104,1,150265
105,1,151556
106,1,150811
107,1,149955
108,1,151280
109,1,150798
110,1,150587
111,1,150372
112,1,149960
113,1,149893
114,1,150676
115,1,150077
116,1,149156
117,1,148707
118,1,149501
119,1,148425
120,1,149757
NAN,NAN,NAN
1,0.0170307,2533
2,0.0174442,2564
3,0.0174586,2571
4,0.0177932,2599
5,0.0187908,2745
6,0.0187611,2754
7,0.0194634,2856
8,0.0198925,2884
9,0.0204187,2999
10,0.0211178,3102
11,0.0220206,3219
12,0.0220515,3198
13,0.0231491,3356
14,0.0242387,3522
15,0.0243227,3567
16,0.0245131,3587
17,0.0250334,3656
18,0.0256174,3752
19,0.0260618,3796
20,0.0265955,3891
21,0.0279025,4063
22,0.0288246,4210
23,0.0301385,4418
24,0.0315649,4614
25,0.0325655,4723
26,0.0337865,4846
27,0.0338493,4901
28,0.0349695,5059
29,0.0363599,5264
30,0.0376853,5441
31,0.0394752,5693
32,0.041339,5961
33,0.0433838,6152
34,0.0451007,6489
35,0.0467557,6633
36,0.0496353,7043
37,0.0508322,7217
38,0.0525736,7450
39,0.0541377,7683
40,0.0564688,7980
41,0.0591027,8357
42,0.0617301,8700
43,0.0659875,9263
44,0.0694418,9789
45,0.0743633,10351
46,0.0792698,10973
47,0.0857288,11819
48,0.0933423,12792
49,0.10138,13951
50,0.110393,15040
51,0.122329,16431
52,0.135947,18189
53,0.153428,20195
54,0.173887,22464
55,0.199289,25519
56,0.233693,29784
57,0.27408,34354
58,0.328846,40648
59,0.403316,49280
60,0.497441,61239
61,0.608532,76114
62,0.727987,96783
63,0.832816,120944
64,0.907867,140171
65,0.953397,150776
66,0.977547,153599
67,0.988914,152088
68,0.994324,152062
69,0.997139,150240
70,0.998693,149725
71,0.999394,150152
72,0.999725,149025
73,0.999879,148601
74,0.999933,148871
75,0.99998,149722
76,0.999993,150224
77,1,150699
78,1,150605
79,1,150302
80,1,152273
81,1,149928
82,1,149245
83,1,149960
84,1,150918
85,1,149602
86,1,150509
87,1,151496
88,1,149998
89,1,150142
90,1,151410
91,1,150718
92,1,150354
93,1,149697
94,1,149330
95,1,149799
96,1,150585
97,1,150302
98,1,150278
99,1,149888
100,1,150021
101,1,149980
102,1,150175
103,1,150101
104,1,150349
105,1,150012
106,1,149347
107,1,149803
108,1,149817
109,1,149720
110,1,149722
111,1,150562
112,1,150333
113,1,149539
114,1,149213
115,1,150244
116,1,150429
117,1,150807
118,1,149388
119,1,150065
120,1,150506
NAN,NAN,NAN
1,0.0158178,2329
2,0.0167674,2457
3,0.0171141,2522
4,0.0176245,2596
5,0.0179301,2651
6,0.0180156,2654
7,0.0185418,2727
8,0.0188646,2766
9,0.0188617,2739
10,0.0194185,2834
11,0.020037,2938
12,0.020823,3051
13,0.0218008,3195
14,0.0225183,3318
15,0.0221002,3243
16,0.0226495,3310
17,0.0227792,3319
18,0.0233696,3395
19,0.0235936,3468
20,0.0238429,3484
21,0.0247327,3595
22,0.0257795,3734
23,0.0259567,3757
24,0.0256985,3717
25,0.0265053,3882
26,0.027273,3968
27,0.0272264,3928
28,0.0273956,3962
29,0.0287101,4164
30,0.0299619,4346
31,0.0299969,4350
32,0.0306228,4437
33,0.0306516,4456
34,0.0313456,4538
35,0.0316111,4558
36,0.0321127,4669
37,0.0338845,4920
38,0.0343658,4984
39,0.0353075,5065
40,0.0372459,5384
41,0.0391582,5647
42,0.0407735,5828
43,0.0436412,6243
44,0.0456569,6483
45,0.047385,6700
46,0.0506814,7178
47,0.0532065,7560
48,0.0567135,8027
49,0.0602552,8482
50,0.0651198,9197
51,0.0701402,9889
52,0.0750481,10576
53,0.0797031,11157
54,0.0849057,11776
55,0.0915965,12634
56,0.098859,13542
57,0.107542,14676
58,0.116541,15705
59,0.128597,17173
60,0.1431,18937
61,0.160511,21024
62,0.185216,24139
63,0.215106,27691
64,0.254217,32194
65,0.303162,37714
66,0.368304,45375
67,0.453627,56320
68,0.561947,70567
69,0.681567,88096
70,0.795697,111719
71,0.88319,132701
72,0.938975,148067
73,0.969351,152668
74,0.985075,152333
75,0.99271,152109
76,0.99633,150119
77,0.997954,150257
78,0.999007,150888
79,0.999525,149546
80,0.999812,148622
81,0.999946,148869
82,0.99998,149257
83,0.999993,148402
84,1,150070
85,1,150568
86,1,150771
87,1,150512
88,1,149629
89,1,150508
90,1,149419
91,1,151749
92,1,150837
93,1,150728
94,1,149368
