Generation,Wild_Type_Gene_Frequency,Num_Wild_Gene
1,0.996679,152173
2,0.994702,150396
3,0.993525,150677
4,0.99164,149702
5,0.989682,149726
6,0.987182,149643
7,0.984051,150545
8,0.98014,148307
9,0.974675,148983
10,0.967116,148520
11,0.958696,146992
12,0.946723,146903
13,0.932711,148246
14,0.915126,147543
15,0.893601,147387
16,0.865391,145545
17,0.833256,143010
18,0.79853,142128
19,0.757271,140554
20,0.710241,137176
21,0.658118,133088
22,0.603216,129075
23,0.543702,123162
24,0.485574,117120
25,0.429712,110736
26,0.374166,102049
27,0.322067,93202
28,0.276263,84527
29,0.234447,75436
30,0.197568,66688
31,0.165812,58203
32,0.138046,50085
33,0.115111,43227
34,0.0951879,36674
35,0.077866,30675
36,0.0637407,25749
37,0.0521957,21357
38,0.0424812,17630
39,0.0354597,14850
40,0.0294924,12450
41,0.0239527,10206
42,0.0203189,8714
43,0.0167141,7169
44,0.0139458,6005
45,0.0111411,4805
46,0.00941064,4088
47,0.00743263,3233
48,0.00520626,2271
49,0.00338822,1484
50,0.00322045,1412
51,0.00230473,1012
52,0.00120356,528
53,NAN,0
54,NAN,0
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996727,149511
2,0.995024,149969
3,0.994167,150844
4,0.991818,150186
5,0.990105,149098
6,0.98692,149020
7,0.983903,149324
8,0.979552,150371
9,0.974271,149837
10,0.966438,147921
11,0.956656,147435
12,0.944694,148111
13,0.93019,147236
14,0.913102,147613
15,0.891339,146382
16,0.864406,144935
17,0.836701,144228
18,0.798142,140841
19,0.756283,139228
20,0.708137,135543
21,0.65543,132958
22,0.598303,128357
23,0.539985,123433
24,0.480422,116204
25,0.424658,109775
26,0.368363,100684
27,0.317134,92914
28,0.269576,83119
29,0.228258,74126
30,0.19048,64722
31,0.157095,55548
32,0.129404,47812
33,0.106382,40435
34,0.0872388,34111
35,0.0746467,29618
36,0.0608562,24466
37,0.0499251,20530
38,0.0426628,17759
39,0.0329392,13755
40,0.0262294,11127
41,0.0212891,9088
42,0.0163638,7033
43,0.012517,5404
44,0.0107132,4639
45,0.00986893,4288
46,0.00697366,3033
47,0.0060962,2654
48,0.00505165,2206
49,0.00380805,1662
50,0.00503797,2204
51,0.00339444,1484
52,0.00402995,1770
53,0.00358178,1559
54,0.00187014,821
55,NAN,0
56,NAN,0
57,NAN,0
58,NAN,0
59,NAN,0
60,NAN,0
61,NAN,0
62,NAN,0
63,NAN,0
64,NAN,0
65,NAN,0
66,NAN,0
67,NAN,0
68,NAN,0
69,NAN,0
70,NAN,0
71,NAN,0
72,NAN,0
73,NAN,0
74,NAN,0
75,NAN,0
76,NAN,0
77,NAN,0
78,NAN,0
79,NAN,0
80,NAN,0
81,NAN,0
82,NAN,0
83,NAN,0
84,NAN,0
85,NAN,0
86,NAN,0
87,NAN,0
88,NAN,0
89,NAN,0
90,NAN,0
NAN,NAN,NAN
1,0.996582,150435
2,0.994688,149436
3,0.994039,149911
4,0.991178,150217
5,0.989564,150480
6,0.986846,149821
7,0.983506,149251
