CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,101,0,1570,1671
0.03,122,0,1943,2065
0.05,148,0,2076,2224
0.07,148,0,2036,2184
0.09,144,0,2033,2177
0.11,171,0,1936,2107
0.13,152,0,1875,2027
0.15,159,0,1869,2028
0.17,205,0,1800,2005
0.19,187,0,1787,1974
0.21,206,0,1809,2015
0.23,208,0,1782,1990
0.25,215,0,1826,2041
0.27,244,0,1702,1946
0.29,292,0,1716,2008
0.31,304,1,1642,1947
0.33,351,0,1603,1954
0.35,348,0,1568,1916
0.37,409,1,1456,1866
0.39,463,4,1435,1902
0.41,507,20,1333,1860
0.43,569,29,1179,1777
0.45,610,64,1002,1676
0.47,683,106,939,1728
0.49,678,230,721,1629
0.51,694,350,526,1570
0.53,591,538,388,1517
0.55,573,663,270,1506
0.57,406,1007,181,1594
0.59,340,1170,115,1625
0.61,238,1375,58,1671
0.63,176,1596,31,1803
0.65,109,1761,10,1880
0.67,72,1825,4,1901
0.69,36,1979,1,2016
0.71,25,1914,2,1941
0.73,11,1966,1,1978
0.75,7,2031,1,2039
0.77,8,2075,0,2083
0.79,1,1969,0,1970
0.81,1,2038,0,2039
0.83,0,2083,0,2083
0.85,0,2078,0,2078
0.87,0,2056,0,2056
0.89,1,2043,0,2044
0.91,0,2111,0,2111
0.93,0,2264,0,2264
0.95,0,2211,0,2211
0.97,0,1966,0,1966
0.99,0,1681,0,1681
