CORE,Wild_Homozygotes,Drive_Homozygotes,Drive_Heterozygotes,Pop_size
0.01,0,1493,121,1614
0.03,0,1780,167,1947
0.05,0,2003,175,2178
0.07,0,2001,205,2206
0.09,0,1940,180,2120
0.11,0,1966,176,2142
0.13,0,1831,182,2013
0.15,0,1823,212,2035
0.17,0,1793,199,1992
0.19,0,1742,199,1941
0.21,0,1731,255,1986
0.23,0,1733,249,1982
0.25,0,1696,273,1969
0.27,0,1734,280,2014
0.29,0,1700,290,1990
0.31,0,1684,319,2003
0.33,0,1577,338,1915
0.35,0,1526,374,1900
0.37,1,1408,391,1800
0.39,1,1404,515,1920
0.41,7,1298,544,1849
0.43,11,1289,557,1857
0.45,35,1046,617,1698
0.47,72,918,699,1689
0.49,149,705,667,1521
0.51,261,494,688,1443
0.53,409,384,591,1384
0.55,631,236,504,1371
0.57,910,139,418,1467
0.59,1206,61,304,1571
0.61,1369,39,203,1611
0.63,1565,24,132,1721
0.65,1697,7,76,1780
0.67,1782,7,46,1835
0.69,1909,2,22,1933
0.71,1902,0,17,1919
0.73,1999,0,6,2005
0.75,1993,0,4,1997
0.77,1933,0,1,1934
0.79,1927,0,0,1927
0.81,2016,0,0,2016
0.83,1933,0,1,1934
0.85,2005,0,0,2005
0.87,2027,0,0,2027
0.89,2082,0,0,2082
0.91,2090,0,0,2090
0.93,2091,0,0,2091
0.95,2113,0,0,2113
0.97,1972,0,0,1972
0.99,1641,0,0,1641
