CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,1696,1696
0.03,0,0,2010,2010
0.05,0,0,2162,2162
0.07,0,0,2114,2114
0.09,0,0,2104,2104
0.11,0,0,2018,2018
0.13,0,0,1982,1982
0.15,0,0,2042,2042
0.17,0,0,2056,2056
0.19,0,0,1918,1918
0.21,0,0,1991,1991
0.23,0,0,2031,2031
0.25,0,0,2034,2034
0.27,2,0,2021,2023
0.29,0,2,1969,1971
0.31,0,2,1908,1910
0.33,9,3,1891,1903
0.35,14,10,1778,1802
0.37,45,25,1607,1677
0.39,105,47,1440,1592
0.41,128,95,1175,1398
0.43,182,216,918,1316
0.45,219,319,613,1151
0.47,255,552,430,1237
0.49,251,773,219,1243
0.51,219,1036,141,1396
0.53,143,1285,69,1497
0.55,84,1481,37,1602
0.57,61,1634,8,1703
0.59,43,1793,2,1838
0.61,16,1982,0,1998
0.63,6,1943,0,1949
0.65,6,2001,0,2007
0.67,7,2044,0,2051
0.69,4,2023,0,2027
0.71,2,2017,0,2019
0.73,0,2114,0,2114
0.75,0,2050,0,2050
0.77,0,1959,0,1959
0.79,0,2012,0,2012
0.81,0,2043,0,2043
0.83,0,1918,0,1918
0.85,0,1977,0,1977
0.87,0,1934,0,1934
0.89,0,2076,0,2076
0.91,0,2172,0,2172
0.93,0,2185,0,2185
0.95,0,2146,0,2146
0.97,0,2036,0,2036
0.99,0,1598,0,1598
