CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,R2_Heterozygotes,Pop_size
0.01,116,0,1672,0,1788
0.03,134,0,1850,0,1984
0.05,177,0,1951,0,2128
0.07,156,0,1890,0,2046
0.09,158,0,1994,0,2152
0.11,185,0,1902,0,2087
0.13,178,0,1877,0,2055
0.15,173,0,1749,0,1922
0.17,196,0,1760,0,1956
0.19,227,0,1779,0,2006
0.21,236,0,1679,0,1915
0.23,242,0,1677,0,1919
0.25,268,0,1643,0,1911
0.27,291,0,1664,0,1955
0.29,298,0,1597,0,1895
0.31,386,0,1592,0,1978
0.33,375,0,1466,0,1841
0.35,426,1,1408,1,1836
0.37,488,0,1334,4,1826
0.39,560,3,1225,7,1795
0.41,593,7,1134,14,1748
0.43,667,18,989,31,1705
0.45,688,39,854,51,1632
0.47,677,108,644,68,1497
0.49,709,154,460,128,1451
0.51,680,298,334,162,1474
0.53,563,453,244,228,1488
0.55,440,709,156,249,1554
0.57,379,906,79,276,1640
0.59,260,1104,53,253,1670
0.61,183,1310,17,249,1759
0.63,99,1491,5,207,1802
0.65,68,1627,2,195,1892
0.67,35,1683,0,174,1892
0.69,26,1796,0,176,1998
0.71,15,1739,0,139,1893
0.73,12,1879,0,95,1986
0.75,2,1990,0,74,2066
0.77,2,1845,0,51,1898
0.79,0,1885,0,43,1928
0.81,1,1927,0,33,1961
0.83,0,1990,0,38,2028
0.85,1,2046,0,13,2060
0.87,0,2017,0,15,2032
0.89,0,2091,0,10,2101
0.91,0,2147,0,6,2153
0.93,0,2240,0,6,2246
0.95,0,2155,0,7,2162
0.97,0,2013,0,4,2017
0.99,0,1633,0,7,1640
