CORE,Drive_Heterozygotes,Wild_Homozygotes,Pop_size
0.01,18,1,19
0.03,28,1,29
0.05,32,5,37
0.07,41,6,47
0.09,75,10,85
0.11,96,5,101
0.13,144,10,154
0.15,153,15,168
0.17,220,19,239
0.19,280,35,315
0.21,303,37,340
0.23,378,57,435
0.25,463,74,537
0.27,549,82,631
0.29,622,135,757
0.31,735,172,907
0.33,795,251,1046
0.35,803,306,1109
0.37,898,382,1280
0.39,923,479,1402
0.41,890,671,1561
0.43,834,767,1601
0.45,808,960,1768
0.47,747,1161,1908
0.49,623,1298,1921
0.51,480,1394,1874
0.53,372,1527,1899
0.55,316,1731,2047
0.57,198,1681,1879
0.59,123,1885,2008
0.61,79,1845,1924
0.63,64,1972,2036
0.65,34,1888,1922
0.67,17,1931,1948
0.69,4,2023,2027
0.71,7,1995,2002
0.73,4,1996,2000
0.75,3,1996,1999
0.77,0,2020,2020
0.79,0,1995,1995
0.81,0,2087,2087
0.83,0,1995,1995
0.85,0,2009,2009
0.87,0,2067,2067
0.89,0,2080,2080
0.91,0,2136,2136
0.93,0,2214,2214
0.95,0,2144,2144
0.97,0,1952,1952
0.99,0,1583,1583
