CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,12,12
0.03,2,0,25,27
0.05,1,0,27,28
0.07,1,1,40,42
0.09,12,0,49,61
0.11,13,0,75,88
0.13,15,3,107,125
0.15,35,7,123,165
0.17,46,8,156,210
0.19,57,14,208,279
0.21,102,20,240,362
0.23,139,18,264,421
0.25,165,33,312,510
0.27,254,52,373,679
0.29,288,70,388,746
0.31,388,105,400,893
0.33,423,157,411,991
0.35,514,180,412,1106
0.37,527,279,369,1175
0.39,638,368,347,1353
0.41,717,514,307,1538
0.43,723,639,249,1611
0.45,687,821,194,1702
0.47,648,949,151,1748
0.49,595,1180,112,1887
0.51,479,1379,68,1926
0.53,414,1523,47,1984
0.55,334,1634,25,1993
0.57,211,1777,13,2001
0.59,179,1840,5,2024
0.61,103,1903,1,2007
0.63,89,1857,2,1948
0.65,55,2014,4,2073
0.67,29,2035,0,2064
0.69,18,1961,0,1979
0.71,13,1973,1,1987
0.73,9,1950,0,1959
0.75,3,1994,0,1997
0.77,0,2030,0,2030
0.79,1,2025,0,2026
0.81,0,2035,0,2035
0.83,0,1996,0,1996
0.85,0,1972,0,1972
0.87,0,1986,0,1986
0.89,0,1943,0,1943
0.91,0,2085,0,2085
0.93,0,2125,0,2125
0.95,0,2103,0,2103
0.97,0,1937,0,1937
0.99,0,1600,0,1600
