CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,0,0
0.03,0,0,0,0
0.05,0,0,0,0
0.07,0,0,0,0
0.09,0,0,0,0
0.11,0,0,0,0
0.13,0,0,0,0
0.15,0,0,0,0
0.17,0,0,1,1
0.19,0,0,1,1
0.21,0,0,2,2
0.23,0,0,9,9
0.25,0,0,6,6
0.27,0,0,15,15
0.29,0,0,33,33
0.31,0,0,36,36
0.33,0,0,62,62
0.35,1,0,120,121
0.37,5,0,144,149
0.39,15,1,195,211
0.41,15,1,232,248
0.43,36,1,251,288
0.45,53,1,362,416
0.47,76,1,447,524
0.49,112,8,494,614
0.51,194,9,550,753
0.53,224,21,656,901
0.55,294,39,685,1018
0.57,402,69,666,1137
0.59,442,109,634,1185
0.61,594,198,626,1418
0.63,658,331,562,1551
0.65,730,408,507,1645
0.67,772,580,338,1690
0.69,807,756,282,1845
0.71,770,920,207,1897
0.73,687,1095,150,1932
0.75,581,1374,112,2067
0.77,455,1464,51,1970
0.79,365,1594,36,1995
0.81,269,1713,16,1998
0.83,202,1827,9,2038
0.85,140,1900,3,2043
0.87,89,1980,3,2072
0.89,78,1967,0,2045
0.91,46,2122,0,2168
0.93,30,2157,0,2187
0.95,29,2154,0,2183
0.97,13,1914,0,1927
0.99,19,1590,0,1609
