CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,194,0,1431,1625
0.03,247,0,1717,1964
0.05,216,0,1890,2106
0.07,230,0,1893,2123
0.09,247,0,1884,2131
0.11,258,0,1833,2091
0.13,229,0,1746,1975
0.15,260,0,1744,2004
0.17,298,0,1762,2060
0.19,273,0,1715,1988
0.21,317,0,1675,1992
0.23,325,0,1611,1936
0.25,365,0,1609,1974
0.27,378,1,1657,2036
0.29,433,0,1552,1985
0.31,477,1,1480,1958
0.33,518,2,1488,2008
0.35,531,7,1347,1885
0.37,617,14,1249,1880
0.39,662,18,1126,1806
0.41,751,48,1048,1847
0.43,796,66,952,1814
0.45,875,125,797,1797
0.47,905,169,676,1750
0.49,852,284,567,1703
0.51,898,361,425,1684
0.53,795,539,320,1654
0.55,721,710,206,1637
0.57,690,922,134,1746
0.59,526,1083,91,1700
0.61,467,1208,49,1724
0.63,398,1441,36,1875
0.65,283,1572,15,1870
0.67,181,1689,8,1878
0.69,174,1744,12,1930
0.71,118,1825,6,1949
0.73,88,1846,2,1936
0.75,61,1869,1,1931
0.77,44,1822,1,1867
0.79,30,1961,1,1992
0.81,23,2014,0,2037
0.83,17,2120,0,2137
0.85,10,2090,0,2100
0.87,9,2073,0,2082
0.89,4,2137,0,2141
0.91,4,2066,0,2070
0.93,3,2062,0,2065
0.95,2,2111,0,2113
0.97,3,1943,0,1946
0.99,0,1615,0,1615
