CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,200,0,1427,1627
0.03,230,0,1642,1872
0.05,261,0,1879,2140
0.07,238,0,1898,2136
0.09,270,0,1790,2060
0.11,282,0,1775,2057
0.13,279,0,1699,1978
0.15,248,0,1673,1921
0.17,332,0,1669,2001
0.19,294,0,1627,1921
0.21,362,0,1626,1988
0.23,353,0,1579,1932
0.25,368,0,1530,1898
0.27,417,0,1494,1911
0.29,471,0,1569,2040
0.31,436,0,1492,1928
0.33,534,0,1495,2029
0.35,583,1,1414,1998
0.37,575,4,1274,1853
0.39,689,10,1286,1985
0.41,761,21,1091,1873
0.43,797,34,913,1744
0.45,855,73,909,1837
0.47,861,130,690,1681
0.49,893,225,524,1642
0.51,798,352,376,1526
0.53,762,558,257,1577
0.55,612,760,169,1541
0.57,543,994,85,1622
0.59,397,1181,62,1640
0.61,302,1385,39,1726
0.63,197,1594,12,1803
0.65,168,1725,10,1903
0.67,115,1735,3,1853
0.69,67,1864,1,1932
0.71,45,1886,2,1933
0.73,22,1970,0,1992
0.75,12,1896,0,1908
0.77,7,1948,0,1955
0.79,9,2000,0,2009
0.81,6,1988,0,1994
0.83,5,1888,0,1893
0.85,0,2008,0,2008
0.87,0,1991,0,1991
0.89,0,2005,0,2005
0.91,0,2109,0,2109
0.93,1,2163,0,2164
0.95,0,2115,0,2115
0.97,0,1974,0,1974
0.99,0,1707,0,1707
