CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,1645,1645
0.03,0,0,2034,2034
0.05,0,0,2224,2224
0.07,0,0,2193,2193
0.09,0,0,2149,2149
0.11,0,0,2057,2057
0.13,0,0,2086,2086
0.15,0,0,2003,2003
0.17,0,0,2081,2081
0.19,0,0,2096,2096
0.21,0,0,1997,1997
0.23,0,0,2010,2010
0.25,1,0,1993,1994
0.27,6,0,1985,1991
0.29,11,0,1912,1923
0.31,27,0,1819,1846
0.33,49,2,1740,1791
0.35,94,8,1541,1643
0.37,170,18,1422,1610
0.39,230,45,1140,1415
0.41,320,102,968,1390
0.43,452,158,748,1358
0.45,498,327,532,1357
0.47,501,433,359,1293
0.49,527,663,198,1388
0.51,473,917,106,1496
0.53,359,1056,71,1486
0.55,297,1307,35,1639
0.57,252,1514,20,1786
0.59,174,1574,14,1762
0.61,138,1645,5,1788
0.63,92,1838,3,1933
0.65,61,1799,1,1861
0.67,33,1835,0,1868
0.69,37,1934,0,1971
0.71,38,1928,0,1966
0.73,26,1905,0,1931
0.75,12,1915,1,1928
0.77,7,2026,0,2033
0.79,1,2026,0,2027
0.81,4,1995,0,1999
0.83,4,2023,0,2027
0.85,1,1954,0,1955
0.87,1,2011,0,2012
0.89,1,1976,0,1977
0.91,0,2078,0,2078
0.93,0,2059,0,2059
0.95,0,2187,0,2187
0.97,0,1955,0,1955
0.99,0,1625,0,1625
