CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,Pop_size
0.01,0,0,1600,1600
0.03,0,0,1940,1940
0.05,0,0,2112,2112
0.07,0,0,2080,2080
0.09,0,0,2144,2144
0.11,0,0,2044,2044
0.13,0,0,1979,1979
0.15,0,0,1958,1958
0.17,0,0,1955,1955
0.19,0,0,1951,1951
0.21,4,1,1968,1973
0.23,6,0,1979,1985
0.25,12,0,1919,1931
0.27,32,6,1795,1833
0.29,58,14,1695,1767
0.31,91,37,1589,1717
0.33,172,107,1323,1602
0.35,219,159,1071,1449
0.37,275,315,760,1350
0.39,251,508,553,1312
0.41,234,753,329,1316
0.43,225,1002,174,1401
0.45,173,1208,99,1480
0.47,136,1434,57,1627
0.49,101,1580,23,1704
0.51,65,1743,6,1814
0.53,35,1805,3,1843
0.55,24,1879,4,1907
0.57,17,2044,0,2061
0.59,7,2000,0,2007
0.61,2,1969,0,1971
0.63,2,1877,0,1879
0.65,2,2024,0,2026
0.67,2,1997,0,1999
0.69,0,2022,0,2022
0.71,0,2037,0,2037
0.73,0,1938,0,1938
0.75,0,1983,0,1983
0.77,0,1996,0,1996
0.79,0,1986,0,1986
0.81,0,2040,0,2040
0.83,0,2040,0,2040
0.85,0,2070,0,2070
0.87,0,2066,0,2066
0.89,0,2013,0,2013
0.91,0,2141,0,2141
0.93,0,2157,0,2157
0.95,0,2190,0,2190
0.97,0,1953,0,1953
0.99,0,1678,0,1678
