CORE,Drive_Homozygotes,Drive_Heterozygotes,Wild_Homozygotes,Pop_size
0.01,0,0,0,0
0.03,2,0,0,2
0.05,7,0,0,7
0.07,8,0,0,8
0.09,12,0,0,12
0.11,26,0,0,26
0.13,27,0,0,27
0.15,34,1,0,35
0.17,46,6,0,52
0.19,47,7,0,54
0.21,81,6,0,87
0.23,98,6,0,104
0.25,147,18,0,165
0.27,168,23,0,191
0.29,246,47,2,295
0.31,299,62,0,361
0.33,337,123,8,468
0.35,374,145,9,528
0.37,458,240,22,720
0.39,416,280,41,737
0.41,460,369,55,884
0.43,451,444,104,999
0.45,459,526,140,1125
0.47,448,648,219,1315
0.49,394,674,287,1355
0.51,324,730,399,1453
0.53,267,756,500,1523
0.55,222,742,668,1632
0.57,180,720,785,1685
0.59,141,693,1016,1850
0.61,99,583,1116,1798
0.63,58,555,1223,1836
0.65,49,452,1402,1903
0.67,33,393,1433,1859
0.69,19,325,1595,1939
0.71,4,233,1681,1918
0.73,2,187,1689,1878
0.75,3,144,1771,1918
0.77,1,101,1803,1905
0.79,0,86,1992,2078
0.81,1,51,1993,2045
0.83,0,47,1982,2029
0.85,0,24,1978,2002
0.87,0,15,1939,1954
0.89,0,14,2048,2062
0.91,0,11,2082,2093
0.93,0,7,2161,2168
0.95,0,5,2223,2228
0.97,0,5,2023,2028
0.99,0,1,1628,1629
