CORE,Drive_Males,Wild_Homozygotes,Pop_size
0.01,0,0,0
0.03,1,0,1
0.05,3,0,3
0.07,5,0,5
0.09,10,0,10
0.11,11,2,13
0.13,18,1,19
0.15,35,1,36
0.17,43,3,46
0.19,67,3,70
0.21,84,5,89
0.23,129,7,136
0.25,155,8,163
0.27,177,23,200
0.29,230,25,255
0.31,267,39,306
0.33,345,84,429
0.35,414,123,537
0.37,415,148,563
0.39,497,211,708
0.41,552,265,817
0.43,564,365,929
0.45,638,452,1090
0.47,601,522,1123
0.49,645,621,1266
0.51,616,814,1430
0.53,520,947,1467
0.55,449,1027,1476
0.57,422,1240,1662
0.59,385,1377,1762
0.61,292,1507,1799
0.63,228,1636,1864
0.65,152,1750,1902
0.67,110,1830,1940
0.69,93,1894,1987
0.71,59,1869,1928
0.73,27,1934,1961
0.75,21,2007,2028
0.77,18,1956,1974
0.79,6,2016,2022
0.81,4,2068,2072
0.83,6,1963,1969
0.85,2,2087,2089
0.87,0,2041,2041
0.89,0,2101,2101
0.91,1,2146,2147
0.93,0,2134,2134
0.95,0,2229,2229
0.97,0,1987,1987
0.99,0,1593,1593
