CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,R2_Heterozygotes,Pop_size
0.01,0,0,1666,0,1666
0.03,0,0,1984,0,1984
0.05,0,0,2250,0,2250
0.07,0,0,2169,0,2169
0.09,0,0,2018,0,2018
0.11,0,0,2120,0,2120
0.13,0,0,2028,0,2028
0.15,0,0,2033,0,2033
0.17,0,0,2000,0,2000
0.19,0,0,2075,0,2075
0.21,0,0,1946,0,1946
0.23,0,0,2045,0,2045
0.25,0,0,2089,0,2089
0.27,1,0,1998,0,1999
0.29,4,0,1988,0,1992
0.31,8,0,2015,0,2023
0.33,12,0,1944,1,1957
0.35,42,2,1931,1,1976
0.37,57,2,1827,14,1900
0.39,102,11,1593,15,1721
0.41,148,10,1384,44,1586
0.43,222,39,1154,74,1489
0.45,301,70,1040,126,1537
0.47,356,139,811,191,1497
0.49,430,206,548,281,1465
0.51,434,331,304,349,1418
0.53,409,457,222,407,1495
0.55,379,576,120,472,1547
0.57,329,763,75,510,1677
0.59,225,917,45,537,1724
0.61,185,1005,15,561,1766
0.63,159,1136,13,504,1812
0.65,101,1324,3,532,1960
0.67,87,1293,3,481,1864
0.69,75,1418,2,394,1889
0.71,49,1508,0,391,1948
0.73,34,1502,0,339,1875
0.75,35,1559,1,327,1922
0.77,24,1600,1,295,1920
0.79,23,1721,0,286,2030
0.81,14,1716,0,256,1986
0.83,15,1678,0,239,1932
0.85,6,1725,0,225,1956
0.87,10,1821,0,212,2043
0.89,8,1865,0,210,2083
0.91,4,1924,0,157,2085
0.93,12,1939,0,164,2115
0.95,7,1961,0,180,2148
0.97,12,1811,0,179,2002
0.99,1,1533,0,129,1663
