CORE,Drive_Heterozygotes,Wild_Homozygotes,Drive_Homozygotes,R2_Heterozygotes,Pop_size
0.01,158,0,1399,0,1557
0.03,201,0,1766,0,1967
0.05,243,0,1932,0,2175
0.07,242,0,1894,0,2136
0.09,240,0,1851,0,2091
0.11,236,0,1805,0,2041
0.13,246,0,1853,0,2099
0.15,238,0,1695,0,1933
0.17,256,0,1725,0,1981
0.19,281,0,1745,0,2026
0.21,292,0,1651,0,1943
0.23,303,0,1687,0,1990
0.25,336,0,1653,0,1989
0.27,355,0,1573,0,1928
0.29,365,0,1601,0,1966
0.31,415,0,1498,0,1913
0.33,440,0,1423,0,1863
0.35,515,0,1449,0,1964
0.37,599,0,1333,2,1934
0.39,621,6,1221,5,1853
0.41,640,1,1145,13,1799
0.43,784,5,1067,24,1880
0.45,796,17,956,40,1809
0.47,828,48,753,71,1700
0.49,875,73,594,96,1638
0.51,849,165,510,149,1673
0.53,844,244,355,235,1678
0.55,797,343,284,261,1685
0.57,743,530,180,322,1775
0.59,624,617,98,339,1678
0.61,502,852,65,358,1777
0.63,397,1082,42,360,1881
0.65,318,1221,23,369,1931
0.67,188,1333,10,279,1810
0.69,166,1515,3,244,1928
0.71,126,1549,4,223,1902
0.73,72,1673,1,186,1932
0.75,58,1777,0,162,1997
0.77,40,1878,0,119,2037
0.79,30,1926,0,89,2045
0.81,9,1903,0,72,1984
0.83,7,1983,0,43,2033
0.85,6,1986,0,31,2023
0.87,3,2008,0,18,2029
0.89,2,2075,0,15,2092
0.91,1,2130,0,21,2152
0.93,3,2145,0,7,2155
0.95,0,2130,0,7,2137
0.97,1,1956,0,6,1963
0.99,0,1647,0,2,1649
