CORE,Drive_Heterozygotes,Wild_Homozygotes,Pop_size
0.01,1627,0,1627
0.03,2033,0,2033
0.05,2169,0,2169
0.07,2127,0,2127
0.09,2168,0,2168
0.11,2079,0,2079
0.13,2065,0,2065
0.15,1998,0,1998
0.17,2014,0,2014
0.19,2040,0,2040
0.21,2019,0,2019
0.23,2029,0,2029
0.25,1997,0,1997
0.27,2004,0,2004
0.29,1980,2,1982
0.31,1904,5,1909
0.33,1872,5,1877
0.35,1836,31,1867
0.37,1759,49,1808
0.39,1541,89,1630
0.41,1375,164,1539
0.43,1213,349,1562
0.45,982,498,1480
0.47,862,735,1597
0.49,595,907,1502
0.51,498,1151,1649
0.53,319,1366,1685
0.55,226,1552,1778
0.57,155,1713,1868
0.59,97,1820,1917
0.61,63,1886,1949
0.63,53,1952,2005
0.65,32,1939,1971
0.67,26,1952,1978
0.69,12,1917,1929
0.71,5,2032,2037
0.73,3,1971,1974
0.75,2,2059,2061
0.77,6,2002,2008
0.79,4,2003,2007
0.81,2,1999,2001
0.83,0,1992,1992
0.85,1,1963,1964
0.87,0,2071,2071
0.89,0,2093,2093
0.91,0,2069,2069
0.93,0,2151,2151
0.95,0,2243,2243
0.97,0,1988,1988
0.99,0,1665,1665
