CORE,Females_Drive_Homozygotes,Females_Drive_Heterozygotes,Males_Drive,Wild_Homozygotes,Pop_size
0.01,837,0,834,0,1671
0.03,1025,0,990,0,2015
0.05,1118,0,1046,0,2164
0.07,1063,0,1085,0,2148
0.09,1102,0,991,0,2093
0.11,1093,0,1030,0,2123
0.13,1006,0,1011,0,2017
0.15,1039,0,1038,0,2077
0.17,1038,1,997,0,2036
0.19,1006,1,1025,0,2032
0.21,964,6,983,0,1953
0.23,955,7,1002,1,1965
0.25,963,8,1003,1,1975
0.27,931,11,1044,2,1988
0.29,941,21,1000,5,1967
0.31,905,42,990,5,1942
0.33,942,59,958,17,1976
0.35,993,99,894,28,2014
0.37,852,126,946,53,1977
0.39,797,185,939,68,1989
0.41,726,243,861,126,1956
0.43,649,289,885,182,2005
0.45,542,357,837,263,1999
0.47,475,403,745,371,1994
0.49,424,452,705,497,2078
0.51,339,457,607,644,2047
0.53,208,467,555,838,2068
0.55,200,460,459,976,2095
0.57,141,437,330,1140,2048
0.59,83,343,326,1232,1984
0.61,39,327,249,1347,1962
0.63,27,223,195,1574,2019
0.65,27,182,129,1634,1972
0.67,8,154,92,1765,2019
0.69,5,98,84,1786,1973
0.71,5,84,56,1833,1978
0.73,2,57,33,1930,2022
0.75,0,49,31,1951,2031
0.77,0,31,18,1915,1964
0.79,0,26,11,2021,2058
0.81,0,11,5,1986,2002
0.83,0,8,3,2004,2015
0.85,0,6,3,1960,1969
0.87,0,4,3,2006,2013
0.89,0,5,0,2081,2086
0.91,0,1,0,2137,2138
0.93,0,1,0,2244,2245
0.95,0,0,0,2112,2112
0.97,0,0,0,2016,2016
0.99,0,0,0,1698,1698
