CORE,Drive_Males,Wild_Homozygotes,Pop_size
0.01,7,0,7
0.03,8,0,8
0.05,13,0,13
0.07,8,0,8
0.09,20,0,20
0.11,25,0,25
0.13,32,0,32
0.15,29,1,30
0.17,57,3,60
0.19,59,5,64
0.21,94,10,104
0.23,100,17,117
0.25,143,14,157
0.27,178,21,199
0.29,200,38,238
0.31,233,60,293
0.33,313,64,377
0.35,367,91,458
0.37,446,128,574
0.39,455,157,612
0.41,522,225,747
0.43,506,280,786
0.45,527,422,949
0.47,573,483,1056
0.49,633,547,1180
0.51,555,721,1276
0.53,547,807,1354
0.55,530,1002,1532
0.57,432,1211,1643
0.59,385,1335,1720
0.61,343,1437,1780
0.63,228,1590,1818
0.65,193,1738,1931
0.67,160,1782,1942
0.69,111,1846,1957
0.71,80,1873,1953
0.73,48,1942,1990
0.75,33,1924,1957
0.77,21,1984,2005
0.79,16,1980,1996
0.81,7,1969,1976
0.83,3,2000,2003
0.85,2,2019,2021
0.87,3,2028,2031
0.89,0,2058,2058
0.91,1,2139,2140
0.93,0,2160,2160
0.95,0,2238,2238
0.97,0,1941,1941
0.99,0,1689,1689
