CORE,Drive_homo_females,One_drive_females,One_drive_males,Wild_R2_females,Wild_males,Wild_females,Pop_size
0.01,776,0,783,0,0,0,1559
0.03,973,0,938,0,0,0,1911
0.05,1050,0,1135,0,0,0,2185
0.07,1086,0,1071,0,0,0,2157
0.09,1049,0,1063,0,0,0,2112
0.11,1029,0,1028,0,0,0,2057
0.13,983,0,1037,0,0,0,2020
0.15,1002,0,940,0,0,0,1942
0.17,1013,2,1010,0,0,0,2025
0.19,1005,3,1012,0,0,0,2020
0.21,993,7,1017,0,0,0,2017
0.23,968,6,1081,0,0,0,2055
0.25,1032,14,998,0,0,0,2044
0.27,990,15,1023,0,0,0,2028
0.29,1066,24,1018,0,0,0,2108
0.31,1014,30,949,0,0,0,1993
0.33,1020,43,1006,0,1,0,2070
0.35,992,56,974,0,5,0,2027
0.37,927,62,986,0,2,1,1978
0.39,867,133,884,0,12,1,1897
0.41,875,152,962,0,15,1,2005
0.43,743,224,870,0,33,7,1877
0.45,716,263,754,0,52,12,1797
0.47,606,336,696,0,91,24,1753
0.49,500,345,670,0,158,58,1731
0.51,396,416,586,0,218,87,1703
0.53,276,409,455,0,284,154,1578
0.55,207,430,388,0,406,247,1678
0.57,130,386,300,0,425,335,1576
0.59,103,302,244,0,568,416,1633
0.61,36,275,160,0,623,522,1616
0.63,27,181,153,0,725,577,1663
0.65,10,154,89,0,750,730,1733
0.67,6,140,61,0,828,738,1773
0.69,4,80,45,0,890,813,1832
0.71,1,77,29,0,978,901,1986
0.73,2,51,20,0,934,909,1916
0.75,0,34,13,0,951,969,1967
0.77,0,16,11,0,936,968,1931
0.79,0,17,7,0,970,983,1977
0.81,0,12,1,0,951,1033,1997
0.83,0,8,2,0,1010,973,1993
0.85,0,9,4,0,988,1007,2008
0.87,0,1,1,0,1043,986,2031
0.89,0,1,2,0,1006,1030,2039
0.91,0,1,1,0,1128,1085,2215
0.93,0,1,2,0,1079,1137,2219
0.95,0,1,0,0,1075,1076,2152
0.97,0,0,0,0,1018,1001,2019
0.99,0,0,0,0,762,836,1598
