CORE,Wild_Homozygotes,Males_Drive,Females_Drive_Heterozygotes,Females_Drive_Homozygotes,Pop_size
0.01,28,172,411,2832,3443
0.03,23,192,503,3456,4174
0.05,33,201,480,3741,4455
0.07,30,202,522,3737,4491
0.09,39,198,580,3532,4349
0.11,27,215,557,3417,4216
0.13,47,233,529,3279,4088
0.15,48,220,597,3115,3980
0.17,67,219,730,3065,4081
0.19,101,275,684,2948,4008
0.21,88,261,720,2724,3793
0.23,108,290,728,2664,3790
0.25,134,313,776,2559,3782
0.27,147,341,889,2397,3774
0.29,189,368,906,2229,3692
0.31,242,397,926,2110,3675
0.33,238,390,977,1975,3580
0.35,347,406,1015,1752,3520
0.37,389,400,1072,1566,3427
0.39,441,393,1119,1420,3373
0.41,555,467,1087,1205,3314
0.43,570,433,1054,1060,3117
0.45,670,437,1030,934,3071
0.47,786,406,984,838,3014
0.49,878,396,1024,661,2959
0.51,945,382,955,543,2825
0.53,1082,361,868,438,2749
0.55,1152,322,821,352,2647
0.57,1212,325,728,268,2533
0.59,1359,263,677,173,2472
0.61,1390,216,590,122,2318
0.63,1507,206,508,95,2316
0.65,1538,156,449,71,2214
0.67,1686,117,388,46,2237
0.69,1752,138,309,35,2234
0.71,1699,92,266,19,2076
0.73,1767,66,219,15,2067
0.75,1872,56,151,9,2088
0.77,1827,54,145,7,2033
0.79,1910,35,116,7,2068
0.81,1877,26,88,2,1993
0.83,1941,21,60,0,2022
0.85,1963,15,47,2,2027
0.87,2063,7,48,0,2118
0.89,2012,7,36,0,2055
0.91,2109,9,21,1,2140
0.93,2222,3,12,0,2237
0.95,2157,6,11,0,2174
0.97,1888,2,7,0,1897
0.99,1643,4,11,0,1658
