original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.21,0.947625,0.23,0.877415,0.37,0.126403,0.39,0.073197,0.22356644352656316,0.37992482050896514,0.156358376982402
1,2,0.23,0.916616,0.25,0.864725,0.37,0.156442,0.39,0.0991041,0.23640419340540747,0.3896875016350442,0.1532833082296367
1,3,0.23,0.93593,0.25,0.874218,0.39,0.114486,0.41,0.0833333,0.24164441275602802,0.39929999646900594,0.15765558371297791
1,4,0.25,0.918901,0.27,0.848711,0.41,0.110433,0.43,0.0578831,0.25538566747399916,0.41397070213263965,0.1585850346586405
1,5,0.25,0.947402,0.27,0.880026,0.41,0.126852,0.43,0.0779661,0.26407088577535026,0.4209855807093661,0.15691469493401583
1,6,0.27,0.915297,0.29,0.862259,0.43,0.100785,0.45,0.0637088,0.27576831705569593,0.4304234522415997,0.1546551351859038
1,7,0.27,0.957685,0.29,0.899123,0.43,0.124235,0.45,0.0811611,0.2897004883712988,0.4412527539879138,0.151552265616615
1,8,0.29,0.921894,0.31,0.876033,0.43,0.157402,0.45,0.0895608,0.2995479819454438,0.4469224600979935,0.14737447815254973
1,9,0.29,0.946956,0.31,0.898795,0.45,0.136497,0.47,0.0893983,0.30949959510807495,0.4654980923040339,0.15599849719595893
1,10,0.31,0.934375,0.33,0.847588,0.47,0.114075,0.49,0.0543888,0.3179216933411686,0.47471633308872063,0.15679463974755203
1,11,0.33,0.910916,0.35,0.816539,0.47,0.149123,0.49,0.0953462,0.33231327548025474,0.48826921646509275,0.155955940984838
1,12,0.33,0.934236,0.35,0.873294,0.49,0.112613,0.51,0.0847458,0.3412356010633061,0.4990522190962852,0.15781661803297914
1,13,0.35,0.906189,0.37,0.830739,0.49,0.145075,0.51,0.0911633,0.35164055666003974,0.5067217876639023,0.15508123100386256
1,14,0.35,0.937424,0.37,0.888149,0.51,0.101863,0.53,0.0662584,0.36518985286656513,0.5110464939923494,0.14585664112578423
1,15,0.37,0.912451,0.39,0.859008,0.53,0.102578,0.55,0.0537459,0.37465954381303446,0.5310558628443176,0.15639631903128315
1,16,0.39,0.903638,0.41,0.805537,0.53,0.12305,0.55,0.0658784,0.3907416845903712,0.538063444087624,0.1473217594972528
1,17,0.39,0.914392,0.41,0.86048,0.53,0.163529,0.55,0.0825379,0.39533907107879507,0.5456878965713516,0.15034882549255657
1,18,0.39,0.948174,0.41,0.896087,0.55,0.13306,0.57,0.0756014,0.40849751377503024,0.56150741577414,0.15300990199910974
1,19,0.41,0.927238,0.43,0.856,0.57,0.103241,0.59,0.0541455,0.41764704230888006,0.5713202839364095,0.1536732416275295
1,20,0.43,0.904315,0.45,0.817289,0.57,0.133487,0.59,0.0776004,0.4309916576655252,0.5819839102754506,0.15099225260992538
1,21,0.43,0.921103,0.45,0.86148,0.57,0.168742,0.59,0.0971429,0.4370788118679033,0.5892019173425364,0.15212310547463304
1,22,0.45,0.917073,0.47,0.860401,0.59,0.145294,0.61,0.094564,0.4560251976284585,0.6078568894145475,0.15183169178608902
1,23,0.45,0.941832,0.47,0.863548,0.61,0.110056,0.63,0.0715048,0.4606872413264524,0.6152169582269812,0.1545297169005288
1,24,0.47,0.905921,0.49,0.814588,0.61,0.136817,0.63,0.095452,0.47129657407508785,0.6278010395261695,0.15650446545108165
1,25,0.47,0.934447,0.49,0.886706,0.63,0.114548,0.65,0.0682314,0.4844307827653379,0.6362819809744239,0.151851198209086
1,26,0.49,0.914304,0.51,0.85686,0.65,0.104751,0.67,0.0666297,0.4949801545853353,0.6524925697707057,0.1575124151853704
1,27,0.49,0.935995,0.51,0.874919,0.65,0.114865,0.67,0.0810965,0.5017869539590019,0.6588040629580822,0.1570171089990804
1,28,0.51,0.909207,0.53,0.858847,0.65,0.143113,0.67,0.0853107,0.5136564733915806,0.6649173994806435,0.15126092608906294
1,29,0.51,0.935464,0.53,0.88629,0.67,0.135795,0.69,0.0676558,0.5244238825395534,0.6805064338882758,0.1560825513487224
1,30,0.53,0.918971,0.55,0.851997,0.69,0.100177,0.71,0.0634744,0.5356651835040463,0.6900964509326314,0.15443126742858504
1,31,0.53,0.949111,0.55,0.898055,0.69,0.122532,0.71,0.0834803,0.5492380915073645,0.701539574461547,0.15230148295418255
1,32,0.55,0.921348,0.57,0.865895,0.71,0.10474,0.73,0.0604703,0.5576994932645664,0.7121414195262222,0.15444192626165587
1,33,0.55,0.946301,0.57,0.873897,0.71,0.134884,0.73,0.0899382,0.5627896248826032,0.7255226962252312,0.16273307134262804
1,34,0.57,0.923628,0.59,0.865039,0.73,0.116482,0.75,0.0687602,0.5780656778576183,0.7369075349211471,0.15884185706352882
1,35,0.59,0.901535,0.61,0.828609,0.73,0.142696,0.75,0.0901456,0.5904209746866687,0.7462495432955791,0.15582856860891048
1,36,0.59,0.931969,0.61,0.873541,0.75,0.118577,0.77,0.0624648,0.600943041007736,0.7566213764564569,0.1556783354487209
1,37,0.61,0.913147,0.63,0.83687,0.75,0.142186,0.77,0.0884762,0.613447172804384,0.7657088650488365,0.15226169224445252
1,38,0.61,0.948637,0.63,0.868334,0.77,0.119325,0.79,0.0687433,0.6221133706088191,0.7776411034030094,0.1555277327941903
1,39,0.63,0.916129,0.65,0.838356,0.77,0.163848,0.79,0.0937672,0.6341477119308757,0.7882212531820413,0.15407354125116557
1,40,0.63,0.931164,0.65,0.898215,0.79,0.122979,0.81,0.0636979,0.6489165073295092,0.7977525551988746,0.14883604786936533
1,41,0.65,0.910807,0.67,0.848723,0.81,0.100671,0.83,0.0564471,0.6534814122801366,0.810303455823661,0.15682204354352447
1,42,0.65,0.930104,0.67,0.891766,0.81,0.105719,0.83,0.0688326,0.6657045229276436,0.8131008718660536,0.14739634893841003
1,43,0.67,0.920971,0.69,0.854278,0.81,0.166356,0.83,0.0910673,0.6762888159177125,0.82762708082355,0.15133826490583746
1,44,0.67,0.946626,0.69,0.878396,0.83,0.12593,0.85,0.0801282,0.6836673017734135,0.8413226991078953,0.15765539733448175
1,45,0.69,0.937657,0.71,0.866797,0.85,0.102793,0.87,0.0569892,0.7006285633643804,0.8512195494696946,0.15059098610531418
1,46,0.71,0.900123,0.73,0.808773,0.85,0.123878,0.87,0.0864721,0.7100269293924466,0.8627669699165105,0.15274004052406387
2,1,0.21,0.909502,0.23,0.834518,0.35,0.135714,0.37,0.094533,0.21253440734023257,0.36734489206187315,0.15481048472164058
2,2,0.21,0.95,0.23,0.884472,0.37,0.121653,0.39,0.0627081,0.22526065193505065,0.3773468612212422,0.15208620928619157
2,3,0.23,0.925325,0.25,0.848524,0.37,0.153987,0.39,0.089275,0.23659496621137746,0.38668531338855233,0.15009034717717487
2,4,0.23,0.937618,0.25,0.885753,0.39,0.116252,0.41,0.0739278,0.24450612166200714,0.39767976713086134,0.1531736454688542
2,5,0.25,0.91151,0.27,0.850968,0.41,0.107447,0.43,0.0489068,0.2538023190512372,0.4125442345601826,0.1587419155089454
2,6,0.25,0.943299,0.27,0.885897,0.41,0.1207,0.43,0.0870298,0.2650862339291314,0.42229573925904806,0.15720950532991668
2,7,0.27,0.916342,0.29,0.834078,0.41,0.164072,0.43,0.0986159,0.2739730623358942,0.42957709059965377,0.15560402826375958
2,8,0.27,0.942857,0.29,0.894737,0.43,0.113049,0.45,0.079865,0.28781255195344974,0.4378646335583414,0.15005208160489164
2,9,0.29,0.923792,0.31,0.869121,0.43,0.167398,0.45,0.0985673,0.2987037003164383,0.4495837032022048,0.15088000288576653
2,10,0.31,0.910604,0.33,0.825217,0.45,0.130011,0.47,0.0711009,0.31248375045381616,0.4601887452236543,0.14770499476983817
2,11,0.31,0.927025,0.33,0.875658,0.47,0.101252,0.49,0.0532319,0.3205223197772889,0.4705214483101867,0.14999912853289782
2,12,0.31,0.940843,0.33,0.89867,0.47,0.130277,0.49,0.0874107,0.3293692646954212,0.4841262483582674,0.15475698366284618
2,13,0.33,0.933293,0.35,0.870701,0.49,0.118161,0.51,0.0752864,0.3406381007157464,0.4984716825346475,0.15783358181890111
2,14,0.35,0.910644,0.37,0.827935,0.49,0.137418,0.51,0.0932494,0.3525738432335054,0.5069432583328428,0.15436941509933744
2,15,0.35,0.91315,0.37,0.878543,0.51,0.11525,0.53,0.0625359,0.35759961857427686,0.5157859282431076,0.1581863096688308
2,16,0.37,0.907383,0.39,0.823963,0.51,0.137703,0.53,0.0922809,0.3717700791177176,0.5266011699150854,0.15483109079736784
2,17,0.37,0.925199,0.39,0.862361,0.53,0.114708,0.55,0.074136,0.37802030618415605,0.5372503204180223,0.1592300142338663
2,18,0.39,0.912899,0.41,0.818182,0.55,0.101993,0.57,0.0639955,0.3927236926845234,0.5510490163826568,0.1583253236981334
2,19,0.39,0.927616,0.41,0.889308,0.55,0.112922,0.57,0.0707414,0.40441787616163727,0.556126987287995,0.15170911112635777
2,20,0.41,0.914982,0.43,0.854463,0.57,0.103779,0.59,0.0551268,0.4149511723590938,0.5715534754851784,0.15660230312608464
