original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.952739,0.21,0.898965,0.35,0.134097,0.37,0.0724796,0.20961505560307955,0.3610673283845147,0.15145227278143517
1,2,0.21,0.934848,0.23,0.871287,0.37,0.102253,0.39,0.0522023,0.2209652145183367,0.3709002871088716,0.14993507259053487
1,3,0.21,0.941142,0.23,0.880876,0.37,0.120625,0.39,0.0724796,0.22365346961802673,0.3785677967157818,0.15491432709775504
1,4,0.23,0.90172,0.25,0.845735,0.37,0.130804,0.39,0.0808081,0.23061445029918728,0.38232261045405724,0.15170816015486996
1,5,0.23,0.924686,0.25,0.88275,0.37,0.174841,0.39,0.0970556,0.24177317817626862,0.3892429427630378,0.14746976458676916
1,6,0.23,0.933874,0.25,0.885914,0.39,0.115642,0.41,0.0682575,0.24412593828190157,0.3966021589338286,0.15247622065192704
1,7,0.23,0.957072,0.25,0.897146,0.39,0.142435,0.41,0.0876344,0.2490474919066849,0.40548705671105795,0.15643956480437304
1,8,0.25,0.913253,0.27,0.843175,0.41,0.104848,0.43,0.0593632,0.2537823568024202,0.41213170113972136,0.1583493443373012
1,9,0.25,0.939655,0.27,0.878969,0.41,0.115319,0.43,0.0703297,0.2630689121049336,0.4168100637262638,0.15374115162133017
1,10,0.27,0.908867,0.29,0.841015,0.41,0.120397,0.43,0.0796767,0.27261362966456404,0.4200180990808024,0.14740446941623836
1,11,0.27,0.927133,0.29,0.868437,0.43,0.108018,0.45,0.0676329,0.2792452637317705,0.43397077139836227,0.15472550766659177
1,12,0.27,0.940447,0.29,0.881875,0.43,0.124427,0.45,0.0708578,0.28381103598989277,0.4391197927167103,0.15530875672681754
1,13,0.29,0.911098,0.31,0.835346,0.43,0.151018,0.45,0.0891967,0.29293008765445133,0.44650499099824814,0.1535749033437968
1,14,0.29,0.933212,0.31,0.860317,0.45,0.120392,0.47,0.0720207,0.2991122847931957,0.45843144591937784,0.15931916112618216
1,15,0.29,0.940774,0.31,0.874324,0.45,0.136691,0.47,0.0851184,0.30227208427389013,0.4642288734715721,0.16195678919768197
1,16,0.31,0.907362,0.33,0.857522,0.47,0.103468,0.49,0.0630679,0.312954253611557,0.47171682743359544,0.15876257382203846
1,17,0.31,0.930636,0.33,0.863578,0.47,0.106982,0.49,0.0630531,0.31913716484237525,0.47317877297177935,0.1540416081294041
1,18,0.31,0.949052,0.33,0.899809,0.47,0.119535,0.49,0.0746606,0.32992242552240925,0.4787065230955734,0.14878409757316413
1,19,0.33,0.927665,0.35,0.857605,0.47,0.147974,0.49,0.0871586,0.33789751641450183,0.4857769249236213,0.14787940850911946
1,20,0.33,0.933177,0.35,0.878003,0.49,0.100975,0.51,0.0444691,0.3420263167433936,0.49034509670671556,0.14831877996332193
1,21,0.35,0.900242,0.37,0.828736,0.49,0.117783,0.51,0.0626386,0.35006768662769555,0.49644961229064055,0.146381925662945
1,22,0.35,0.920191,0.37,0.846106,0.49,0.150751,0.51,0.0718768,0.3554507660120132,0.5028688468472581,0.14741808083524488
1,23,0.35,0.935644,0.37,0.882542,0.51,0.109613,0.53,0.0613699,0.3634247297653572,0.5139852331214205,0.1505605033560633
1,24,0.37,0.900369,0.39,0.809305,0.51,0.119954,0.53,0.0721181,0.37008104190459457,0.51834268823206,0.1482616463274654
1,25,0.37,0.903461,0.39,0.846202,0.51,0.142692,0.53,0.0965104,0.37120889292512965,0.5284887487657423,0.1572798558406126
1,26,0.37,0.940191,0.39,0.882058,0.53,0.109033,0.55,0.0690608,0.38382725818381985,0.5345196411505997,0.15069238296677984
1,27,0.37,0.944509,0.39,0.890453,0.53,0.127262,0.55,0.0707182,0.3864677371614622,0.5396427901909671,0.15317505302950485
1,28,0.39,0.918887,0.41,0.836923,0.53,0.143097,0.55,0.0825588,0.3946086086574594,0.5442379522351177,0.14962934357765834
1,29,0.39,0.926103,0.41,0.880152,0.55,0.109552,0.57,0.057496,0.4013612326173533,0.5536698939603504,0.1523086613429971
1,30,0.41,0.906462,0.43,0.826886,0.55,0.117514,0.57,0.0841173,0.41162410777118724,0.5604884614348125,0.14886435366362522
1,31,0.41,0.909942,0.43,0.834771,0.55,0.155265,0.57,0.0937847,0.4126451690146466,0.5679781165674208,0.15533294755277421
1,32,0.41,0.935866,0.43,0.866171,0.55,0.146281,0.57,0.0960978,0.4202922734772939,0.5684448181861659,0.14815254470887196
1,33,0.41,0.956335,0.43,0.891608,0.57,0.118789,0.59,0.0687151,0.42740695536638496,0.5775045083366783,0.15009755297029337
1,34,0.43,0.919829,0.45,0.838411,0.57,0.138138,0.59,0.0944323,0.4348709130659068,0.5874521858704929,0.15258127280458605
1,35,0.43,0.923173,0.45,0.869949,0.59,0.111235,0.61,0.06914,0.4387077258379678,0.5953379261194915,0.15663020028152375
1,36,0.45,0.901038,0.47,0.814,0.59,0.12704,0.61,0.0734305,0.4502385165100301,0.6000877642955073,0.14984924778547715
1,37,0.45,0.917507,0.47,0.833118,0.59,0.145507,0.61,0.0884097,0.454149118961002,0.6059401582911976,0.1517910393301956
1,38,0.45,0.93026,0.47,0.876687,0.61,0.117057,0.63,0.0646766,0.46129673529576465,0.6165127414070912,0.15521600611132658
1,39,0.45,0.94593,0.47,0.894934,0.61,0.141765,0.63,0.0789619,0.46801317750411797,0.6233002988705971,0.15528712136647915
1,40,0.47,0.923628,0.49,0.837738,0.61,0.149033,0.63,0.0841823,0.4755019210618232,0.6251218105587141,0.14961988949689087
1,41,0.47,0.929762,0.49,0.858025,0.63,0.103708,0.65,0.0636833,0.4782975312600192,0.6318528558615055,0.1535553246014863
1,42,0.47,0.933946,0.49,0.887805,0.63,0.126887,0.65,0.0741774,0.4847140287379987,0.6402019366491114,0.15548790791111272
1,43,0.49,0.922604,0.51,0.847595,0.63,0.151057,0.65,0.0875497,0.49602701009212224,0.6460790964188369,0.15005208632671463
1,44,0.49,0.933062,0.51,0.866543,0.65,0.119235,0.67,0.0655914,0.49994061846991084,0.65717140534938,0.15723078687946918
1,45,0.49,0.942249,0.51,0.899937,0.65,0.137647,0.67,0.0676734,0.5099702212138401,0.6607603439011285,0.15079012268728842
1,46,0.51,0.923216,0.53,0.860815,0.67,0.104773,0.69,0.0592798,0.5174409063957308,0.6720983355754266,0.15465742917969583
1,47,0.51,0.929214,0.53,0.882855,0.67,0.116704,0.69,0.0701657,0.5226033779848573,0.6771786034298631,0.1545752254450058
1,48,0.51,0.94879,0.53,0.891608,0.67,0.152562,0.69,0.0921425,0.5270648106047358,0.6873990185287863,0.1603342079240505
1,49,0.53,0.934873,0.55,0.855019,0.67,0.166958,0.69,0.0970107,0.5387341898965612,0.6891452707967284,0.1504110809001672
1,50,0.53,0.945566,0.55,0.89,0.69,0.123016,0.71,0.0659091,0.5464006766727856,0.698060672177968,0.1516599955051824
1,51,0.55,0.910588,0.57,0.846351,0.69,0.134132,0.71,0.0857614,0.5532965424910877,0.7041127048248316,0.15081616233374384
1,52,0.55,0.920376,0.57,0.876433,0.71,0.105895,0.73,0.0631929,0.5592738320096489,0.7127609883354682,0.15348715632581933
1,53,0.55,0.933333,0.57,0.883023,0.71,0.109357,0.73,0.0713514,0.5632510435301133,0.7149240111983497,0.15167296766823635
1,54,0.57,0.906509,0.59,0.83746,0.71,0.135476,0.73,0.087739,0.5718853278106851,0.7248631040911662,0.15297777628048104
1,55,0.57,0.921205,0.59,0.8675,0.71,0.161927,0.73,0.0951567,0.5778968438692859,0.7285492651672973,0.15065242129801149
1,56,0.57,0.946777,0.59,0.885436,0.73,0.130792,0.75,0.072973,0.5852514631323258,0.7406511700306128,0.15539970689828697
1,57,0.57,0.94777,0.59,0.896215,0.73,0.125075,0.75,0.097177,0.5885316652119096,0.7479761990106818,0.15944453379877221
1,58,0.59,0.91958,0.61,0.872696,0.75,0.104724,0.77,0.0584246,0.598352529647641,0.7520406311960847,0.1536881015484437
1,59,0.59,0.934517,0.61,0.878941,0.75,0.118694,0.77,0.0656814,0.6024215488700158,0.7570526629518265,0.15463111408181074
1,60,0.61,0.9131,0.63,0.831938,0.75,0.137232,0.77,0.0785597,0.6132281116778788,0.7626915085994583,0.1494633969215795
1,61,0.61,0.926479,0.63,0.847066,0.77,0.103692,0.79,0.0594424,0.6166686814501404,0.771668715649407,0.15500003419926656
1,62,0.61,0.929204,0.63,0.87851,0.77,0.114872,0.79,0.0831956,0.6215216790941729,0.7793899559293355,0.15786827683516258
1,63,0.63,0.909147,0.65,0.850746,0.77,0.150232,0.79,0.0705623,0.6331324806082088,0.782610063800918,0.1494775831927092
1,64,0.63,0.931944,0.65,0.854742,0.79,0.108782,0.81,0.058438,0.6382754332789305,0.7934887970761163,0.15521336379718575
1,65,0.63,0.942021,0.65,0.882678,0.79,0.127501,0.81,0.0689655,0.6441620747181639,0.7993963492239752,0.1552342745058113
1,66,0.65,0.910659,0.67,0.845253,0.79,0.151515,0.81,0.0851789,0.6532593340060545,0.8055315130072465,0.15227217900119194
1,67,0.65,0.920958,0.67,0.868388,0.81,0.110132,0.83,0.0624303,0.6579733688415447,0.8142480666307491,0.15627469778920444
1,68,0.67,0.900935,0.69,0.825368,0.81,0.118192,0.83,0.0721485,0.6702474625167071,0.8179020925863586,0.14765463006965152
1,69,0.67,0.921036,0.69,0.846006,0.81,0.148086,0.83,0.0954995,0.6756073570571771,0.8282883439666074,0.15268098690943033
1,70,0.67,0.9375,0.69,0.865182,0.83,0.103712,0.85,0.0734433,0.6803708620260517,0.8324526986623145,0.15208183663626285
1,71,0.67,0.954928,0.69,0.888824,0.83,0.130188,0.85,0.0669989,0.686618661503086,0.8395548124597438,0.1529361509566578
1,72,0.69,0.927025,0.71,0.857834,0.83,0.145928,0.85,0.0705303,0.6978117096154124,0.8421828649945555,0.14437115537914313
