original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.21,0.945126,0.23,0.869709,0.35,0.107788,0.37,0.0593455,0.22196706312900272,0.35321535841461527,0.13124829528561255
1,2,0.23,0.905977,0.25,0.816212,0.35,0.146248,0.37,0.0858586,0.23133169943741994,0.36531659529652555,0.1339848958591056
1,3,0.23,0.933129,0.25,0.859922,0.37,0.11373,0.39,0.0698614,0.23905077383310339,0.37625960254031354,0.13720882870721016
1,4,0.25,0.903351,0.27,0.823296,0.37,0.144431,0.39,0.0956573,0.25083717444257075,0.3882192452079707,0.13738207076539993
1,5,0.25,0.926646,0.27,0.859213,0.39,0.131687,0.41,0.0693674,0.257902955526226,0.40016919235681875,0.14226623683059275
1,6,0.27,0.919204,0.29,0.842466,0.39,0.16317,0.41,0.0977752,0.2750050822278402,0.40931957892676485,0.13431449669892465
1,7,0.27,0.941322,0.29,0.882082,0.41,0.129256,0.43,0.0692521,0.28395070898041863,0.4197513661611995,0.13580065718078088
1,8,0.29,0.929526,0.31,0.829251,0.41,0.173006,0.43,0.0980505,0.2958890052356021,0.4294798246959863,0.1335908194603842
1,9,0.29,0.942543,0.31,0.892236,0.43,0.132087,0.45,0.071599,0.30691335201860576,0.4406093770665256,0.13369602504791983
1,10,0.31,0.921002,0.33,0.842209,0.43,0.178372,0.45,0.0956366,0.3153309304126001,0.44894521571177515,0.13361428529917507
1,11,0.31,0.955724,0.33,0.888366,0.45,0.130485,0.47,0.0818815,0.32654562190088776,0.46254436408900595,0.1359987421881182
1,12,0.33,0.934729,0.35,0.846697,0.47,0.113931,0.49,0.0639694,0.33789008542348237,0.47557668289246136,0.137686597468979
1,13,0.35,0.903771,0.37,0.804716,0.47,0.14991,0.49,0.0902256,0.35076139518449345,0.4867246382639349,0.13596324307944146
1,14,0.35,0.929065,0.37,0.866531,0.49,0.110036,0.51,0.0685237,0.359295743115745,0.4948351934245994,0.1355394503088544
1,15,0.37,0.905046,0.39,0.814124,0.49,0.156805,0.51,0.0920672,0.3711099623853413,0.5075492525232553,0.13643929013791406
1,16,0.37,0.942186,0.39,0.868863,0.51,0.110969,0.53,0.0750591,0.38150689415326705,0.5161091788058446,0.13460228465257756
1,17,0.39,0.916935,0.41,0.831776,0.51,0.149648,0.53,0.0896142,0.39397726605526134,0.5265400157911043,0.13256274973584298
1,18,0.39,0.941513,0.41,0.874834,0.53,0.127479,0.55,0.0716332,0.4024515964546559,0.5398410265409396,0.13738943008628368
