original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.944814,0.21,0.86228,0.31,0.153949,0.33,0.0904615,0.20085952455957545,0.3269951565268754,0.12613563196729993
1,2,0.21,0.903715,0.23,0.791862,0.33,0.108822,0.35,0.0548523,0.2106642647045676,0.3332692418153149,0.12260497711074733
1,3,0.21,0.922272,0.23,0.814845,0.33,0.128546,0.35,0.0568775,0.21414644363148927,0.3379661217968843,0.12381967816539502
1,4,0.21,0.930714,0.23,0.837479,0.33,0.138039,0.35,0.0757021,0.21658851289751702,0.3422043284154329,0.1256158155179159
1,5,0.21,0.937627,0.23,0.854887,0.33,0.163846,0.35,0.0818071,0.21909523809523807,0.3455648113273094,0.1264695732320713
1,6,0.21,0.935419,0.23,0.88147,0.33,0.166558,0.35,0.070303,0.22313054922241374,0.34382951534985196,0.12069896612743822
1,7,0.21,0.954454,0.23,0.886937,0.33,0.161069,0.35,0.0884442,0.2261304560332953,0.3468176710985779,0.12068721506528263
1,8,0.21,0.94637,0.23,0.88777,0.35,0.11215,0.37,0.0668994,0.22582593856655286,0.35537009454018287,0.12954415597363
1,9,0.23,0.908966,0.25,0.811994,0.35,0.10399,0.37,0.0597205,0.23184919358165246,0.35180259546640463,0.11995340188475218
1,10,0.23,0.915114,0.25,0.813626,0.35,0.12517,0.37,0.0699177,0.2329784802144096,0.3591109329385383,0.1261324527241287
1,11,0.23,0.94375,0.25,0.830483,0.35,0.142167,0.37,0.0629584,0.2377251096965577,0.3606470762013215,0.12292196650476384
1,12,0.23,0.943586,0.25,0.861891,0.35,0.129808,0.37,0.0672646,0.24067042046636883,0.35953194102015557,0.11886152055378674
1,13,0.23,0.938065,0.25,0.87191,0.35,0.134655,0.37,0.0704403,0.24150782253797898,0.36079347875174994,0.11928565621377096
1,14,0.23,0.955873,0.25,0.897621,0.37,0.104396,0.39,0.0513381,0.24918320401016275,0.37165705766719,0.12247385365702723
1,15,0.23,0.950402,0.25,0.893461,0.37,0.115159,0.39,0.0597857,0.24770323668358474,0.375475201947509,0.12777196526392426
1,16,0.25,0.915618,0.27,0.822137,0.37,0.137165,0.39,0.0629584,0.25334142766979384,0.3800166292486113,0.12667520157881745
1,17,0.25,0.935839,0.27,0.843505,0.37,0.125572,0.39,0.0780872,0.25776290423895853,0.38077060448817307,0.12300770024921454
1,18,0.25,0.942116,0.27,0.862518,0.37,0.138361,0.39,0.0669078,0.2605821754315435,0.38073737775215105,0.12015520232060756
1,19,0.25,0.949541,0.27,0.873547,0.37,0.161465,0.39,0.0802696,0.26303813458957287,0.3851400202474524,0.12210188565787955
1,20,0.25,0.953992,0.27,0.891649,0.37,0.173333,0.39,0.0964436,0.26732095022697017,0.3890749310047939,0.12175398077782373
1,21,0.27,0.903497,0.29,0.790349,0.37,0.175462,0.39,0.0890411,0.270618128468908,0.387463831087156,0.116845702618248
1,22,0.27,0.903775,0.29,0.801587,0.39,0.122863,0.41,0.0569886,0.2707388343053979,0.39694139149654495,0.12620255719114704
1,23,0.25,0.968016,0.27,0.896018,0.39,0.123037,0.41,0.0766106,0.2688938581627267,0.39992409491151587,0.13103023674878916
1,24,0.27,0.920539,0.29,0.82803,0.39,0.124328,0.41,0.0719033,0.2744404328227524,0.3992811213035077,0.1248406884807553
1,25,0.27,0.910317,0.29,0.857971,0.39,0.151554,0.41,0.071256,0.27394184846979713,0.402840668509801,0.12889882004000386
1,26,0.27,0.929326,0.29,0.874717,0.39,0.145722,0.41,0.0808081,0.28074035415407717,0.404086967506189,0.12334661335211183
1,27,0.27,0.940601,0.29,0.878833,0.39,0.159972,0.41,0.0800256,0.28314628934075897,0.4050030520448701,0.12185676270411111
1,28,0.29,0.910898,0.31,0.791091,0.41,0.10274,0.43,0.0521077,0.2918192593087215,0.4110823130689303,0.11926305376020879
1,29,0.27,0.971484,0.29,0.896123,0.41,0.112179,0.43,0.0637664,0.28897108584015607,0.41503133481779536,0.1260602489776393
1,30,0.29,0.909091,0.31,0.827092,0.41,0.110682,0.43,0.0773918,0.29221734411395256,0.4164175042505001,0.12420016013654755
1,31,0.29,0.934827,0.31,0.849028,0.41,0.145455,0.43,0.0801944,0.2981182764367883,0.42393030404256166,0.12581202760577337
1,32,0.29,0.934007,0.31,0.864275,0.41,0.165138,0.43,0.0919467,0.29975362817644696,0.42779938326003225,0.1280457550835853
1,33,0.29,0.961012,0.31,0.875566,0.41,0.154339,0.43,0.0880196,0.30428083233855296,0.42638706019656386,0.1221062278580109
1,34,0.29,0.940054,0.31,0.890661,0.41,0.153421,0.43,0.0909091,0.30621849249893707,0.4270914657849145,0.12087297328597746
