original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.21,0.917431,0.23,0.803856,0.35,0.112401,0.37,0.0467066,0.21306951353731013,0.35377535984802355,0.14070584631071342
1,2,0.21,0.926438,0.23,0.856072,0.35,0.117436,0.37,0.0727483,0.21751442458005285,0.357803489550816,0.14028906497076313
1,3,0.21,0.93918,0.23,0.891585,0.35,0.143921,0.37,0.0800956,0.2264639142767097,0.3637628593005292,0.1372989450238195
1,4,0.23,0.930627,0.25,0.850078,0.35,0.169392,0.37,0.0884521,0.2376045636817341,0.367146549476834,0.1295419857950999
1,5,0.23,0.940602,0.25,0.8592,0.37,0.113445,0.39,0.0545347,0.23997567627331023,0.3745645668075023,0.13458889053419204
1,6,0.23,0.945827,0.25,0.886792,0.37,0.118086,0.39,0.0884658,0.2455253663081223,0.3822119364487748,0.13668657014065252
1,7,0.23,0.952762,0.25,0.899147,0.39,0.103757,0.41,0.0559042,0.24968180546488858,0.3915702320449378,0.14188842658004922
1,8,0.25,0.915735,0.27,0.815831,0.39,0.102066,0.41,0.0631328,0.25315002402306214,0.39106130500446923,0.1379112809814071
1,9,0.25,0.935075,0.27,0.879585,0.39,0.126552,0.41,0.0682068,0.26264191746260585,0.3991016913130815,0.13645977385047564
1,10,0.25,0.94898,0.27,0.894695,0.39,0.144554,0.41,0.0790698,0.2680455005986921,0.40360755724281583,0.13556205664412374
1,11,0.25,0.956583,0.27,0.899133,0.41,0.109046,0.43,0.0530094,0.26969817232375976,0.41322860416227963,0.14353043183851988
1,12,0.27,0.940636,0.29,0.84797,0.41,0.122086,0.43,0.0721821,0.2787704228087972,0.41885141241466095,0.14008098960586374
1,13,0.27,0.939326,0.29,0.867624,0.41,0.131461,0.43,0.0709302,0.28096928955956596,0.4203950385588824,0.13942574899931642
1,14,0.27,0.950634,0.29,0.877219,0.41,0.15099,0.43,0.075979,0.2837939113260233,0.42359533935022864,0.13980142802420537
1,15,0.29,0.908769,0.31,0.823204,0.43,0.103203,0.45,0.0598489,0.2920496698416408,0.4314775995811238,0.13942792973948298
1,16,0.29,0.928148,0.31,0.827141,0.43,0.11302,0.45,0.0729537,0.2955734751056857,0.4364992275303684,0.1409257524246827
1,17,0.29,0.943704,0.31,0.890851,0.43,0.121966,0.45,0.0905923,0.30653794486594893,0.4440028112718615,0.13746486640591254
1,18,0.31,0.910795,0.33,0.831126,0.43,0.163079,0.45,0.0964221,0.31270996246971844,0.4489264727282547,0.13621651025853626
1,19,0.31,0.934831,0.33,0.835313,0.45,0.105,0.47,0.06708,0.31699993970939927,0.45263713080168777,0.1356371910922885
1,20,0.31,0.937063,0.33,0.875566,0.45,0.121034,0.47,0.0792752,0.32205359611037937,0.4600740442733029,0.13802044816292353
1,21,0.31,0.94375,0.33,0.889466,0.45,0.134653,0.47,0.0918919,0.3261189300714759,0.4662077215038902,0.14008879143241432
1,22,0.33,0.908358,0.35,0.834135,0.47,0.101371,0.49,0.0579545,0.3322521320884362,0.47063155712689875,0.13837942503846257
1,23,0.33,0.928679,0.35,0.840945,0.47,0.104294,0.49,0.0755237,0.3365377162787517,0.4729850227491545,0.13644730647040282
1,24,0.33,0.938889,0.35,0.868694,0.47,0.125464,0.49,0.0750716,0.341080276372961,0.48010628586850396,0.13902600949554295
1,25,0.35,0.902747,0.37,0.766008,0.47,0.134328,0.49,0.0893983,0.35040178734669697,0.4852807608330347,0.1348789734863377
1,26,0.35,0.907127,0.37,0.810468,0.47,0.15772,0.49,0.0943175,0.3514746686806195,0.48820748393202157,0.13673281525140207
1,27,0.35,0.922962,0.37,0.824776,0.49,0.107496,0.51,0.0635471,0.35467724522844396,0.4934112344108726,0.13873398918242863
1,28,0.35,0.941844,0.37,0.869832,0.49,0.119539,0.51,0.0757062,0.36162139643392766,0.49891524155426986,0.1372938451203422
1,29,0.35,0.951306,0.37,0.888797,0.49,0.136916,0.51,0.0850935,0.36641555615991295,0.5042470934439673,0.1378315372840544
1,30,0.37,0.905286,0.39,0.826258,0.49,0.149777,0.51,0.0932304,0.3713377537075467,0.5076056562198258,0.1362679025122791
1,31,0.37,0.90902,0.39,0.857704,0.51,0.110907,0.53,0.062645,0.37351547275703484,0.514519912146202,0.14100443938916712
1,32,0.37,0.95874,0.39,0.883412,0.51,0.127229,0.53,0.0658199,0.38559579439252334,0.5188680667848902,0.13327227239236683
1,33,0.39,0.905457,0.41,0.781168,0.51,0.16171,0.53,0.076574,0.3908781147165075,0.5244968051118211,0.13361869039531354
1,34,0.39,0.914138,0.41,0.834677,0.53,0.10359,0.55,0.0545864,0.39355847522684084,0.5314651984752141,0.13790672324837328
1,35,0.39,0.931647,0.41,0.85155,0.51,0.191853,0.53,0.0957055,0.3979021686205476,0.5291066850412127,0.1312045164206651
1,36,0.39,0.951009,0.41,0.884331,0.53,0.114804,0.55,0.0782509,0.4053000989831729,0.5380999969906793,0.13279989800750647
1,37,0.39,0.95877,0.41,0.895865,0.53,0.136447,0.55,0.0902507,0.4086853191320245,0.5457791857789477,0.1370938666469232
1,38,0.41,0.933955,0.43,0.829966,0.55,0.104338,0.57,0.0636872,0.41653049841810186,0.5521342753402148,0.1356037769221129
1,39,0.41,0.936425,0.43,0.866923,0.55,0.136922,0.57,0.084611,0.4204817127564674,0.5641163426430388,0.14363462988657139
1,40,0.41,0.95251,0.43,0.891913,0.55,0.130201,0.57,0.0756208,0.4273308909681997,0.5610666505436037,0.133735759575404
1,41,0.43,0.90696,0.45,0.829921,0.55,0.161528,0.57,0.0962963,0.43180687703630627,0.5688644478068179,0.13705757077051162
1,42,0.43,0.933526,0.45,0.843364,0.57,0.114527,0.59,0.0683515,0.4374368359175706,0.576292081298524,0.13885524538095345
1,43,0.43,0.945215,0.45,0.87777,0.57,0.120177,0.59,0.0764807,0.44340796204314625,0.5792351068625947,0.13582714481944846
1,44,0.45,0.911594,0.47,0.804976,0.57,0.158638,0.59,0.0938257,0.45217486728319795,0.5880947135034553,0.13591984622025738
1,45,0.45,0.923525,0.47,0.854801,0.57,0.181999,0.59,0.0969136,0.4568462254816367,0.5892745171321989,0.1324282916505622
1,46,0.45,0.947263,0.47,0.881789,0.59,0.111604,0.61,0.0674027,0.4644371811711519,0.5952505243058461,0.13081334313469423
1,47,0.45,0.960108,0.47,0.898868,0.59,0.131663,0.61,0.0677966,0.46963030698889613,0.5999153858679994,0.1302850788791033
1,48,0.47,0.900808,0.49,0.835285,0.59,0.145662,0.61,0.0946675,0.47024663095401614,0.6079085979860573,0.1376619670320412
1,49,0.47,0.92712,0.49,0.841699,0.61,0.10084,0.63,0.0685648,0.47634972664801395,0.6105205234979179,0.1341707968499039
1,50,0.47,0.95472,0.49,0.892465,0.61,0.120513,0.63,0.0753262,0.487579310898723,0.6190792001203891,0.1314998892216661
1,51,0.47,0.949966,0.49,0.89708,0.61,0.13738,0.63,0.0968523,0.4888957380024959,0.6284466426666206,0.13955090466412473
1,52,0.49,0.906318,0.51,0.830769,0.61,0.153654,0.63,0.095353,0.49167255688361194,0.6284058592476973,0.13673330236408537
1,53,0.49,0.93265,0.51,0.866426,0.63,0.114216,0.65,0.0712657,0.4998604735443344,0.6366197442159892,0.13675927067165483
1,54,0.51,0.902875,0.53,0.791435,0.63,0.125304,0.65,0.0854072,0.5105159727207466,0.6426847265946141,0.1321687538738675
1,55,0.51,0.906393,0.53,0.823529,0.63,0.143142,0.65,0.0929944,0.5115430102336358,0.6472060078647832,0.13566299763114742
1,56,0.51,0.91649,0.53,0.821036,0.65,0.106568,0.67,0.0625724,0.5134550673622897,0.6529857531207667,0.13953068575847694
1,57,0.51,0.953966,0.53,0.888147,0.65,0.11909,0.67,0.072759,0.5263983044409669,0.6582407027692042,0.1318423983282373
1,58,0.51,0.940931,0.53,0.876168,0.65,0.145161,0.67,0.0931751,0.5226402421135525,0.6673743265000702,0.1447340843865177
