original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.05,0.939189,0.07,0.882759,0.39,0.128378,0.41,0.0614203,0.06388942052099945,0.39847639629198733,0.3345869757709879
1,2,0.07,0.917266,0.09,0.88125,0.43,0.130814,0.45,0.0876686,0.07958796090626388,0.44428379386910305,0.36469583296283914
1,3,0.13,0.927536,0.15,0.882217,0.49,0.103792,0.51,0.0659794,0.14215207749509037,0.4920056806461338,0.3498536031510434
1,4,0.15,0.936,0.17,0.867596,0.51,0.156069,0.53,0.0892157,0.16052570025144727,0.5267737419095243,0.366248041658077
1,5,0.23,0.917847,0.25,0.870455,0.57,0.137105,0.59,0.09909,0.23753165091154624,0.5895212416151518,0.3519895907036056
1,6,0.27,0.913183,0.29,0.888608,0.63,0.124525,0.65,0.0683112,0.2807287894201424,0.6387256154182781,0.3579968259981357
1,7,0.05,1.0,0.07,0.75,0.67,0.120075,0.69,0.090081,0.058,0.6833860105354405,NAN
1,8,0.05,1.0,0.07,0.818182,0.71,0.161322,0.73,0.0943953,0.061000011000011,0.7283251228582912,NAN
1,9,0.11,1.0,0.13,0.9,0.77,0.140496,0.79,0.0887246,0.13,0.7856441587440169,NAN
1,10,0.49,0.923567,0.51,0.880753,0.83,0.101378,0.85,0.0841683,0.5010090157425141,0.8316014224536162,0.3305924067111021
1,11,0.51,0.933086,0.53,0.8875,0.87,0.128846,0.89,0.0887021,0.5245158601324968,0.8843712992509447,0.35985543911844786
2,1,0.99,0.0,0.01,0.899351,0.37,0.151886,0.39,0.0998043,1.010014432629752,0.38992484884325973,NAN
2,2,0.07,0.909722,0.09,0.885794,0.43,0.135242,0.45,0.0984848,0.07812604480106987,0.44917556288291816,0.3710495180818483
2,3,0.15,0.900966,0.17,0.860941,0.49,0.110136,0.51,0.0515063,0.15048269831355404,0.49345763324731323,0.3429749349337592
2,4,0.15,0.931727,0.17,0.892256,0.53,0.129213,0.55,0.0827375,0.1660761065085759,0.5425713547998408,0.37649524829126485
2,5,0.21,0.910035,0.23,0.897361,0.57,0.149646,0.59,0.0887097,0.22583556888117398,0.5862943926690658,0.36045882378789185
2,6,0.25,0.948819,0.27,0.899696,0.63,0.114964,0.65,0.0816532,0.26987622905767156,0.6389844735040887,0.36910824444641716
2,7,0.03,1.0,0.05,0.75,0.67,0.117308,0.69,0.08473,0.038,0.6806255755417767,NAN
2,8,0.37,0.908795,0.39,0.867647,0.73,0.106796,0.75,0.0787879,0.37427481287061337,0.7348528818448948,0.36057806897428146
2,9,0.25,1.0,0.27,0.875,0.77,0.111776,0.79,0.0834915,0.266,0.7783268221110502,NAN
2,10,0.43,0.904545,0.45,0.898438,0.81,0.149515,0.83,0.0821643,0.44488455870312743,0.8247036333698091,0.3798190746666817
2,11,0.25,1.0,0.27,0.833333,0.87,0.112919,0.89,0.0788043,0.261999976000048,0.8775738611214521,NAN
3,1,0.07,0.919512,0.09,0.843267,0.37,0.144737,0.39,0.0889111,0.07511823726145976,0.3860273278173751,0.3109090905559153
3,2,0.07,0.913043,0.09,0.899083,0.43,0.129832,0.45,0.07,0.08868624641833804,0.43997192137986363,0.3512856749615256
3,3,0.15,0.946328,0.17,0.894624,0.47,0.116301,0.49,0.0884422,0.1679204703697973,0.4817025858974543,0.313782115527657
3,4,0.19,0.941691,0.21,0.894231,0.53,0.105566,0.55,0.0577865,0.20756890012642223,0.532329869504704,0.3247609693782817
3,5,0.21,0.902622,0.23,0.899696,0.57,0.123408,0.59,0.0760761,0.2279220779220781,0.5798910037416626,0.3519689258195845
3,6,0.05,1.0,0.07,0.833333,0.61,0.125506,0.63,0.0972355,0.061999976000048,0.6280442510744415,NAN
3,7,0.31,0.928571,0.33,0.894273,0.65,0.147418,0.67,0.0946341,0.3266604466732754,0.6679668421620987,0.3413063954888233
3,8,0.37,0.907895,0.39,0.867713,0.73,0.103343,0.75,0.0641148,0.3739296202279628,0.7317043861303858,0.357774765902423
3,9,0.39,0.932143,0.41,0.893506,0.77,0.101662,0.79,0.094697,0.4066384553666175,0.7747724335965542,0.3681339782299367
3,10,0.47,0.918699,0.49,0.887324,0.81,0.139559,0.83,0.0882648,0.48191968127490037,0.8254243559700707,0.3435046746951703
3,11,0.29,0.923077,0.31,0.894737,0.87,0.134477,0.89,0.0912512,0.30628581510232883,0.8859520471570219,0.579666232054693
4,1,0.01,0.926923,0.03,0.893204,0.37,0.136,0.39,0.0856574,0.025969038227705445,0.38430200267765274,0.3583329644499473
4,2,0.09,0.921769,0.11,0.880952,0.43,0.100394,0.45,0.0843602,0.10066663400053895,0.430491461786975,0.32982482778643607
4,3,0.13,0.9375,0.15,0.899705,0.47,0.122723,0.49,0.0928144,0.14984389469506545,0.4851949606467705,0.33535106595170505
4,4,0.15,0.901288,0.17,0.896429,0.51,0.162451,0.53,0.0852106,0.155301502366742,0.5261705532337999,0.3708690508670579
4,5,0.09,0.923077,0.11,0.892157,0.57,0.120722,0.59,0.068599,0.10492690815006467,0.5779511923718895,0.47302428422182485
4,6,0.29,0.917995,0.31,0.88189,0.63,0.100791,0.65,0.0707965,0.2999681484558925,0.6305274300288386,0.3305592815729461
4,7,0.01,1.0,0.03,0.75,0.67,0.117,0.69,0.0697446,0.018,0.6771949449163482,NAN
4,8,0.21,0.96875,0.23,0.888889,0.71,0.129895,0.73,0.0971698,0.22721741525901254,0.7282703237871732,0.5010529085281606
4,9,0.19,1.0,0.21,0.875,0.77,0.114035,0.79,0.0919421,0.206,0.7827054393040298,NAN
4,10,0.17,1.0,0.19,0.6,0.83,0.108611,0.85,0.0745402,0.17500000000000002,0.835054768305998,NAN
4,11,0.51,0.920844,0.53,0.870968,0.87,0.136364,0.89,0.0923226,0.5183583286550646,0.8865135531568025,0.3681552245017379
5,1,0.03,0.925926,0.05,0.896679,0.41,0.133789,0.43,0.0958206,0.0477289978459329,0.4277984850559939,0.38006948721006095
5,2,0.05,0.910828,0.07,0.899471,0.47,0.117994,0.49,0.0663317,0.06906841595491767,0.47696600809487766,0.40789759213996
5,3,0.17,0.909385,0.19,0.871134,0.53,0.112689,0.55,0.0615234,0.17490706125330055,0.5349599731069312,0.36005291185363064
5,4,0.21,0.911184,0.23,0.897297,0.57,0.125743,0.59,0.0993377,0.22610715057247782,0.5894983582841323,0.3633912077116545
5,5,0.01,1.0,0.03,0.892857,0.63,0.112348,0.65,0.0701581,0.02866664177781096,0.6358535336656403,NAN
5,6,0.99,0.0,0.01,0.8,0.67,0.110228,0.69,0.0697436,1.0125,0.6750528104652657,NAN
5,7,0.37,0.901235,0.39,0.891626,0.71,0.107042,0.73,0.0877863,0.37257050681652615,0.7173141978738763,0.34474369105735014
5,8,0.41,0.903134,0.43,0.893401,0.75,0.13775,0.77,0.0909091,0.4164399465735127,0.7661183922597559,0.3496784456862432
5,9,0.47,0.916031,0.49,0.87033,0.81,0.104563,0.83,0.0589372,0.4770156014091595,0.8120001841063609,0.3349845826972014
5,10,0.29,1.0,0.31,0.8,0.85,0.138095,0.87,0.0798442,0.3,0.8630796486915201,NAN
6,1,0.09,0.909091,0.11,0.881671,0.43,0.118006,0.45,0.0740385,0.09663092633114512,0.4381905953260931,0.341559668994948
6,2,0.11,0.939623,0.13,0.897281,0.47,0.130814,0.49,0.0887992,0.12871569599924423,0.48466816455153894,0.3559524685522947
6,3,0.13,0.901639,0.15,0.888889,0.51,0.136276,0.53,0.0908163,0.13257098039215678,0.5259596301779378,0.39338864978578103
6,4,0.23,0.921833,0.25,0.893519,0.57,0.108696,0.59,0.081716,0.24542205269477993,0.5764462564862861,0.3310242037915062
6,5,0.29,0.903683,0.31,0.833333,0.63,0.115694,0.65,0.0565657,0.2910470504619758,0.6353084563567699,0.3442614058947941
6,6,0.25,0.947761,0.27,0.896175,0.67,0.124521,0.69,0.0707804,0.26851703950684297,0.6791256889576969,0.4106086494508539
6,7,0.23,0.933333,0.25,0.896104,0.71,0.108007,0.73,0.0804369,0.24790700797765183,0.71580846641833,0.4679014584406781
6,8,0.35,0.927083,0.37,0.895197,0.75,0.127723,0.77,0.0870813,0.3669873925860879,0.7636426379802026,0.3966552453941147
6,9,0.35,0.926829,0.37,0.897436,0.79,0.14728,0.81,0.0804711,0.36825536692409755,0.8041538028615948,0.4358984359374972
