original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.19,0.911652,0.21,0.868015,0.41,0.123085,0.43,0.0901478,0.1953404221188441,0.4240175849799011,0.22867716286105702
1,2,0.21,0.929543,0.23,0.881519,0.45,0.119023,0.47,0.0825915,0.22230343161752458,0.46044316045180683,0.23813972883428225
1,3,0.25,0.919756,0.27,0.8842,0.49,0.120398,0.51,0.0897769,0.26111261109236134,0.5033228394799664,0.24221022838760503
1,4,0.29,0.912773,0.31,0.862562,0.53,0.12557,0.55,0.0868666,0.295087729780327,0.5432133094250118,0.2481255796446848
1,5,0.33,0.90605,0.35,0.875187,0.57,0.13694,0.59,0.0855589,0.33392055211742216,0.584378828012635,0.2504582758952128
1,6,0.35,0.937315,0.37,0.893386,0.61,0.120628,0.63,0.0800196,0.36698877734526164,0.6201594743944603,0.25317069704919865
1,7,0.39,0.919881,0.41,0.890411,0.65,0.123444,0.67,0.0720276,0.40349236511706815,0.6591192693381879,0.2556269042211197
1,8,0.43,0.923155,0.45,0.886557,0.67,0.150125,0.69,0.0965795,0.4426536969233291,0.6887223949725001,0.24606869804917098
1,9,0.47,0.910314,0.49,0.874745,0.71,0.147699,0.73,0.09349,0.475799432089741,0.7275981848032614,0.2517987527135204
1,10,0.51,0.921628,0.53,0.865605,0.75,0.140831,0.77,0.0947103,0.5177211145422416,0.7677061492995553,0.2499850347573137
1,11,0.55,0.927218,0.57,0.866015,0.79,0.136296,0.81,0.090233,0.5588943352450043,0.8057592861949938,0.2468649509499895
1,12,0.57,0.940322,0.59,0.899065,0.83,0.127867,0.85,0.0885886,0.589546743582907,0.8441894781864842,0.2546427346035771
1,13,0.63,0.92623,0.65,0.864558,0.87,0.105746,0.89,0.0698952,0.6385062913477754,0.8732055072690149,0.23469921592123955
2,1,0.15,0.924686,0.17,0.88667,0.39,0.112861,0.41,0.078534,0.16298716329966328,0.39749322690593414,0.23450606360627085
2,2,0.19,0.912536,0.21,0.886572,0.43,0.108,0.45,0.0659564,0.19965644738869204,0.4338055732620423,0.23414912587335024
