original_number,set_number,position_0.9_x2,frequency_0.9_x2,position_0.9_x1,frequency_0.9_x1,position_0.1_x2,frequency_0.1_x2,position_0.1_x1,frequency_0.1_x1,accurate_left,accurate_right,distance
1,1,0.23,0.904012,0.25,0.846502,0.41,0.11334,0.43,0.0708434,0.23139523561119807,0.41627814931076834,0.18488291369957027
1,2,0.27,0.914271,0.29,0.844181,0.45,0.12422,0.47,0.0886725,0.27407219289484946,0.46362683733033266,0.1895546444354832
1,3,0.31,0.912212,0.33,0.862463,0.49,0.147044,0.51,0.0943491,0.31490944541598825,0.5078552383627258,0.19294579294673758
1,4,0.35,0.914444,0.37,0.857421,0.55,0.123862,0.57,0.0693413,0.355066025989513,0.5587533725722524,0.20368734658273946
1,5,0.37,0.961954,0.39,0.892206,0.59,0.118182,0.61,0.0923858,0.3877650972070884,0.6040966498941704,0.21633155268708204
1,6,0.43,0.919844,0.45,0.869695,0.63,0.140131,0.65,0.098912,0.43791401623162973,0.6494720881147044,0.21155807188307463
1,7,0.47,0.936977,0.49,0.898472,0.69,0.11284,0.71,0.0763247,0.4892063368393715,0.6970326684978625,0.20782633165849101
1,8,0.53,0.917431,0.55,0.858529,0.73,0.1231,0.75,0.0715343,0.5359186445281994,0.7389594439714772,0.2030407994432778
1,9,0.57,0.922998,0.59,0.875257,0.77,0.139721,0.79,0.0805541,0.5796344860811461,0.78342676395079,0.20379227786964393
1,10,0.61,0.92505,0.63,0.876555,0.83,0.107843,0.85,0.0648836,0.6203309619548407,0.8336513545347467,0.21332039257990598
1,11,0.67,0.912574,0.69,0.853535,0.87,0.112958,0.89,0.0796756,0.6742595572418232,0.877786698074658,0.20352714083283485
2,1,0.21,0.922741,0.23,0.871692,0.41,0.11556,0.43,0.0846116,0.2189094791278967,0.4200554471313541,0.2011459680034574
2,2,0.25,0.940793,0.27,0.884692,0.45,0.149361,0.47,0.0972569,0.26454269977362255,0.46894706942447906,0.2044043696508565
2,3,0.31,0.900692,0.33,0.84257,0.51,0.10646,0.53,0.0758552,0.3102381198169368,0.5142215600167294,0.2039834401997926
